종목,월,방향,손절선(%),손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,1,아래,무손절,가능,뒤 절반,6,0,-11.52,-1.92,50.0,0.623,61.63,3,9.6,-26.39,12.81,0,0,6.5,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,아래,무손절,가능,최근 10년,10,0,-11.24,-1.12,50.0,0.703,58.73,5,9.6,-26.39,10.0,0,0,6.8,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,아래,무손절,가능,최근 5년,5,0,-16.02,-3.2,40.0,0.712,58.4,3,9.6,-26.39,13.88,0,0,6.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,-3.0,가능,전체,11,0,-4.38,-0.4,45.45,0.889,52.93,6,3.7,-3.81,2.95,1,4,5.09,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-3.0,가능,앞 절반,5,0,3.49,0.7,60.0,1.142,46.68,2,3.7,-3.81,3.2,1,0,6.6,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-3.0,가능,뒤 절반,6,0,-7.87,-1.31,33.33,0.689,59.22,4,2.82,-3.0,2.66,0,4,3.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-3.0,가능,최근 10년,10,0,-5.5,-0.55,40.0,1.012,49.7,6,3.7,-3.81,3.07,1,4,4.9,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-3.0,가능,최근 5년,5,0,-4.87,-0.97,40.0,0.689,59.22,3,2.82,-3.0,2.82,0,3,3.2,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,-4.0,가능,전체,11,0,-8.89,-0.81,45.45,0.702,58.76,6,3.7,-4.32,3.38,1,4,5.27,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-4.0,가능,앞 절반,5,0,3.3,0.66,60.0,1.1,47.63,2,3.7,-4.0,3.27,0,1,6.6,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-4.0,가능,뒤 절반,6,0,-12.19,-2.03,33.33,0.506,66.39,4,2.82,-4.32,3.21,1,3,4.17,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-4.0,가능,최근 10년,10,0,-10.01,-1.0,40.0,0.799,55.59,6,3.7,-4.32,3.49,1,4,5.1,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-4.0,가능,최근 5년,5,0,-8.19,-1.64,40.0,0.503,66.53,3,2.82,-4.32,3.42,1,2,3.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150,1,위,-5.0,가능,전체,11,0,-13.57,-1.23,45.45,0.576,63.45,6,3.7,-5.0,3.83,0,5,5.82,예,2016-01-20,2026-01-20
KODEX 코스닥150,1,위,-5.0,가능,앞 절반,5,0,2.3,0.46,60.0,0.919,52.11,2,3.7,-5.0,3.63,0,1,7.0,아니오,2016-01-20,2020-01-20
KODEX 코스닥150,1,위,-5.0,가능,뒤 절반,6,0,-15.87,-2.64,33.33,0.413,70.76,4,2.82,-5.0,3.68,0,4,4.83,아니오,2021-01-20,2026-01-20
KODEX 코스닥150,1,위,-5.0,가능,최근 10년,10,0,-14.69,-1.47,40.0,0.656,60.4,6,3.7,-5.0,3.95,0,5,5.7,예,2017-01-20,2026-01-20
KODEX 코스닥150,1,위,-5.0,가능,최근 5년,5,0,-10.87,-2.17,40.0,0.413,70.76,3,2.82,-5.0,3.91,0,3,4.4,아니오,2022-01-20,2026-01-20
