Date,Value
2019-10-15,10128.11
2019-10-16,10184.69
2019-10-17,10158.86
2019-10-18,10071.6
2019-10-21,9893.71
2019-10-22,9871.77
2019-10-23,9920.76
2019-10-24,9920.08
2019-10-25,9929.49
2019-10-28,9888.24
2019-10-29,9763.96
2019-10-30,9848.95
2019-10-31,9771.6
2019-11-01,9811.09
2019-11-04,9715.95
2019-11-05,9687.49
2019-11-06,9682.94
2019-11-07,9713.79
2019-11-08,9664.67
2019-11-11,9811.43
2019-11-12,9734.88
2019-11-13,9836.52
2019-11-14,9885.73
2019-11-15,9825.45
2019-11-18,9793.72
2019-11-19,9858.8
2019-11-20,9894.5
2019-11-21,10028.31
2019-11-22,10042.53
2019-11-25,9991.03
2019-11-26,10001.1
2019-11-27,10007.36
2019-11-28,10063.06
2019-11-29,10073.29
2019-12-02,10120.55
2019-12-03,10181.96
2019-12-04,10312.91
2019-12-05,10243.11
2019-12-06,10213.28
2019-12-09,10227.49
2019-12-10,10271.82
2019-12-11,10318.62
2019-12-12,10170.28
2019-12-13,9904.44
2019-12-16,9928.46
2019-12-17,9818.65
2019-12-18,9868.24
2019-12-19,9808.59
2019-12-20,9737.41
2019-12-23,9778.42
2019-12-24,9776.15
2019-12-26,9732.2
2019-12-27,9733.17
2019-12-30,9670.8
2020-01-02,9713.38
2020-01-03,9852.23
2020-01-06,9933.91
2020-01-07,9833.1
2020-01-08,9925.89
2020-01-09,9710.3
2020-01-10,9767.15
2020-01-13,9666.88
2020-01-14,9664.84
2020-01-15,9692.18
2020-01-16,9757.76
2020-01-17,9730.0
2020-01-20,9722.09
2020-01-21,9866.38
2020-01-22,9824.06
2020-01-23,9889.25
2020-01-28,10034.89
2020-01-29,10041.52
2020-01-30,10180.09
2020-01-31,10303.25
2020-02-03,10354.84
2020-02-04,10213.9
2020-02-05,10284.21
2020-02-06,10084.69
2020-02-07,10211.36
2020-02-10,10226.32
2020-02-11,10124.63
2020-02-12,10074.51
2020-02-13,10139.81
2020-02-14,10153.14
2020-02-17,10162.41
2020-02-18,10257.91
2020-02-19,10251.84
2020-02-20,10421.19
2020-02-21,10624.95
2020-02-24,10792.65
2020-02-25,10626.98
2020-02-26,10740.83
2020-02-27,10738.81
2020-02-28,10695.23
2020-03-02,10326.15
2020-03-03,10351.94
2020-03-04,10212.54
2020-03-05,10136.87
2020-03-06,10303.31
2020-03-09,10521.08
2020-03-10,10303.33
2020-03-11,10352.56
2020-03-12,10543.9
2020-03-13,10748.97
2020-03-16,10874.16
2020-03-17,11194.99
2020-03-18,11247.79
2020-03-19,11931.08
2020-03-20,11236.17
2020-03-23,11573.14
2020-03-24,11258.48
2020-03-25,10893.45
2020-03-26,10980.85
2020-03-27,10611.69
2020-03-30,10871.14
2020-03-31,10725.97
2020-04-01,10950.46
2020-04-02,10925.68
2020-04-03,11004.53
2020-04-06,10951.17
2020-04-07,10799.18
2020-04-08,10838.07
2020-04-09,10773.41
2020-04-10,10623.52
2020-04-13,10722.84
2020-04-14,10733.04
2020-04-16,10944.12
2020-04-17,10743.62
2020-04-20,10793.05
2020-04-21,10957.91
2020-04-22,11024.51
2020-04-23,10961.35
2020-04-24,11064.45
2020-04-27,10901.39
2020-04-28,10883.24
2020-04-29,10768.95
2020-05-04,10943.29
2020-05-06,10835.48
2020-05-07,10891.62
2020-05-08,10797.38
2020-05-11,10806.46
2020-05-12,10896.45
2020-05-13,10880.46
2020-05-14,10942.59
2020-05-15,10981.48
2020-05-18,10998.09
2020-05-19,10870.32
2020-05-20,10963.52
2020-05-21,10971.27
2020-05-22,11113.33
2020-05-25,11226.29
2020-05-26,11047.32
2020-05-27,11048.49
2020-05-28,11151.69
2020-05-29,11117.44
2020-06-01,10890.94
2020-06-02,10886.01
2020-06-03,10716.6
2020-06-04,10775.2
2020-06-05,10573.33
2020-06-08,10516.83
2020-06-09,10388.9
2020-06-10,10290.39
2020-06-11,10374.74
2020-06-12,10512.05
2020-06-15,10729.61
2020-06-16,10566.28
2020-06-17,10689.16
2020-06-18,10587.09
2020-06-19,10590.04
2020-06-22,10709.59
2020-06-23,10597.77
2020-06-24,10438.36
2020-06-25,10527.57
2020-06-26,10451.25
2020-06-29,10419.57
2020-06-30,10475.63
2020-07-01,10502.97
2020-07-02,10441.37
2020-07-03,10418.43
2020-07-06,10356.14
2020-07-07,10363.74
2020-07-08,10353.71
2020-07-09,10365.56
2020-07-10,10513.76
2020-07-13,10453.09
2020-07-14,10539.95
2020-07-15,10444.85
2020-07-16,10525.73
2020-07-17,10545.87
2020-07-20,10492.16
2020-07-21,10393.91
2020-07-22,10339.65
2020-07-23,10391.47
2020-07-24,10481.26
2020-07-27,10366.19
2020-07-28,10400.05
2020-07-29,10331.47
2020-07-30,10335.41
2020-07-31,10279.39
2020-08-03,10320.44
2020-08-04,10335.91
2020-08-05,10243.33
2020-08-06,10160.95
2020-08-07,10189.43
2020-08-10,10192.94
2020-08-11,10180.43
2020-08-12,10181.57
2020-08-13,10162.15
2020-08-14,10173.98
2020-08-18,10166.15
2020-08-19,10111.35
2020-08-20,10210.81
2020-08-21,10196.72
2020-08-24,10264.43
2020-08-25,10182.9
2020-08-26,10200.83
2020-08-27,10180.21
2020-08-28,10156.92
2020-08-31,10216.74
2020-09-01,10155.88
2020-09-02,10195.23
2020-09-03,10234.54
2020-09-04,10270.42
2020-09-07,10244.42
2020-09-08,10221.26
2020-09-09,10245.08
2020-09-10,10186.09
2020-09-11,10212.86
2020-09-14,10153.68
2020-09-15,10075.35
2020-09-16,10011.3
2020-09-17,9984.32
2020-09-18,9761.15
2020-09-21,9708.63
2020-09-22,9846.3
2020-09-23,9840.75
2020-09-24,9986.61
2020-09-25,9969.35
2020-09-28,9975.48
2020-09-29,9927.23
2020-10-05,9819.02
2020-10-06,9779.33
2020-10-07,9725.3
2020-10-08,9637.8
2020-10-12,9540.97
2020-10-13,9542.38
2020-10-14,9536.4
2020-10-15,9479.45
2020-10-16,9538.72
2020-10-19,9475.03
2020-10-20,9420.27
2020-10-21,9286.52
2020-10-22,9313.53
2020-10-23,9314.93
2020-10-26,9222.48
2020-10-27,9203.65
2020-10-28,9281.58
2020-10-29,9288.4
2020-10-30,9334.05
2020-11-02,9328.76
2020-11-03,9333.97
2020-11-04,9399.41
2020-11-05,9236.48
2020-11-06,9111.48
2020-11-09,8994.08
2020-11-10,9023.6
2020-11-11,8958.53
2020-11-12,9021.97
2020-11-13,9031.45
2020-11-16,8913.65
2020-11-17,8887.63
2020-11-18,8839.79
2020-11-19,9020.77
2020-11-20,9018.92
2020-11-23,8960.06
2020-11-24,8971.07
2020-11-25,8909.4
2020-11-26,8856.93
2020-11-27,8835.28
2020-11-30,8894.73
2020-12-01,8888.8
2020-12-02,8789.14
2020-12-03,8725.78
2020-12-04,8495.48
2020-12-07,8509.36
2020-12-08,8558.38
2020-12-09,8531.66
2020-12-10,8578.64
2020-12-11,8614.64
2020-12-14,8645.72
2020-12-15,8663.75
2020-12-16,8674.66
2020-12-17,8658.14
2020-12-18,8764.47
2020-12-21,8810.33
2020-12-22,8900.02
2020-12-23,8882.18
2020-12-24,8792.54
2020-12-28,8712.3
2020-12-29,8656.16
2020-12-30,8564.45
2021-01-04,8494.31
2021-01-05,8587.04
2021-01-06,8555.56
2021-01-07,8583.16
2021-01-08,8639.59
2021-01-11,8753.62
2021-01-12,8783.63
2021-01-13,8711.11
2021-01-14,8793.16
2021-01-15,8780.7
2021-01-18,8854.82
2021-01-19,8845.99
2021-01-20,8789.73
2021-01-21,8768.55
2021-01-22,8857.98
2021-01-25,8809.76
2021-01-26,8898.61
2021-01-27,8866.28
2021-01-28,9099.12
2021-01-29,9082.48
2021-02-01,9052.86
2021-02-02,9074.45
2021-02-03,9032.56
2021-02-04,9092.75
2021-02-05,9175.37
2021-02-08,9106.84
2021-02-09,9060.35
2021-02-10,8910.94
2021-02-15,8812.54
2021-02-16,8803.66
2021-02-17,8912.06
2021-02-18,8918.08
2021-02-19,8879.32
2021-02-22,8941.33
2021-02-23,8959.76
2021-02-24,8977.47
2021-02-25,8914.29
2021-02-26,9186.12
2021-03-02,9188.18
2021-03-03,9131.14
2021-03-04,9200.0
2021-03-05,9221.52
2021-03-08,9333.27
2021-03-09,9453.38
2021-03-10,9493.22
2021-03-11,9361.01
2021-03-12,9328.91
2021-03-15,9387.1
2021-03-16,9284.56
2021-03-17,9290.56
2021-03-18,9176.64
2021-03-19,9295.64
2021-03-22,9259.38
2021-03-23,9251.74
2021-03-24,9336.82
2021-03-25,9349.76
2021-03-26,9286.67
2021-03-29,9308.4
2021-03-30,9345.32
2021-03-31,9310.66
2021-04-01,9312.94
2021-04-02,9237.15
2021-04-05,9241.64
2021-04-06,9122.68
2021-04-07,9062.09
2021-04-08,9071.81
2021-04-09,9136.39
2021-04-12,9197.71
2021-04-13,9212.72
2021-04-14,9034.97
2021-04-15,9070.45
2021-04-16,9040.61
2021-04-19,9074.83
2021-04-20,8983.86
2021-04-21,9067.66
2021-04-22,9063.81
2021-04-23,9072.53
2021-04-26,9001.59
2021-04-27,8948.81
2021-04-28,8988.08
2021-04-29,8921.86
2021-04-30,8978.49
2021-05-03,9146.97
2021-05-04,9133.36
2021-05-06,9196.15
2021-05-07,9134.43
2021-05-10,9019.97
2021-05-11,9097.17
2021-05-12,9173.59
2021-05-13,9260.7
2021-05-14,9248.72
2021-05-17,9348.81
2021-05-18,9264.03
2021-05-20,9294.38
2021-05-21,9220.09
2021-05-24,9212.56
2021-05-25,9124.83
2021-05-26,9049.58
2021-05-27,9066.34
2021-05-28,9014.24
2021-05-31,8958.19
2021-06-01,8869.39
2021-06-02,8999.04
2021-06-03,8998.96
2021-06-04,9038.19
2021-06-07,8994.9
2021-06-08,9010.45
2021-06-09,9014.76
2021-06-10,9026.51
2021-06-11,8964.55
2021-06-14,9047.74
2021-06-15,9063.15
2021-06-16,9051.34
2021-06-17,9276.82
2021-06-18,9289.59
2021-06-21,9317.28
2021-06-22,9290.6
2021-06-23,9363.69
2021-06-24,9340.08
2021-06-25,9222.03
2021-06-28,9264.28
2021-06-29,9231.06
2021-06-30,9189.17
2021-07-01,9302.76
2021-07-02,9334.28
2021-07-05,9264.82
2021-07-06,9247.46
2021-07-07,9379.0
2021-07-08,9521.84
2021-07-09,9568.65
2021-07-12,9526.58
2021-07-13,9509.23
2021-07-14,9543.58
2021-07-15,9436.28
2021-07-16,9409.12
2021-07-19,9534.44
2021-07-20,9584.59
2021-07-21,9643.74
2021-07-22,9558.77
2021-07-23,9595.12
2021-07-26,9659.38
2021-07-27,9589.78
2021-07-28,9657.06
2021-07-29,9517.81
2021-07-30,9579.32
2021-08-02,9586.8
2021-08-03,9559.87
2021-08-04,9471.99
2021-08-05,9475.01
2021-08-06,9437.16
2021-08-09,9486.74
2021-08-10,9571.37
2021-08-11,9652.54
2021-08-12,9743.32
2021-08-13,9871.99
2021-08-17,10008.87
2021-08-18,9864.23
2021-08-19,9976.5
2021-08-20,10067.16
2021-08-23,9954.74
2021-08-24,9802.99
2021-08-25,9845.51
2021-08-26,9878.47
2021-08-27,9867.15
2021-08-30,9833.27
2021-08-31,9698.36
2021-09-01,9670.37
2021-09-02,9732.2
2021-09-03,9673.81
2021-09-06,9645.59
2021-09-07,9682.36
2021-09-08,9818.42
2021-09-09,9863.69
2021-09-10,9864.39
2021-09-13,9978.43
2021-09-14,9904.25
2021-09-15,9892.61
2021-09-16,9904.34
2021-09-17,9966.46
2021-09-23,9944.2
