Date,Value
2025-12-04,3305.47
2025-12-05,3420.47
2025-12-08,3309.43
2025-12-09,3305.2
2025-12-10,3276.46
2025-12-11,3332.97
2025-12-12,3374.82
2025-12-15,3391.47
2025-12-16,3562.12
2025-12-17,3605.18
2025-12-18,3736.92
2025-12-19,3578.7
2025-12-22,3504.38
2025-12-23,3564.03
2025-12-24,3613.25
2025-12-26,3509.68
2025-12-29,3432.41
2025-12-30,3530.5
2026-01-02,3353.91
2026-01-05,3252.91
2026-01-06,3246.2
2026-01-07,3325.29
2026-01-08,3328.3
2026-01-09,3317.51
2026-01-12,3345.5
2026-01-13,3338.5
2026-01-14,3413.39
2026-01-15,3348.34
2026-01-16,3257.2
2026-01-19,3202.16
2026-01-20,3218.52
2026-01-21,3504.45
2026-01-22,3276.03
2026-01-23,2973.96
2026-01-26,2312.82
2026-01-27,2174.49
2026-01-28,1870.7
2026-01-29,1755.83
2026-01-30,1844.7
2026-02-02,2040.92
2026-02-03,1882.5
2026-02-04,1901.45
2026-02-05,2056.49
2026-02-06,2209.67
2026-02-09,1984.55
2026-02-10,2055.81
2026-02-11,2068.75
2026-02-12,1999.26
2026-02-13,2071.93
2026-02-19,1773.46
2026-02-20,1808.85
2026-02-23,1850.18
2026-02-24,1807.38
2026-02-25,1793.16
2026-02-26,1665.46
2026-02-27,1629.85
2026-03-03,1799.62
2026-03-04,2339.44
2026-03-05,1735.17
2026-03-06,1513.22
2026-03-09,1618.86
2026-03-10,1529.95
2026-03-11,1627.97
2026-03-12,1600.13
2026-03-13,1584.36
2026-03-16,1639.5
2026-03-17,1636.05
2026-03-18,1531.82
2026-03-19,1608.68
2026-03-20,1546.99
2026-03-23,1721.2
2026-03-24,1636.12
2026-03-25,1525.32
2026-03-26,1599.6
2026-03-27,1564.59
2026-03-30,1666.01
2026-03-31,1842.87
2026-04-01,1641.59
2026-04-02,1826.45
2026-04-03,1834.1
2026-04-06,1898.94
2026-04-07,1913.4
2026-04-08,1688.99
2026-04-09,1748.97
2026-04-10,1699.96
2026-04-13,1710.8
2026-04-14,1676.88
2026-04-15,1561.63
2026-04-16,1533.14
2026-04-17,1541.85
2026-04-20,1510.88
2026-04-21,1485.15
2026-04-22,1498.66
2026-04-23,1521.02
2026-04-24,1420.61
2026-04-27,1369.27
2026-04-28,1413.06
2026-04-29,1407.05
2026-04-30,1483.35
2026-05-04,1429.71
2026-05-06,1437.79
2026-05-07,1458.34
2026-05-08,1452.39
2026-05-11,1463.89
2026-05-12,1542.61
2026-05-13,1540.02
2026-05-14,1466.41
2026-05-15,1614.78
2026-05-18,1705.96
2026-05-19,1763.63
2026-05-20,1869.56
2026-05-21,1661.54
2026-05-22,1424.06
2026-05-26,1390.92
2026-05-27,1476.58
2026-05-28,1544.91
2026-05-29,1595.31
2026-06-01,1655.54
2026-06-02,1730.7
2026-06-04,1595.52
2026-06-05,1782.3
2026-06-08,2178.88
2026-06-09,1759.89
2026-06-10,1895.87
2026-06-11,1596.43
2026-06-12,1522.43
2026-06-15,1500.91
2026-06-16,1580.55
2026-06-17,1497.55
2026-06-18,1599.46
2026-06-19,1720.74
2026-06-22,1603.67
2026-06-23,1896.94
2026-06-24,1777.21
2026-06-25,1891.0
2026-06-26,2021.87
2026-06-29,1661.78
2026-06-30,1711.53
2026-07-01,1672.4
2026-07-02,1927.67
2026-07-03,1975.94
2026-07-06,2100.56
2026-07-07,2170.85
2026-07-08,2447.98
2026-07-09,2337.4
2026-07-10,2113.46
2026-07-13,2338.92
2026-07-14,2456.68
2026-07-15,2092.37
2026-07-16,2343.05
2026-07-20,2684.17
2026-07-21,2645.8
2026-07-22,2717.5
2026-07-23,2312.79
2026-07-24,2630.44
2026-07-27,2435.4
2026-07-28,2860.48
2026-07-29,3240.09
2026-07-30,3540.93
2026-07-31,2761.88
2026-08-03,2384.9
2026-08-04,2070.99
2026-08-05,2006.1
2026-08-06,2007.98
2026-08-07,1980.05
2026-08-10,1652.94
2026-08-11,1661.2
2026-08-12,1676.87
2026-08-13,1627.68
2026-08-14,1654.81
2026-08-18,1784.32
2026-08-19,1775.36
2026-08-20,1666.36
2026-08-21,1850.03
2026-08-24,1774.41
2026-08-25,1722.66
2026-08-26,1770.19
2026-08-27,1670.42
2026-08-28,1689.38
2026-08-31,1728.82
2026-09-01,1819.13
2026-09-02,1901.93
