날짜,종가,NAV,괴리율
2019-07-01,9625,9619.89,0.05
2019-07-02,9750,9744.09,0.06
2019-07-03,9835,9828.68,0.06
2019-07-04,9795,9803.91,-0.09
2019-07-05,9825,9833.83,-0.09
2019-07-08,10015,10024.69,-0.1
2019-07-09,9995,9984.07,0.11
2019-07-10,10015,10029.54,-0.14
2019-07-11,9880,9871.54,0.09
2019-07-12,9965,9968.85,-0.04
2019-07-15,9975,9975.59,-0.01
2019-07-16,9950,9953.36,-0.03
2019-07-17,10010,10011.08,-0.01
2019-07-18,9970,9963.66,0.06
2019-07-19,9895,9898.74,-0.04
2019-07-22,9965,9967.87,-0.03
2019-07-23,9975,9971.05,0.04
2019-07-24,9955,9947.9,0.07
2019-07-25,10020,10019.39,0.01
2019-07-26,10075,10066.25,0.09
2019-07-29,10060,10052.17,0.08
2019-07-30,10030,10035.56,-0.06
2019-07-31,10045,10048.31,-0.03
2019-08-01,10145,10143.36,0.02
2019-08-02,10305,10312.04,-0.07
2019-08-05,10625,10620.71,0.04
2019-08-06,10615,10610.38,0.04
2019-08-07,10600,10611.03,-0.1
2019-08-08,10505,10498.87,0.06
2019-08-09,10530,10541.3,-0.11
2019-08-12,10625,10635.92,-0.1
2019-08-13,10735,10761.26,-0.24
2019-08-14,10565,10576.3,-0.11
2019-08-16,10540,10542.09,-0.02
2019-08-19,10540,10524.87,0.14
2019-08-20,10495,10488.73,0.06
2019-08-21,10390,10381.8,0.08
2019-08-22,10475,10478.64,-0.03
2019-08-23,10540,10570.48,-0.29
2019-08-26,10660,10671.82,-0.11
2019-08-27,10550,10564.65,-0.14
2019-08-28,10595,10594.69,0.0
2019-08-29,10645,10639.74,0.05
2019-08-30,10555,10554.75,0.0
2019-09-02,10545,10545.96,-0.01
2019-09-03,10635,10637.21,-0.02
2019-09-04,10505,10499.76,0.05
2019-09-05,10370,10358.47,0.11
2019-09-06,10305,10281.77,0.23
2019-09-09,10240,10240.68,-0.01
2019-09-10,10235,10245.86,-0.11
2019-09-11,10205,10198.68,0.06
2019-09-16,10075,10061.49,0.13
2019-09-17,10205,10197.94,0.07
2019-09-18,10225,10210.76,0.14
2019-09-19,10255,10265.09,-0.1
2019-09-20,10160,10163.44,-0.03
2019-09-23,10265,10274.54,-0.09
2019-09-24,10295,10296.03,-0.01
2019-09-25,10345,10339.11,0.06
2019-09-26,10360,10353.39,0.06
2019-09-27,10380,10371.2,0.08
2019-09-30,10320,10322.07,-0.02
2019-10-01,10370,10369.92,0.0
2019-10-02,10485,10493.28,-0.08
2019-10-04,10320,10304.28,0.15
2019-10-07,10325,10325.62,-0.01
2019-10-08,10265,10282.86,-0.17
2019-10-10,10320,10316.4,0.03
2019-10-11,10195,10190.13,0.05
2019-10-14,10125,10113.18,0.12
2019-10-15,10130,10128.11,0.02
2019-10-16,10180,10184.69,-0.05
2019-10-17,10165,10158.86,0.06
2019-10-18,10075,10071.6,0.03
2019-10-21,9915,9893.71,0.22
2019-10-22,9875,9871.77,0.03
2019-10-23,9915,9920.76,-0.06
2019-10-24,9925,9920.08,0.05
2019-10-25,9935,9929.49,0.06
2019-10-28,9880,9888.24,-0.08
2019-10-29,9760,9763.96,-0.04
2019-10-30,9850,9848.95,0.01
2019-10-31,9770,9771.6,-0.02
2019-11-01,9810,9811.09,-0.01
2019-11-04,9705,9715.95,-0.11
2019-11-05,9675,9687.49,-0.13
2019-11-06,9660,9682.94,-0.24
2019-11-07,9705,9713.79,-0.09
2019-11-08,9675,9664.67,0.11
2019-11-11,9830,9811.43,0.19
2019-11-12,9740,9734.88,0.05
2019-11-13,9845,9836.52,0.09
2019-11-14,9875,9885.73,-0.11
2019-11-15,9830,9825.45,0.05
2019-11-18,9780,9793.72,-0.14
2019-11-19,9850,9858.8,-0.09
2019-11-20,9890,9894.5,-0.05
2019-11-21,10030,10028.31,0.02
2019-11-22,10055,10042.53,0.12
2019-11-25,9985,9991.03,-0.06
2019-11-26,9985,10001.1,-0.16
2019-11-27,10005,10007.36,-0.02
2019-11-28,10045,10063.06,-0.18
2019-11-29,10085,10073.29,0.12
2019-12-02,10110,10120.55,-0.1
2019-12-03,10175,10181.96,-0.07
2019-12-04,10310,10312.91,-0.03
2019-12-05,10230,10243.11,-0.13
2019-12-06,10220,10213.28,0.07
2019-12-09,10230,10227.49,0.02
2019-12-10,10260,10271.82,-0.12
2019-12-11,10310,10318.62,-0.08
2019-12-12,10170,10170.28,-0.0
2019-12-13,9915,9904.44,0.11
2019-12-16,9925,9928.46,-0.03
2019-12-17,9820,9818.65,0.01
2019-12-18,9870,9868.24,0.02
2019-12-19,9810,9808.59,0.01
2019-12-20,9740,9737.41,0.03
2019-12-23,9780,9778.42,0.02
2019-12-24,9780,9776.15,0.04
2019-12-26,9740,9732.2,0.08
2019-12-27,9740,9733.17,0.07
2019-12-30,9670,9670.8,-0.01
2020-01-02,9700,9713.38,-0.14
2020-01-03,9845,9852.23,-0.07
2020-01-06,9940,9933.91,0.06
2020-01-07,9840,9833.1,0.07
2020-01-08,9930,9925.89,0.04
2020-01-09,9715,9710.3,0.05
2020-01-10,9760,9767.15,-0.07
2020-01-13,9665,9666.88,-0.02
2020-01-14,9670,9664.84,0.05
2020-01-15,9690,9692.18,-0.02
2020-01-16,9755,9757.76,-0.03
2020-01-17,9735,9730.0,0.05
2020-01-20,9710,9722.09,-0.12
2020-01-21,9865,9866.38,-0.01
2020-01-22,9815,9824.06,-0.09
2020-01-23,9885,9889.25,-0.04
2020-01-28,10020,10034.89,-0.15
2020-01-29,10035,10041.52,-0.06
2020-01-30,10170,10180.09,-0.1
2020-01-31,10290,10303.25,-0.13
2020-02-03,10355,10354.84,0.0
2020-02-04,10215,10213.9,0.01
2020-02-05,10285,10284.21,0.01
2020-02-06,10085,10084.69,0.0
2020-02-07,10200,10211.36,-0.11
2020-02-10,10215,10226.32,-0.11
2020-02-11,10115,10124.63,-0.1
2020-02-12,10080,10074.51,0.05
2020-02-13,10135,10139.81,-0.05
2020-02-14,10155,10153.14,0.02
2020-02-17,10160,10162.41,-0.02
2020-02-18,10255,10257.91,-0.03
2020-02-19,10255,10251.84,0.03
2020-02-20,10410,10421.19,-0.11
2020-02-21,10595,10624.95,-0.28
2020-02-24,10780,10792.65,-0.12
2020-02-25,10625,10626.98,-0.02
2020-02-26,10740,10740.83,-0.01
2020-02-27,10745,10738.81,0.06
