대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피 종합지수,7,최근 5년,5,0,5,1.22,1.24,80.0,20.0,2.71,-0.89,1.32,1.74,0.89,4,1,105,0,105,0.29,1.19,66.67,33.33,17.91,-20.57,5.76,3.12,5.36,70,35,0.92,0.06,13.33,-13.33,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,8,앞 절반,23,0,23,-0.51,-1.56,30.43,69.57,20.33,-8.9,6.0,5.64,3.2,7,16,529,0,529,-1.11,-1.38,31.19,68.81,22.6,-12.07,5.16,4.34,3.58,165,364,0.6,-0.19,-0.76,0.76,0.5854,0.9411,1.0,1.0,,False,예
코스피 종합지수,8,뒤 절반,24,0,24,1.22,1.19,62.5,37.5,8.2,-4.31,2.86,2.78,1.36,15,9,467,0,467,0.58,0.36,55.89,44.11,14.36,-13.45,3.1,2.49,1.83,261,206,0.64,0.83,6.61,-6.61,0.2837,0.1419,0.5345,0.5345,,False,예
코스피 종합지수,8,최근 10년,10,0,10,1.25,1.09,70.0,30.0,4.53,-0.83,1.84,2.09,0.71,7,3,201,0,201,0.6,0.38,55.22,44.78,9.53,-4.57,2.35,2.12,1.27,111,90,0.64,0.7,14.78,-14.78,0.3616,0.3776,0.5165,0.5165,,False,예
코스피 종합지수,8,최근 5년,5,0,5,0.34,-0.48,40.0,60.0,2.07,-0.83,1.45,1.93,0.71,2,3,100,0,100,0.73,-0.02,49.0,51.0,9.53,-4.15,2.74,2.63,1.1,49,51,-0.38,-0.46,-9.0,9.0,,,,,표본 부족으로 검정 불가,True,아니오
코스피 종합지수,9,앞 절반,23,0,23,-0.89,-0.12,47.83,52.17,3.99,-10.46,4.14,2.43,3.93,11,12,493,0,493,-1.03,-0.25,47.26,52.54,11.22,-14.75,4.67,2.64,4.33,233,259,0.14,0.13,0.56,-0.36,0.8931,0.9431,1.0,1.0,,False,예
코스피 종합지수,9,뒤 절반,23,0,23,-1.35,-0.74,30.43,69.57,2.53,-8.97,2.73,1.3,2.5,7,16,411,0,411,0.25,0.24,53.04,46.96,10.36,-12.0,3.4,2.6,2.42,218,193,-1.59,-0.98,-22.61,22.61,0.017,0.1239,0.026,0.026,,False,예
코스피 종합지수,9,최근 10년,10,0,10,-1.94,-1.05,20.0,80.0,0.88,-8.97,2.95,0.86,2.64,2,8,179,0,179,-0.96,-0.55,41.9,58.1,8.96,-12.0,3.68,2.13,3.18,75,104,-0.99,-0.5,-21.9,21.9,0.3706,0.7153,0.1838,0.1838,,False,예
코스피 종합지수,9,최근 5년,5,0,5,-3.11,-2.28,0.0,100.0,-0.0,-8.97,3.58,,3.11,0,5,87,0,87,-2.06,-1.82,27.59,72.41,8.96,-12.0,4.52,3.0,3.98,24,63,-1.05,-0.46,-27.59,27.59,,,,,표본 부족으로 검정 불가,False,아니오
코스피 종합지수,10,앞 절반,23,0,23,-0.76,-0.39,43.48,56.52,13.9,-16.77,5.63,3.25,3.84,10,13,499,0,499,0.05,0.01,50.1,49.9,32.18,-27.14,7.97,5.19,5.11,250,249,-0.81,-0.4,-6.62,6.62,0.6414,0.6933,0.6593,0.6593,,False,예
코스피 종합지수,10,뒤 절반,23,0,23,-0.27,-0.35,47.83,52.17,7.68,-7.83,3.65,2.55,2.87,11,12,421,0,421,-0.54,-0.48,43.71,56.29,18.86,-22.69,4.93,3.07,3.34,184,237,0.27,0.13,4.12,-4.12,0.8262,0.973,0.8262,0.8262,,False,예
코스피 종합지수,10,최근 10년,10,0,10,-0.47,-1.43,40.0,60.0,7.68,-5.87,4.0,3.39,3.05,4,6,182,0,182,-0.57,-1.01,40.66,59.34,18.86,-13.22,4.72,3.46,3.32,74,108,0.09,-0.42,-0.66,0.66,0.975,0.6254,1.0,1.0,,False,예
