종목,테스트,파라미터,시작연도,방향,시대 구간,구간,표본,거는 방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),1차 판정
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,1일,7,아래,85.71,3.25,22.75,44.39,41.32,후보
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2일,7,아래,57.14,2.09,14.63,42.38,14.77,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,3일,7,아래,57.14,2.57,17.99,41.62,15.52,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,1주,7,아래,42.86,1.47,10.26,40.27,2.58,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,2주,7,아래,42.86,2.04,14.28,37.69,5.17,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭등,전체,1개월,7,위,71.43,3.62,25.37,66.41,5.02,후보
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,1일,7,위,85.71,4.62,32.35,55.18,30.53,후보
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2일,7,위,71.43,1.54,10.81,57.39,14.04,후보
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,3일,7,아래,42.86,-0.59,-4.12,41.62,1.24,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,1주,7,위,71.43,-0.69,-4.82,59.56,11.87,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,2주,7,아래,42.86,-1.59,-11.16,37.69,5.17,제외
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,1개월,7,아래,42.86,-4.55,-31.86,33.55,9.31,제외
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,1일,14,위,85.71,3.94,55.1,49.79,35.93,후보
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,2일,14,위,64.29,1.82,25.44,49.88,14.4,후보
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,3일,14,위,57.14,1.58,22.11,49.94,7.21,제외
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,1주,14,위,57.14,0.39,5.44,49.91,7.23,제외
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,2주,14,위,50.0,1.82,25.44,49.96,0.04,제외
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,1개월,14,아래,57.14,-0.46,-6.49,49.98,7.16,제외
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1일,1,아래,100.0,4.25,4.25,44.11,55.89,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,2일,1,아래,100.0,2.49,2.49,41.89,58.11,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,3일,1,아래,100.0,1.83,1.83,41.14,58.86,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1주,1,아래,100.0,4.68,4.68,39.96,60.04,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,2주,1,위,100.0,0.29,0.29,62.78,37.22,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1개월,1,위,100.0,4.71,4.71,67.09,32.91,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1일,2,위,100.0,8.03,16.05,55.56,44.44,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,2일,2,아래,50.0,0.11,0.21,41.89,8.11,제외
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,3일,2,위,100.0,3.83,7.66,58.76,41.24,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1주,2,위,100.0,0.44,0.88,59.91,40.09,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,2주,2,위,100.0,10.83,21.65,62.78,37.22,후보
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1개월,2,위,100.0,19.1,38.2,67.09,32.91,후보
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,1일,3,위,100.0,6.77,20.31,49.84,50.16,후보
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2일,3,위,66.67,0.76,2.28,49.9,16.77,후보
