종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,3,2일,7,0,7,1.54,1.8,71.43,28.57,6.28,-4.52,4.25
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,3,3일,7,0,7,0.59,2.72,57.14,42.86,8.5,-8.39,5.88
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,3,1주,7,0,7,-0.69,0.19,71.43,28.57,11.7,-12.54,7.76
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,3,2주,7,0,7,1.59,3.86,57.14,42.86,13.43,-11.94,9.31
QQQ,테스트 A(역대급 등락),K=20,2008,폭락,전체,3,1개월,7,0,7,4.55,1.46,57.14,42.86,23.7,-15.76,12.85
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,5,1일,14,0,14,3.94,3.8,85.71,14.29,11.98,-1.84,3.77
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,5,2일,14,0,14,1.82,2.13,64.29,35.71,12.89,-4.52,4.93
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,5,3일,14,0,14,1.58,2.27,57.14,42.86,8.5,-8.39,5.32
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,5,1주,14,0,14,0.39,0.11,57.14,42.86,11.7,-12.54,6.74
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,5,2주,14,0,14,1.82,1.69,50.0,50.0,18.33,-11.94,8.51
QQQ,테스트 A(역대급 등락),K=20,2008,역방향 전체,전체,5,1개월,14,0,14,0.46,-0.73,42.86,57.14,23.7,-17.08,12.5
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1,1일,1,0,1,-4.25,-4.25,0.0,100.0,-4.25,-4.25,
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1,2일,1,0,1,-2.49,-2.49,0.0,100.0,-2.49,-2.49,
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1,3일,1,0,1,-1.83,-1.83,0.0,100.0,-1.83,-1.83,
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1,1주,1,0,1,-4.68,-4.68,0.0,100.0,-4.68,-4.68,
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1,2주,1,0,1,0.29,0.29,100.0,0.0,0.29,0.29,
QQQ,테스트 A(역대급 등락),K=5,2011,폭등,전체,1,1개월,1,0,1,4.71,4.71,100.0,0.0,4.71,4.71,
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1,1일,2,0,2,8.03,8.03,100.0,0.0,8.47,7.58,0.63
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1,2일,2,0,2,-0.11,-0.11,50.0,50.0,4.31,-4.52,6.25
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1,3일,2,0,2,3.83,3.83,100.0,0.0,4.94,2.72,1.57
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1,1주,2,0,2,0.44,0.44,100.0,0.0,0.69,0.19,0.35
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1,2주,2,0,2,10.83,10.83,100.0,0.0,13.43,8.22,3.68
QQQ,테스트 A(역대급 등락),K=5,2011,폭락,전체,1,1개월,2,0,2,19.1,19.1,100.0,0.0,23.7,14.5,6.51
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2,1일,3,0,3,6.77,7.58,100.0,0.0,8.47,4.25,2.22
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2,2일,3,0,3,0.76,2.49,66.67,33.33,4.31,-4.52,4.66
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2,3일,3,0,3,3.16,2.72,100.0,0.0,4.94,1.83,1.6
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2,1주,3,0,3,1.85,0.69,100.0,0.0,4.68,0.19,2.46
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2,2주,3,0,3,7.12,8.22,66.67,33.33,13.43,-0.29,6.93
QQQ,테스트 A(역대급 등락),K=5,2011,역방향 전체,전체,2,1개월,3,0,3,11.16,14.5,66.67,33.33,23.7,-4.71,14.5
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,1,1일,1,0,1,-4.25,-4.25,0.0,100.0,-4.25,-4.25,
QQQ,테스트 A(역대급 등락),K=10,2011,폭등,전체,1,2일,1,0,1,-2.49,-2.49,0.0,100.0,-2.49,-2.49,
