대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
2203,21일 → 말일+2,200,아래,48.0,-0.21,-42.54,46.38,1.62,0.6643,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,21일 → 말일+3,200,위,56.0,0.23,46.53,53.35,2.65,0.4476,4,52.5,제외,0/3,차이 · 우연확률 · 시기
2203,21일 → 말일-1,200,아래,50.5,0.15,30.83,49.53,0.97,0.8332,4,46.67,제외,0/3,차이 · 우연확률 · 시기
2203,21일 → 말일-2,199,아래,53.27,0.45,89.94,52.61,0.65,0.954,4,50.51,제외,0/3,차이 · 우연확률 · 시기
2203,21일 → 말일-3,199,아래,54.77,0.27,54.54,50.14,4.64,0.1888,4,53.54,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일,200,아래,51.0,-0.04,-7.69,48.14,2.86,0.4376,4,48.33,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일+1,200,아래,47.0,-0.25,-49.88,46.14,0.86,0.8432,4,41.67,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일+2,200,아래,48.0,-0.29,-57.33,46.38,1.62,0.6643,4,46.0,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일+3,200,위,56.5,0.3,60.81,53.35,3.15,0.3666,4,54.17,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일-1,200,아래,50.5,0.08,16.49,49.53,0.97,0.8332,4,41.67,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일-2,199,아래,54.27,0.38,75.75,52.61,1.66,0.7363,4,52.1,제외,0/3,차이 · 우연확률 · 시기
2203,22일 → 말일-3,195,아래,51.79,0.2,39.83,50.14,1.66,0.6563,4,45.61,제외,0/3,차이 · 우연확률 · 시기
2203,23일 → 말일,200,위,52.0,0.26,52.8,51.86,0.14,1.0,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2203,23일 → 말일+1,200,위,55.5,0.48,95.19,53.84,1.66,0.6743,4,51.0,제외,0/3,차이 · 우연확률 · 시기
2203,23일 → 말일+2,200,위,55.0,0.5,100.66,53.62,1.38,0.7193,4,51.67,제외,0/3,차이 · 우연확률 · 시기
2203,23일 → 말일+3,200,위,58.5,0.52,104.84,53.35,5.15,0.1429,4,57.0,제외,1/3,차이 · 우연확률
