레벨,레벨가,목표가,매수일,매수 판정환율,매수 집행가,매도일,매도 판정환율,매도 집행가,투입액,매수비용,회수액,매도비용,매도과세,실현손익,이탈 보너스,보유일
37,1342.8877,1353.6308,2009-03-26,1330.5,1330.5,2009-03-30,1391.5,1391.5,1036545.0,1866.0,1080168.0,1948.0,0.0,43624.0,39160.0,4
38,1353.6308,1364.4598,2009-03-26,1330.5,1330.5,2009-03-30,1391.5,1391.5,1036545.0,1866.0,1080168.0,1948.0,0.0,43624.0,39160.0,4
39,1364.4598,1375.3755,2009-03-25,1363.0,1363.0,2009-03-30,1391.5,1391.5,1038011.0,1868.0,1055904.0,1904.0,0.0,17893.0,13376.0,5
40,1375.3755,1386.3785,2009-03-25,1363.0,1363.0,2009-03-30,1391.5,1391.5,1038011.0,1868.0,1055904.0,1904.0,0.0,17893.0,13376.0,5
34,1311.1672,1321.6566,2009-04-06,1309.5,1309.5,2009-04-07,1322.5,1322.5,1010526.0,1819.0,1016887.0,1834.0,0.0,6361.0,1944.0,1
35,1321.6566,1332.2298,2009-04-06,1309.5,1309.5,2009-04-08,1354.5,1354.5,1010526.0,1819.0,1041492.0,1878.0,0.0,30966.0,26594.0,2
36,1332.2298,1342.8877,2009-04-06,1309.5,1309.5,2009-04-08,1354.5,1354.5,1010526.0,1819.0,1041492.0,1878.0,0.0,30966.0,26594.0,2
37,1342.8877,1353.6308,2009-04-02,1334.5,1334.5,2009-04-08,1354.5,1354.5,1011806.0,1821.0,1023276.0,1845.0,0.0,11470.0,7057.0,6
36,1332.2298,1342.8877,2009-04-09,1322.5,1322.5,2009-04-21,1349.5,1349.5,1012213.0,1822.0,1029163.0,1856.0,0.0,16950.0,12545.0,12
37,1342.8877,1353.6308,2009-04-09,1322.5,1322.5,2009-04-28,1356.8,1356.8,1012213.0,1822.0,1034731.0,1866.0,0.0,22517.0,18122.0,19
27,1240.0362,1249.9565,2009-05-11,1237.9,1237.9,2009-05-14,1267.2,1267.2,2013689.0,3625.0,2053937.0,3704.0,0.0,40248.0,31496.0,3
28,1249.9565,1259.9562,2009-05-08,1247.0,1247.0,2009-05-14,1267.2,1267.2,1007801.0,1814.0,1020443.0,1840.0,0.0,12642.0,8248.0,6
28,1249.9565,1259.9562,2009-05-19,1249.5,1249.5,2009-05-26,1263.0,1263.0,1009081.0,1816.0,1016314.0,1833.0,0.0,7234.0,2825.0,7
27,1240.0362,1249.9565,2009-06-01,1237.2,1237.2,2009-06-04,1251.0,1251.0,2016431.0,3630.0,2031590.0,3663.0,0.0,15158.0,6349.0,3
28,1249.9565,1259.9562,2009-06-01,1237.2,1237.2,2009-06-09,1265.0,1265.0,1008216.0,1815.0,1027163.0,1852.0,0.0,18947.0,14563.0,8
28,1249.9565,1259.9562,2009-06-10,1246.7,1246.7,2009-06-15,1262.0,1262.0,1010029.0,1818.0,1018747.0,1837.0,0.0,8718.0,4307.0,5
29,1259.9562,1270.0358,2009-05-08,1247.0,1247.0,2009-06-22,1274.5,1274.5,1007801.0,1814.0,1026321.0,1851.0,0.0,18520.0,14137.0,45
30,1270.0358,1280.1961,2009-05-07,1262.3,1262.3,2009-06-23,1290.8,1290.8,1009368.0,1817.0,1028445.0,1855.0,0.0,19077.0,14688.0,47
31,1280.1961,1290.4377,2009-05-04,1272.5,1272.5,2009-06-23,1290.8,1290.8,1010226.0,1818.0,1021068.0,1841.0,0.0,10842.0,6435.0,50
30,1270.0358,1280.1961,2009-07-01,1267.7,1267.7,2009-07-10,1282.7,1282.7,1013562.0,1824.0,1021867.0,1843.0,0.0,8304.0,3877.0,9
31,1280.1961,1290.4377,2009-06-30,1273.9,1273.9,2009-07-13,1315.0,1315.0,1014373.0,1826.0,1043334.0,1881.0,0.0,28961.0,24568.0,13
32,1290.4377,1300.7612,2009-04-30,1282.0,1282.0,2009-07-13,1315.0,1315.0,1011237.0,1820.0,1033536.0,1864.0,0.0,22299.0,17908.0,74
33,1300.7612,1311.1672,2009-04-30,1282.0,1282.0,2009-07-13,1315.0,1315.0,1011237.0,1820.0,1033536.0,1864.0,0.0,22299.0,17908.0,74
25,1220.4312,1230.1947,2009-08-04,1218.0,1218.0,2009-08-11,1239.0,1239.0,2018937.0,3634.0,2046359.0,3690.0,0.0,27422.0,18624.0,7
26,1230.1947,1240.0362,2009-07-31,1228.5,1228.5,2009-08-12,1246.5,1246.5,2022208.0,3640.0,2044457.0,3687.0,0.0,22249.0,13428.0,12
27,1240.0362,1249.9565,2009-07-28,1236.5,1236.5,2009-08-17,1256.9,1256.9,2024088.0,3643.0,2050082.0,3697.0,0.0,25994.0,17170.0,20
19,1163.4564,1172.764,2009-10-15,1155.0,1155.0,2009-10-21,1179.0,1179.0,2001648.0,3603.0,2035892.0,3671.0,0.0,34244.0,25533.0,6
20,1172.764,1182.1462,2009-10-06,1170.3,1170.3,2009-10-22,1190.0,1190.0,2007893.0,3614.0,2034349.0,3668.0,0.0,26456.0,17704.0,16
21,1182.1462,1191.6033,2009-09-30,1178.1,1178.1,2009-10-28,1195.4,1195.4,2011226.0,3620.0,2033421.0,3667.0,0.0,22194.0,13420.0,28
18,1154.2226,1163.4564,2009-11-17,1154.1,1154.1,2009-11-27,1175.5,1175.5,2005314.0,3610.0,2035151.0,3670.0,0.0,29837.0,21103.0,10
19,1163.4564,1172.764,2009-11-09,1161.0,1161.0,2009-11-27,1175.5,1175.5,2007969.0,3614.0,2025734.0,3653.0,0.0,17766.0,8998.0,18
18,1154.2226,1163.4564,2009-12-02,1154.0,1154.0,2009-12-10,1165.5,1165.5,2007105.0,3613.0,2019815.0,3642.0,0.0,12710.0,3938.0,8
19,1163.4564,1172.764,2009-11-30,1162.8,1162.8,2009-12-17,1177.9,1177.9,2011791.0,3621.0,2030586.0,3662.0,0.0,18795.0,10013.0,17
20,1172.764,1182.1462,2009-11-06,1168.0,1168.0,2009-12-21,1183.7,1183.7,2010980.0,3620.0,2030681.0,3662.0,0.0,19701.0,10924.0,45
15,1126.9587,1135.9743,2010-01-11,1119.8,1119.8,2010-01-20,1138.2,1138.2,1992962.0,3587.0,2018424.0,3640.0,0.0,25461.0,16773.0,9
16,1135.9743,1145.0621,2010-01-07,1135.4,1135.4,2010-01-22,1151.0,1151.0,2001768.0,3603.0,2021972.0,3646.0,0.0,20205.0,11469.0,15
17,1145.0621,1154.2226,2010-01-05,1140.5,1140.5,2010-01-26,1163.3,1163.3,2004522.0,3608.0,2037241.0,3674.0,0.0,32719.0,23993.0,21
18,1154.2226,1163.4564,2010-01-05,1140.5,1140.5,2010-02-01,1169.5,1169.5,2004522.0,3608.0,2048099.0,3693.0,0.0,43577.0,34871.0,27
18,1154.2226,1163.4564,2010-02-03,1149.0,1149.0,2010-02-05,1169.9,1169.9,2013369.0,3624.0,2042618.0,3683.0,0.0,29249.0,20479.0,2
17,1145.0621,1154.2226,2010-02-17,1142.2,1142.2,2010-02-19,1160.4,1160.4,2011659.0,3621.0,2036363.0,3672.0,0.0,24703.0,15932.0,2
13,1109.1414,1118.0145,2010-04-15,1107.5,1107.5,2010-04-19,1118.1,1118.1,1995613.0,3592.0,2007467.0,3620.0,0.0,11854.0,3130.0,4
13,1109.1414,1118.0145,2010-04-21,1107.8,1107.8,2010-04-28,1118.7,1118.7,1996502.0,3594.0,2008895.0,3623.0,0.0,12393.0,3666.0,7
13,1109.1414,1118.0145,2010-04-30,1108.4,1108.4,2010-05-03,1118.6,1118.6,1997839.0,3596.0,2008972.0,3623.0,0.0,11133.0,2398.0,3
14,1118.0145,1126.9587,2010-04-12,1114.1,1114.1,2010-05-06,1141.3,1141.3,1999701.0,3599.0,2041154.0,3681.0,0.0,41453.0,32765.0,24
15,1126.9587,1135.9743,2010-04-01,1126.4,1126.4,2010-05-06,1141.3,1141.3,2006362.0,3611.0,2025590.0,3653.0,0.0,19228.0,10470.0,35
16,1135.9743,1145.0621,2010-03-08,1132.6,1132.6,2010-05-07,1155.4,1155.4,2008134.0,3615.0,2041191.0,3681.0,0.0,33057.0,24316.0,60
17,1145.0621,1154.2226,2010-03-04,1144.6,1144.6,2010-05-07,1155.4,1155.4,2014459.0,3626.0,2026152.0,3654.0,0.0,11694.0,2887.0,64
16,1135.9743,1145.0621,2010-05-10,1132.1,1132.1,2010-05-17,1153.8,1153.8,2015528.0,3628.0,2046774.0,3691.0,0.0,31245.0,22469.0,7
17,1145.0621,1154.2226,2010-05-10,1132.1,1132.1,2010-05-19,1165.1,1165.1,2015528.0,3628.0,2066819.0,3727.0,0.0,51291.0,42550.0,9
18,1154.2226,1163.4564,2010-02-12,1151.3,1151.3,2010-05-19,1165.1,1165.1,2015981.0,3629.0,2032807.0,3666.0,0.0,16827.0,8022.0,96
19,1163.4564,1172.764,2010-01-04,1154.8,1154.8,2010-05-20,1194.1,1194.1,2011575.0,3621.0,2072551.0,3737.0,0.0,60976.0,52271.0,136
20,1172.764,1182.1462,2009-12-28,1170.2,1170.2,2010-05-20,1194.1,1194.1,2018620.0,3634.0,2052439.0,3701.0,0.0,33819.0,25034.0,143
21,1182.1462,1191.6033,2009-11-03,1182.0,1182.0,2010-05-20,1194.1,1194.1,2016840.0,3630.0,2030158.0,3661.0,0.0,13318.0,4503.0,198
22,1191.6033,1201.1362,2009-09-25,1186.1,1186.1,2010-05-24,1214.5,1214.5,2014019.0,3625.0,2054825.0,3705.0,0.0,40806.0,32054.0,241
23,1201.1362,1210.7452,2009-09-23,1194.4,1194.4,2010-05-24,1214.5,1214.5,2017012.0,3631.0,2043578.0,3685.0,0.0,26567.0,17775.0,243
