종목,만기월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
KODEX 200,9,위,-1.0,최근 10년,10,0,7.07,0.71,50.0,4.44,-1.27,1.94,1,3,4.2,예
KODEX 200,9,위,-1.0,최근 5년,5,0,2.85,0.57,40.0,4.44,-1.27,2.32,1,1,4.6,아니오
KODEX 200,9,위,-1.5,전체,23,0,23.21,1.01,69.57,4.61,-5.35,2.5,2,3,4.78,예
KODEX 200,9,위,-1.5,앞 절반,11,0,11.64,1.06,63.64,4.61,-5.35,3.09,1,2,4.45,예
KODEX 200,9,위,-1.5,뒤 절반,12,0,11.57,0.96,75.0,4.44,-2.78,1.95,1,1,5.08,예
KODEX 200,9,위,-1.5,최근 10년,10,0,7.98,0.8,70.0,4.44,-2.78,2.06,1,1,4.9,예
KODEX 200,9,위,-1.5,최근 5년,5,0,3.92,0.78,60.0,4.44,-1.5,2.22,0,1,4.8,아니오
KODEX 200,9,위,-2.0,전체,23,0,21.71,0.94,69.57,4.61,-5.35,2.57,2,3,4.83,예
KODEX 200,9,위,-2.0,앞 절반,11,0,10.64,0.97,63.64,4.61,-5.35,3.18,1,2,4.55,예
KODEX 200,9,위,-2.0,뒤 절반,12,0,11.07,0.92,75.0,4.44,-2.78,2.01,1,1,5.08,예
KODEX 200,9,위,-2.0,최근 10년,10,0,7.48,0.75,70.0,4.44,-2.78,2.13,1,1,4.9,예
KODEX 200,9,위,-2.0,최근 5년,5,0,3.42,0.68,60.0,4.44,-2.0,2.36,0,1,4.8,아니오
KODEX 200,9,위,-2.5,전체,23,0,19.36,0.84,69.57,4.61,-5.35,2.71,3,2,5.04,예
KODEX 200,9,위,-2.5,앞 절반,11,0,9.64,0.88,63.64,4.61,-5.35,3.27,1,2,4.91,예
KODEX 200,9,위,-2.5,뒤 절반,12,0,9.72,0.81,75.0,4.44,-3.35,2.22,2,0,5.17,예
KODEX 200,9,위,-2.5,최근 10년,10,0,6.12,0.61,70.0,4.44,-3.35,2.35,2,0,5.0,예
KODEX 200,9,위,-2.5,최근 5년,5,0,2.07,0.41,60.0,4.44,-3.35,2.78,1,0,5.0,아니오
KODEX 200,9,위,-3.0,전체,23,0,18.13,0.79,69.57,4.61,-5.35,2.78,2,3,5.04,예
KODEX 200,9,위,-3.0,앞 절반,11,0,8.64,0.79,63.64,4.61,-5.35,3.38,1,2,4.91,예
KODEX 200,9,위,-3.0,뒤 절반,12,0,9.5,0.79,75.0,4.44,-3.35,2.25,1,1,5.17,예
KODEX 200,9,위,-3.0,최근 10년,10,0,5.9,0.59,70.0,4.44,-3.35,2.39,1,1,5.0,예
KODEX 200,9,위,-3.0,최근 5년,5,0,2.07,0.41,60.0,4.44,-3.35,2.78,1,0,5.0,아니오
KODEX 200,9,위,-3.5,전체,23,0,16.84,0.73,69.57,4.61,-5.35,2.86,1,3,5.04,예
