종목,청산 요일,만기월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남
KODEX 200,금요일,5,24,0,24,-0.16,0.17,54.17,45.83,3.8,-8.5,3.18,2.0,2.71,13,11,96,0,96,0.36,0.55,59.38,40.62,9.55,-9.43,2.98,2.13,2.21,57,39,-0.52,-0.37,-5.21,5.21,0.2587,0.4776,0.6169,0.6169,,True
KODEX 200,금요일,6,24,0,24,0.3,-0.58,45.83,54.17,18.62,-7.35,4.89,3.81,2.68,11,13,100,0,100,-0.03,-0.0,50.0,50.0,18.62,-10.16,3.49,2.37,2.43,50,50,0.33,-0.58,-4.17,4.17,0.6567,0.2139,0.6965,0.6965,,True
KODEX 200,금요일,7,24,0,24,0.42,0.83,70.83,29.17,3.73,-7.39,2.27,1.45,2.08,17,7,106,0,106,0.13,0.43,55.66,43.4,11.93,-10.23,2.85,2.01,2.28,59,46,0.29,0.41,15.17,-14.23,0.6915,0.2786,0.1443,0.1393,,False
KODEX 200,금요일,8,24,0,24,-1.02,-0.32,50.0,50.0,6.31,-13.01,4.13,2.14,4.18,12,12,102,0,102,-0.07,0.23,56.86,43.14,11.28,-13.01,3.42,2.12,2.95,58,44,-0.95,-0.55,-6.86,6.86,0.1294,0.3134,0.6517,0.6517,,False
KODEX 200,금요일,9,23,0,23,1.25,1.49,78.26,21.74,4.61,-3.32,2.28,2.15,1.98,18,5,93,0,93,0.29,0.43,56.99,41.94,7.51,-7.93,2.88,2.22,2.32,53,39,0.96,1.06,21.27,-20.2,0.1095,0.0498,0.0249,0.0249,,False
KODEX 200,금요일,10,23,0,23,0.15,0.85,65.22,34.78,6.38,-8.32,3.3,1.95,3.23,15,8,97,0,97,0.13,0.39,56.7,43.3,9.06,-22.77,4.0,2.4,2.85,55,42,0.02,0.46,8.52,-8.52,0.9403,0.3433,0.3433,0.3433,,False
KODEX 200,금요일,11,24,0,24,-0.03,0.26,50.0,50.0,6.92,-8.2,3.45,2.48,2.54,12,12,102,0,102,0.36,0.28,53.92,45.1,15.0,-8.2,3.36,2.54,2.23,55,46,-0.39,-0.02,-3.92,4.9,0.4627,0.8557,0.6418,0.6368,,False
KODEX 200,금요일,12,24,0,24,0.05,0.45,62.5,37.5,3.23,-4.58,1.84,1.19,1.86,15,9,98,0,98,0.56,0.79,66.33,33.67,9.81,-5.01,2.47,1.94,2.14,65,33,-0.52,-0.34,-3.83,3.83,0.2537,0.4627,0.8458,0.8458,,False
KODEX 200,목요일,1,24,0,24,0.11,0.57,66.67,33.33,5.1,-7.62,3.0,1.84,3.37,16,8,100,0,100,0.29,0.33,55.0,42.0,6.21,-8.22,2.66,2.06,2.01,55,42,-0.18,0.24,11.67,-8.67,0.7413,0.6169,0.2836,0.4975,,False
KODEX 200,목요일,2,24,0,24,0.59,0.24,58.33,37.5,6.67,-5.65,2.27,1.86,1.3,14,9,91,0,91,0.2,0.31,56.04,41.76,12.6,-12.05,3.09,2.06,2.28,51,38,0.39,-0.07,2.29,-4.26,0.4925,0.7861,0.806,0.6368,,False
KODEX 200,목요일,3,24,0,24,0.58,1.1,66.67,33.33,8.94,-19.62,4.97,2.64,3.54,16,8,103,0,103,0.29,0.51,53.4,46.6,14.85,-19.62,3.75,2.55,2.29,55,48,0.29,0.59,13.27,-13.27,0.7861,0.2537,0.2289,0.2289,,False
KODEX 200,목요일,4,24,0,24,0.86,0.41,66.67,33.33,8.55,-3.27,2.72,2.03,1.48,16,8,101,0,101,0.44,0.16,54.46,44.55,15.73,-7.25,3.07,2.27,1.79,55,45,0.42,0.25,12.21,-11.22,0.5075,0.597,0.2637,0.2637,,False
KODEX 200,목요일,5,24,0,24,-0.08,0.23,54.17,45.83,4.19,-5.71,2.89,2.01,2.55,13,11,96,0,96,0.37,0.35,58.33,41.67,7.99,-5.86,2.85,2.19,2.19,56,40,-0.45,-0.12,-4.17,4.17,0.3035,0.597,0.6119,0.6119,,True
KODEX 200,목요일,6,24,0,24,0.48,-0.29,45.83,54.17,18.65,-6.65,4.68,3.63,2.19,11,13,100,0,100,0.02,0.25,54.0,45.0,18.65,-15.29,3.54,2.06,2.43,54,45,0.46,-0.54,-8.17,9.17,0.4876,0.3483,0.403,0.393,,True
KODEX 200,목요일,7,24,0,24,0.44,0.78,70.83,29.17,4.38,-7.39,2.18,1.36,1.81,17,7,106,0,106,0.15,0.68,60.38,39.62,12.85,-22.6,3.54,1.96,2.61,64,42,0.29,0.1,10.46,-10.46,0.7811,0.6766,0.4129,0.4129,,False
KODEX 200,목요일,8,24,0,24,-0.67,0.37,54.17,45.83,4.98,-10.13,3.52,1.9,3.71,13,11,102,0,102,-0.02,0.46,55.88,43.14,8.46,-10.55,3.12,2.06,2.72,57,44,-0.65,-0.09,-1.72,2.7,0.2786,0.9453,1.0,0.8159,,True
KODEX 200,목요일,9,23,0,23,0.89,0.99,78.26,21.74,5.85,-3.8,2.55,1.94,2.91,18,5,93,0,93,0.25,0.42,60.22,38.71,8.39,-6.69,2.72,2.0,2.47,56,36,0.64,0.57,18.05,-16.97,0.2289,0.3433,0.0796,0.1095,,False
KODEX 200,목요일,10,23,0,23,0.26,0.92,56.52,43.48,6.7,-7.11,3.13,2.4,2.52,13,10,96,0,96,0.12,0.1,52.08,47.92,7.39,-12.35,3.18,2.36,2.33,50,46,0.14,0.82,4.44,-4.44,0.7015,0.1393,0.6468,0.6468,,False
KODEX 200,목요일,11,24,0,24,-0.04,-0.01,50.0,50.0,6.55,-12.46,3.76,2.6,2.68,12,12,102,0,102,0.37,0.76,60.78,39.22,12.63,-12.46,3.15,2.2,2.47,62,40,-0.4,-0.76,-10.78,10.78,0.4478,0.1493,0.3333,0.3333,,False
KODEX 200,목요일,12,24,0,24,-0.14,0.31,58.33,41.67,3.01,-5.63,1.95,1.12,1.9,14,10,98,0,98,0.45,0.59,61.22,38.78,14.91,-5.63,2.62,1.9,1.84,60,38,-0.59,-0.28,-2.89,2.89,0.2338,0.6816,0.7811,0.7811,,True
