대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
229200,16일 → 말일-2,16,-2,최근 5년,60,0,60,-0.55,0.14,50.0,48.33,27.24,-18.08,6.34,1039,0,1039,-0.22,-0.21,47.74,51.97,31.61,-33.08,6.58,-0.33,0.35,2.26,-3.64,0.6284,0.5864,0.8062,0.6024,,False,예
229200,16일 → 말일-1,16,-1,앞 절반,65,0,65,-0.2,0.24,52.31,47.69,8.41,-10.43,4.21,1182,0,1182,0.0,0.05,50.17,49.58,21.47,-18.22,4.54,-0.2,0.19,2.14,-1.88,0.6464,0.6763,0.8082,0.8122,,True,예
229200,16일 → 말일-1,16,-1,뒤 절반,66,0,66,-0.28,0.01,50.0,50.0,30.96,-21.91,6.61,1199,0,1199,0.03,0.17,51.46,48.21,35.46,-36.21,6.69,-0.32,-0.15,-1.46,1.79,0.7223,0.8651,0.8921,0.7822,,False,예
229200,16일 → 말일-1,16,-1,최근 10년,120,0,120,-0.31,0.2,50.83,49.17,30.96,-21.91,5.71,2208,0,2208,0.07,0.15,51.36,48.32,35.46,-36.21,5.89,-0.39,0.05,-0.53,0.84,0.4765,0.7982,1.0,0.9261,,True,예
229200,16일 → 말일-1,16,-1,최근 5년,60,0,60,-0.28,-0.62,48.33,51.67,30.96,-21.91,6.87,1099,0,1099,0.06,0.17,51.14,48.68,35.46,-36.21,6.93,-0.35,-0.79,-2.8,2.99,0.6673,0.3307,0.6753,0.6743,,False,예
229200,16일 → 말일,16,0,앞 절반,65,0,65,-0.21,0.3,50.77,46.15,14.77,-11.18,4.97,1246,0,1246,0.05,0.0,49.92,49.52,28.6,-19.99,4.9,-0.25,0.3,0.85,-3.36,0.6044,0.6334,1.0,0.7083,,True,예
229200,16일 → 말일,16,0,뒤 절반,66,0,66,-0.24,-0.24,48.48,51.52,28.37,-11.22,6.3,1264,0,1264,0.09,0.26,51.74,48.02,32.77,-27.22,6.24,-0.33,-0.5,-3.26,3.49,0.6563,0.5704,0.7173,0.6214,,False,예
229200,16일 → 말일,16,0,최근 10년,120,0,120,-0.34,-0.12,49.17,50.0,28.37,-11.22,5.83,2328,0,2328,0.07,0.12,50.9,48.75,32.77,-27.22,5.77,-0.4,-0.25,-1.74,1.25,0.4266,0.6623,0.7872,0.8641,,False,예
229200,16일 → 말일,16,0,최근 5년,60,0,60,-0.23,-0.77,48.33,51.67,28.37,-11.22,6.52,1159,0,1159,0.13,0.26,51.94,47.8,32.77,-27.22,6.43,-0.35,-1.03,-3.61,3.87,0.6334,0.1489,0.5744,0.5654,,False,예
229200,16일 → 말일+1,16,1,앞 절반,65,0,65,0.31,0.32,50.77,47.69,10.57,-11.06,4.81,1310,0,1310,0.55,0.17,51.3,48.17,23.89,-19.89,4.77,-0.24,0.15,-0.53,-0.48,0.6753,0.9421,1.0,1.0,,False,예
