대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
2203,17일 → 말일-2,17,-2,200,0,200,-0.62,-0.08,48.5,51.5,26.57,-18.13,4.47,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.29,0.09,1.14,-1.11,0.4136,0.6763,0.7373,0.7383,,False,예
2203,17일 → 말일-1,17,-1,200,0,200,-0.32,0.01,50.0,50.0,30.52,-21.41,4.69,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.3,-0.05,-0.45,0.47,0.3896,0.9441,0.9451,0.9491,,False,예
2203,17일 → 말일,17,0,200,0,200,-0.21,-0.07,49.0,51.0,27.8,-11.51,4.81,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.31,-0.24,-2.86,2.86,0.3516,0.4655,0.4376,0.4376,,False,예
2203,17일 → 말일+1,17,1,200,0,200,0.01,0.06,50.5,49.5,20.78,-11.49,4.68,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.31,-0.25,-3.34,3.36,0.3826,0.3926,0.3457,0.3457,,False,예
2203,17일 → 말일+2,17,2,200,0,200,0.04,0.17,52.5,47.5,25.53,-15.78,5.14,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.32,-0.18,-1.12,1.12,0.3816,0.6034,0.7762,0.7762,,False,예
2203,17일 → 말일+3,17,3,200,0,200,0.06,0.35,53.0,47.0,25.08,-16.27,5.45,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.29,-0.08,-0.35,0.35,0.4515,0.8342,0.9441,0.9441,,False,예
2203,18일 → 말일-3,18,-3,200,0,200,-0.4,-0.03,49.5,50.5,17.76,-12.76,3.7,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.24,-0.03,-0.36,0.36,0.4825,0.99,0.9351,0.9351,,False,예
2203,18일 → 말일-2,18,-2,200,0,200,-0.57,-0.15,48.0,52.0,26.57,-18.13,4.31,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.24,0.02,0.64,-0.61,0.4895,0.8521,0.8472,0.8452,,False,예
2203,18일 → 말일-1,18,-1,200,0,200,-0.28,-0.09,49.5,50.5,30.52,-21.41,4.53,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.26,-0.15,-0.95,0.97,0.4545,0.6993,0.8312,0.8332,,False,예
2203,18일 → 말일,18,0,200,0,200,-0.16,-0.13,49.5,50.5,27.8,-11.72,4.72,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.27,-0.3,-2.36,2.36,0.4316,0.3467,0.5315,0.5315,,False,예
2203,18일 → 말일+1,18,1,200,0,200,0.05,0.07,51.5,48.5,20.78,-10.47,4.48,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.27,-0.24,-2.34,2.36,0.4675,0.4116,0.5255,0.5255,,False,예
2203,18일 → 말일+2,18,2,200,0,200,0.08,0.22,52.0,48.0,25.53,-13.23,5.01,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.28,-0.13,-1.62,1.62,0.4306,0.7203,0.6643,0.6643,,False,예
2203,18일 → 말일+3,18,3,200,0,200,0.11,0.35,51.5,48.5,25.08,-15.74,5.32,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.24,-0.08,-1.85,1.85,0.5355,0.8312,0.5914,0.5914,,False,예
2203,19일 → 말일-3,19,-3,200,0,200,-0.3,-0.28,46.0,54.0,19.92,-12.76,3.64,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.15,-0.28,-3.86,3.86,0.6803,0.3526,0.2697,0.2697,,False,예
2203,19일 → 말일-2,19,-2,200,0,200,-0.48,-0.36,44.0,56.0,25.35,-18.13,4.29,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.15,-0.19,-3.36,3.39,0.6643,0.4905,0.3786,0.3786,,False,예
2203,19일 → 말일-1,19,-1,200,0,200,-0.18,-0.19,49.0,51.0,29.26,-21.41,4.55,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.16,-0.25,-1.45,1.47,0.6474,0.4645,0.7303,0.7273,,False,예
2203,19일 → 말일,19,0,200,0,200,-0.06,0.07,51.0,49.0,31.42,-11.76,4.83,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.16,-0.09,-0.86,0.86,0.6264,0.7672,0.8372,0.8372,,True,예
2203,19일 → 말일+1,19,1,200,0,200,0.15,-0.07,49.5,50.5,25.56,-11.64,4.49,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.17,-0.39,-4.34,4.36,0.6334,0.1838,0.2338,0.2308,,True,예
2203,19일 → 말일+2,19,2,200,0,200,0.19,-0.04,50.0,50.0,30.02,-16.08,5.16,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.17,-0.39,-3.62,3.62,0.6354,0.2498,0.3057,0.3057,,False,예
2203,19일 → 말일+3,19,3,200,0,200,0.21,0.35,51.5,48.5,30.64,-17.44,5.35,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.14,-0.08,-1.85,1.85,0.7183,0.8312,0.5914,0.5914,,False,예
2203,20일 → 말일-3,20,-3,199,0,199,-0.33,-0.25,46.73,53.27,16.26,-10.13,3.34,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.17,-0.24,-3.13,3.13,0.6364,0.4146,0.3776,0.3776,,False,예
2203,20일 → 말일-2,20,-2,200,0,200,-0.5,-0.24,45.0,55.0,24.95,-12.52,3.95,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.17,-0.07,-2.36,2.39,0.6244,0.8242,0.5714,0.5654,,False,예
2203,20일 → 말일-1,20,-1,200,0,200,-0.21,-0.08,49.0,51.0,28.84,-15.87,4.17,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.19,-0.14,-1.45,1.47,0.5924,0.7193,0.7303,0.7273,,False,예
2203,20일 → 말일,20,0,200,0,200,-0.09,0.05,50.5,49.5,26.16,-11.76,4.38,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.19,-0.11,-1.36,1.36,0.5684,0.7133,0.7363,0.7363,,True,예
2203,20일 → 말일+1,20,1,200,0,200,0.12,0.12,52.5,47.5,19.24,-11.64,4.12,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.19,-0.19,-1.34,1.36,0.5924,0.5185,0.7273,0.7253,,False,예
2203,20일 → 말일+2,20,2,200,0,200,0.16,0.18,51.5,48.5,23.93,-15.41,4.84,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.2,-0.17,-2.12,2.12,0.5974,0.6304,0.5544,0.5544,,False,예
2203,20일 → 말일+3,20,3,200,0,200,0.18,0.63,55.0,45.0,23.47,-17.44,5.08,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.17,0.2,1.65,-1.65,0.6833,0.6064,0.6384,0.6384,,False,예
2203,21일 → 말일-3,21,-3,199,0,199,-0.27,-0.19,45.23,54.77,22.16,-9.88,3.22,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.12,-0.19,-4.64,4.64,0.7433,0.5514,0.1888,0.1888,,False,예
2203,21일 → 말일-2,21,-2,199,0,199,-0.45,-0.11,46.73,53.27,31.29,-12.52,3.98,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.12,0.06,-0.62,0.65,0.7213,0.7512,0.956,0.954,,False,예
2203,21일 → 말일-1,21,-1,200,0,200,-0.15,-0.11,49.5,50.5,35.38,-15.98,4.24,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.13,-0.17,-0.95,0.97,0.7043,0.6503,0.8312,0.8332,,False,예
2203,21일 → 말일,21,0,200,0,200,-0.03,0.01,50.0,50.0,32.56,-11.76,4.42,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.14,-0.16,-1.86,1.86,0.6673,0.6044,0.6294,0.6294,,False,예
2203,21일 → 말일+1,21,1,200,0,200,0.18,0.18,53.0,47.0,25.29,-11.64,4.11,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.14,-0.13,-0.84,0.86,0.6883,0.6703,0.8432,0.8432,,False,예
2203,21일 → 말일+2,21,2,200,0,200,0.21,0.27,52.0,48.0,30.22,-15.41,4.86,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.14,-0.07,-1.62,1.62,0.6933,0.8531,0.6643,0.6643,,False,예
2203,21일 → 말일+3,21,3,200,0,200,0.23,0.54,56.0,44.0,29.74,-17.44,5.07,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.11,0.11,2.65,-2.65,0.7652,0.7453,0.4476,0.4476,,False,예
2203,22일 → 말일-3,22,-3,195,0,195,-0.2,-0.19,48.21,51.79,18.67,-10.57,2.95,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,-0.05,-0.18,-1.66,1.66,0.9201,0.6004,0.6563,0.6563,,False,예
2203,22일 → 말일-2,22,-2,199,0,199,-0.38,-0.23,45.73,54.27,27.55,-13.18,3.66,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,-0.05,-0.06,-1.63,1.66,0.8961,0.8352,0.7323,0.7363,,False,예
2203,22일 → 말일-1,22,-1,200,0,200,-0.08,-0.05,49.5,50.5,31.52,-15.35,3.94,3701,0,3701,-0.02,0.06,50.45,49.53,35.38,-35.95,5.05,-0.06,-0.11,-0.95,0.97,0.8531,0.7882,0.8312,0.8332,,False,예
2203,22일 → 말일,22,0,200,0,200,0.04,-0.1,49.0,51.0,28.79,-12.43,4.14,3901,0,3901,0.11,0.17,51.86,48.14,32.56,-27.46,4.99,-0.07,-0.27,-2.86,2.86,0.8202,0.4166,0.4376,0.4376,,True,예
2203,22일 → 말일+1,22,1,200,0,200,0.25,0.22,53.0,47.0,21.72,-12.31,3.85,4101,0,4101,0.32,0.31,53.84,46.14,25.56,-25.3,4.78,-0.07,-0.09,-0.84,0.86,0.8821,0.7602,0.8432,0.8432,,False,예
2203,22일 → 말일+2,22,2,200,0,200,0.29,0.45,52.0,48.0,26.5,-15.41,4.64,4101,0,4101,0.36,0.35,53.62,46.38,30.22,-20.03,5.2,-0.07,0.1,-1.62,1.62,0.8551,0.7672,0.6643,0.6643,,False,예
2203,22일 → 말일+3,22,3,200,0,200,0.3,0.54,56.5,43.5,26.04,-17.37,4.82,4101,0,4101,0.35,0.43,53.35,46.65,30.64,-20.24,5.47,-0.04,0.11,3.15,-3.15,0.9131,0.7493,0.3666,0.3666,,False,예
2203,23일 → 말일-3,23,-3,187,0,187,0.03,-0.04,49.73,50.27,14.42,-11.67,2.81,3301,0,3301,-0.16,-0.01,49.86,50.14,22.16,-28.91,4.62,0.18,-0.03,-0.13,0.13,0.5385,0.986,1.0,1.0,,True,예
2203,23일 → 말일-2,23,-2,198,0,198,-0.16,-0.06,47.98,52.02,22.65,-17.1,3.41,3501,0,3501,-0.33,-0.17,47.36,52.61,31.29,-33.28,4.99,0.17,0.11,0.62,-0.59,0.6074,0.6264,0.8422,0.8392,,False,예
