종목,청산 요일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 비율 우연확률,내린 비율 우연확률,비고,만기월,시기
DIA,금요일,15,0,15,0.42,0.66,73.33,26.67,2.05,-2.78,1.26,0.5165,0.5165,,7,뒤 절반
DIA,금요일,14,0,14,0.32,0.49,57.14,42.86,4.44,-5.62,2.31,0.7582,0.7582,,8,앞 절반
DIA,금요일,14,0,14,0.23,0.61,57.14,42.86,2.65,-4.19,1.71,0.5315,0.5315,,8,뒤 절반
DIA,금요일,14,0,14,-1.11,-1.7,28.57,71.43,6.7,-6.45,3.34,0.1359,0.1359,,9,앞 절반
DIA,금요일,14,0,14,-0.76,-0.74,28.57,71.43,0.8,-3.96,1.27,0.2178,0.2178,,9,뒤 절반
DIA,금요일,14,0,14,1.04,1.22,71.43,28.57,4.5,-5.08,2.59,0.7572,0.7572,,10,앞 절반
DIA,금요일,14,0,14,0.45,0.59,64.29,35.71,5.69,-3.06,2.43,1.0,1.0,,10,뒤 절반
DIA,금요일,14,0,14,0.65,0.13,50.0,50.0,9.63,-4.75,3.19,0.7592,0.7592,,11,앞 절반
DIA,금요일,14,0,14,0.74,1.07,71.43,28.57,3.42,-4.42,2.06,0.7592,0.7592,,11,뒤 절반
DIA,금요일,14,0,14,0.92,0.67,71.43,28.57,3.8,-2.8,1.84,0.3946,0.3946,,12,앞 절반
DIA,금요일,14,0,14,0.87,0.78,92.86,7.14,2.85,-2.06,1.18,0.004,0.004,,12,뒤 절반
KODEX 200,금요일,12,0,12,-0.47,-0.54,33.33,66.67,5.58,-5.68,3.36,0.7363,0.5135,,1,앞 절반
KODEX 200,금요일,12,0,12,0.48,-0.1,50.0,50.0,6.21,-4.25,2.76,0.4995,0.4995,,1,뒤 절반
KODEX 200,금요일,12,0,12,0.55,0.89,66.67,33.33,6.12,-9.26,3.64,1.0,1.0,,2,앞 절반
KODEX 200,금요일,12,0,12,0.83,0.36,75.0,25.0,5.28,-2.81,2.19,0.0919,0.0919,,2,뒤 절반
KODEX 200,금요일,12,0,12,1.48,1.23,66.67,33.33,10.41,-3.22,3.43,1.0,1.0,,3,앞 절반
KODEX 200,금요일,12,0,12,0.85,1.99,83.33,16.67,4.84,-13.44,4.77,0.025,0.025,,3,뒤 절반
KODEX 200,금요일,12,0,12,0.76,0.28,50.0,50.0,8.92,-2.94,3.28,0.7473,0.7473,,4,앞 절반
KODEX 200,금요일,12,0,12,1.12,0.96,58.33,41.67,7.79,-4.9,3.12,1.0,1.0,,4,뒤 절반
KODEX 200,금요일,12,0,12,-0.95,-0.29,50.0,50.0,3.8,-8.5,4.0,0.7483,0.7483,,5,앞 절반
KODEX 200,금요일,12,0,12,0.63,0.53,58.33,41.67,3.49,-2.76,1.95,1.0,1.0,,5,뒤 절반
KODEX 200,금요일,12,0,12,-0.44,-1.45,41.67,58.33,4.31,-5.11,3.11,0.3387,0.3387,,6,앞 절반
KODEX 200,금요일,12,0,12,1.03,0.36,50.0,50.0,18.62,-7.35,6.26,0.7113,0.7113,,6,뒤 절반
KODEX 200,금요일,12,0,12,0.8,0.96,58.33,41.67,3.61,-1.65,1.58,1.0,1.0,,7,앞 절반
KODEX 200,금요일,12,0,12,0.04,0.68,83.33,16.67,3.73,-7.39,2.83,0.022,0.022,,7,뒤 절반
