종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,기준,신호 표본,베이스라인 표본,평균 초과(%p),중앙값 초과(%p),승률 초과(%p)
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1개월,종가,4,1226,3.71,4.15,-14.27
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1개월,익일시가,4,1226,1.03,0.73,-14.03
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,3개월,종가,4,1226,5.73,6.89,-22.76
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,3개월,익일시가,4,1226,2.67,3.04,-22.51
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,6개월,종가,4,1214,15.83,19.62,-2.1
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,6개월,익일시가,4,1214,12.27,15.25,-2.1
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1년,종가,4,1214,33.2,34.85,16.64
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 SMA200,1년,익일시가,4,1214,29.05,29.87,16.64
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1일,종가,4,1111,5.99,6.39,47.61
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1일,익일시가,4,1111,3.54,3.38,47.7
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1주,종가,4,1111,-2.21,-0.64,17.3
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1주,익일시가,4,1111,-4.49,-4.57,-55.54
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1개월,종가,4,1111,3.64,4.09,-13.01
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1개월,익일시가,4,1111,0.97,0.78,-12.74
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,3개월,종가,4,1111,5.11,5.96,-23.72
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,3개월,익일시가,4,1111,2.06,2.16,-23.54
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,6개월,종가,4,1103,14.31,18.31,-2.79
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,6개월,익일시가,4,1103,10.77,13.7,-2.79
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1년,종가,4,1103,31.23,33.51,16.14
QQQ,테스트 A(역대급 등락),K=10,2003,폭락,전체,4,2,조건부 EMA200,1년,익일시가,4,1103,27.1,28.42,16.14
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1일,종가,7,5943,-3.32,-3.16,-40.75
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1일,익일시가,7,5943,-1.19,-1.22,-24.53
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1주,종가,7,5939,-1.79,0.21,-1.69
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1주,익일시가,7,5939,0.39,0.36,-0.59
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1개월,종가,7,5923,2.29,2.94,6.43
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1개월,익일시가,7,5923,4.99,5.83,6.24
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,3개월,종가,7,5881,9.49,14.21,-1.08
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,3개월,익일시가,7,5881,12.57,17.53,-0.94
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,6개월,종가,7,5818,18.87,21.79,7.44
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,6개월,익일시가,7,5818,22.4,25.48,7.71
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1년,종가,7,5692,30.81,16.01,14.18
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,단순 보유,1년,익일시가,7,5692,34.8,18.9,14.16
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1일,종가,7,1226,-3.34,-3.15,-38.0
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1일,익일시가,7,1226,-1.25,-1.25,-24.28
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1주,종가,7,1226,-1.89,0.06,-0.36
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1주,익일시가,7,1226,0.24,0.25,1.76
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1개월,종가,7,1226,1.84,1.84,7.15
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1개월,익일시가,7,1226,4.5,4.62,7.4
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,3개월,종가,7,1226,8.18,12.28,-1.33
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,3개월,익일시가,7,1226,11.22,15.45,-1.08
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,6개월,종가,7,1214,16.49,19.45,8.61
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,6개월,익일시가,7,1214,19.98,23.04,8.61
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1년,종가,7,1214,25.34,8.95,16.64
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 SMA200,1년,익일시가,7,1214,29.28,11.8,16.64
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1일,종가,7,1111,-3.35,-3.16,-38.1
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1일,익일시가,7,1111,-1.25,-1.24,-23.72
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1주,종가,7,1111,-1.94,-0.02,-0.55
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1주,익일시가,7,1111,0.2,0.17,1.61
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1개월,종가,7,1111,1.77,1.78,8.42
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,1개월,익일시가,7,1111,4.45,4.67,8.69
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,3개월,종가,7,1111,7.56,11.34,-2.29
QQQ,테스트 A(역대급 등락),K=20,2003,폭등,전체,7,4,조건부 EMA200,3개월,익일시가,7,1111,10.61,14.58,-2.11
