종목,테스트,파라미터,시작연도,방향,시대 구간,신호,사건,베이스라인,구간,신호 표본,베이스라인 표본,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p)
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,단순 보유,1개월,14,11898,0.46,-0.73,-7.09,7.19
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,조건부 SMA200,1일,14,2452,3.94,3.8,35.84,-35.59
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,조건부 SMA200,2일,14,2452,1.82,2.13,14.49,-14.08
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,조건부 SMA200,3일,14,2452,1.58,2.27,7.18,-7.1
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,조건부 SMA200,1주,14,2452,0.39,0.11,7.22,-7.06
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,조건부 SMA200,2주,14,2452,1.82,1.69,0.08,0.08
QQQ,테스트 A(역대급 등락),K=20,2003,역방향 전체,전체,14,5,조건부 SMA200,1개월,14,2452,0.46,-0.73,-7.14,7.14
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,단순 보유,1일,3,5465,-3.01,-4.36,-55.13,55.61
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,단순 보유,2일,3,5464,-4.23,-2.72,-23.4,23.8
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,단순 보유,3일,3,5463,-2.44,-2.17,-24.58,24.71
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,단순 보유,1주,3,5461,-1.72,-5.21,-25.8,25.98
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,단순 보유,2주,3,5456,-8.47,-6.46,-28.38,28.54
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,단순 보유,1개월,3,5445,-7.12,-9.62,-31.57,31.66
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,조건부 SMA200,1일,3,1106,-3.02,-4.34,-51.9,52.08
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,조건부 SMA200,2일,3,1106,-4.25,-2.73,-20.1,20.46
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,조건부 SMA200,3일,3,1106,-2.49,-2.23,-21.55,21.64
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,조건부 SMA200,1주,3,1106,-1.79,-5.39,-24.71,24.89
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,조건부 SMA200,2주,3,1106,-8.69,-7.08,-28.15,28.33
QQQ,테스트 A(역대급 등락),K=5,2005,폭등,전체,3,2,조건부 SMA200,1개월,3,1106,-7.51,-10.71,-29.6,29.6
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,단순 보유,1일,3,5465,7.1,7.48,44.87,-44.39
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,단순 보유,2일,3,5464,1.66,4.08,9.93,-9.53
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,단순 보유,3일,3,5463,5.2,4.6,42.08,-41.95
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,단순 보유,1주,3,5461,-0.01,-0.33,40.87,-40.69
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,단순 보유,2주,3,5456,7.89,7.29,38.29,-38.12
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,단순 보유,1개월,3,5445,11.29,12.76,1.76,-1.67
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,조건부 SMA200,1일,3,1106,7.08,7.5,48.1,-47.92
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,조건부 SMA200,2일,3,1106,1.63,4.07,13.23,-12.87
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,조건부 SMA200,3일,3,1106,5.15,4.54,45.12,-45.03
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,조건부 SMA200,1주,3,1106,-0.07,-0.51,41.95,-41.77
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,조건부 SMA200,2주,3,1106,7.67,6.66,38.52,-38.34
QQQ,테스트 A(역대급 등락),K=5,2005,폭락,전체,3,2,조건부 SMA200,1개월,3,1106,10.9,11.67,3.74,-3.74
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,단순 보유,1일,6,10930,5.05,4.88,50.24,-49.76
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,단순 보유,2일,6,10928,2.94,3.4,16.87,-16.47
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,단순 보유,3일,6,10926,3.82,3.83,33.4,-33.27
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,단순 보유,1주,6,10922,0.86,0.44,33.42,-33.24
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,단순 보유,2주,6,10912,8.18,6.87,33.42,-33.25
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,단순 보유,1개월,6,10890,9.2,11.1,16.71,-16.62
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,조건부 SMA200,1일,6,2212,5.05,4.88,50.09,-49.91
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,조건부 SMA200,2일,6,2212,2.94,3.4,16.85,-16.49
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,조건부 SMA200,3일,6,2212,3.82,3.83,33.38,-33.29
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,조건부 SMA200,1주,6,2212,0.86,0.44,33.42,-33.24
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,조건부 SMA200,2주,6,2212,8.18,6.87,33.42,-33.24
QQQ,테스트 A(역대급 등락),K=5,2005,역방향 전체,전체,6,3,조건부 SMA200,1개월,6,2212,9.2,11.1,16.67,-16.67
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,단순 보유,1일,3,5465,-3.01,-4.36,-55.13,55.61
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,단순 보유,2일,3,5464,-4.23,-2.72,-23.4,23.8
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,단순 보유,3일,3,5463,-2.44,-2.17,-24.58,24.71
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,단순 보유,1주,3,5461,-1.72,-5.21,-25.8,25.98
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,단순 보유,2주,3,5456,-8.47,-6.46,-28.38,28.54
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,단순 보유,1개월,3,5445,-7.12,-9.62,-31.57,31.66
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,조건부 SMA200,1일,3,1106,-3.02,-4.34,-51.9,52.08
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,조건부 SMA200,2일,3,1106,-4.25,-2.73,-20.1,20.46
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,조건부 SMA200,3일,3,1106,-2.49,-2.23,-21.55,21.64
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,조건부 SMA200,1주,3,1106,-1.79,-5.39,-24.71,24.89
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,조건부 SMA200,2주,3,1106,-8.69,-7.08,-28.15,28.33
QQQ,테스트 A(역대급 등락),K=10,2005,폭등,전체,3,2,조건부 SMA200,1개월,3,1106,-7.51,-10.71,-29.6,29.6
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,단순 보유,1일,4,5465,6.03,6.4,44.87,-44.39
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,단순 보유,2일,4,5464,1.66,2.82,18.27,-17.86
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,단순 보유,3일,4,5463,3.14,3.49,17.08,-16.95
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,단순 보유,1주,4,5461,-2.04,-0.41,15.87,-15.69
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,단순 보유,2주,4,5456,3.99,5.11,13.29,-13.12
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,단순 보유,1개월,4,5445,4.2,5.28,-14.9,15.0
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,조건부 SMA200,1일,4,1106,6.01,6.42,48.1,-47.92
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,조건부 SMA200,2일,4,1106,1.63,2.82,21.56,-21.2
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,조건부 SMA200,3일,4,1106,3.1,3.43,20.12,-20.03
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,조건부 SMA200,1주,4,1106,-2.11,-0.59,16.95,-16.77
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,조건부 SMA200,2주,4,1106,3.77,4.48,13.52,-13.34
QQQ,테스트 A(역대급 등락),K=10,2005,폭락,전체,4,2,조건부 SMA200,1개월,4,1106,3.81,4.19,-12.93,12.93
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,단순 보유,1일,7,10930,4.74,4.33,50.24,-49.76
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,단순 보유,2일,7,10928,2.78,2.49,21.63,-21.23
QQQ,테스트 A(역대급 등락),K=10,2005,역방향 전체,전체,7,3,단순 보유,3일,7,10926,2.87,2.72,21.49,-21.36
