종목,파라미터,시작연도,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정,사건
KODEX 200,K=10,2005,역방향 전체,-10.0,앞 절반,25,17.96,0.72,84.0,0.355,73.8,10.2,1.85,-5.2,4,6.19,-10.0,-10.0,3.59,0,2,1.32,예,2005-11-23,2011-08-19,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-10.0,뒤 절반,26,54.64,2.1,80.77,0.688,59.25,21.52,3.98,-5.78,5,10.11,-10.0,-10.0,5.05,0,2,1.15,예,2011-09-27,2026-08-03,판정 안 함,6
KODEX 200,K=10,2005,역방향 전체,-10.0,최근 10년,25,53.56,2.14,80.0,0.713,58.38,21.62,4.12,-5.78,5,10.11,-10.0,-10.0,5.15,0,2,1.16,예,2020-03-19,2026-08-03,판정 안 함,5
KODEX 200,K=10,2005,역방향 전체,-10.0,최근 5년,20,41.46,2.07,80.0,0.661,60.22,19.78,4.17,-6.31,4,10.11,-10.0,-10.0,5.41,0,2,1.15,예,2024-08-05,2026-08-03,판정 안 함,3
KODEX 200,K=20,2005,역방향 전체,무손절,전체,88,147.4,1.68,82.95,0.651,60.59,22.36,2.95,-4.54,15,21.44,-17.45,-17.45,4.61,0,0,1.31,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,무손절,앞 절반,44,30.15,0.69,88.64,0.241,80.57,8.07,1.65,-6.85,5,6.19,-17.45,-17.45,3.78,0,0,1.3,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,무손절,뒤 절반,44,117.26,2.66,77.27,1.314,43.22,34.05,4.44,-3.38,10,21.44,-9.81,-13.55,5.18,0,0,1.32,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,무손절,최근 10년,41,110.92,2.71,75.61,1.381,42.01,33.6,4.67,-3.38,10,21.44,-9.81,-13.55,5.36,0,0,1.32,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,무손절,최근 5년,32,80.52,2.52,75.0,1.23,44.84,30.16,4.6,-3.74,8,21.44,-9.81,-13.55,5.68,0,0,1.34,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-2.0,전체,88,72.25,0.82,62.5,1.125,47.05,15.45,2.81,-2.5,33,10.11,-5.85,-5.85,3.42,13,19,1.07,예,2005-11-23,2026-08-20,제외,20
KODEX 200,K=20,2005,역방향 전체,-2.0,앞 절반,44,3.35,0.08,65.91,0.565,63.89,2.02,1.36,-2.41,15,4.5,-4.89,-4.89,2.14,7,7,1.07,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-2.0,뒤 절반,44,68.9,1.57,59.09,1.722,36.74,22.35,4.43,-2.57,18,10.11,-5.85,-5.85,4.24,6,12,1.07,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-2.0,최근 10년,41,67.6,1.65,58.54,1.789,35.86,22.68,4.66,-2.61,17,10.11,-5.85,-5.85,4.35,6,11,1.07,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-2.0,최근 5년,32,38.31,1.2,53.12,1.742,36.47,16.65,4.57,-2.62,15,10.11,-5.85,-5.85,4.32,5,10,1.09,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-3.0,전체,88,85.96,0.98,70.45,0.86,53.76,16.69,2.71,-3.15,26,10.11,-5.85,-5.85,3.49,6,17,1.16,예,2005-11-23,2026-08-20,제외,20
KODEX 200,K=20,2005,역방향 전체,-3.0,앞 절반,44,13.11,0.3,75.0,0.463,68.35,6.65,1.42,-3.06,11,4.5,-4.89,-4.89,2.27,3,7,1.18,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-3.0,뒤 절반,44,72.85,1.66,65.91,1.3,43.47,22.44,4.17,-3.21,15,10.11,-5.85,-5.85,4.31,3,10,1.14,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-3.0,최근 10년,41,66.51,1.62,63.41,1.374,42.12,21.29,4.41,-3.21,15,10.11,-5.85,-5.85,4.47,3,10,1.12,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-3.0,최근 5년,32,38.23,1.19,59.38,1.305,43.38,16.0,4.23,-3.24,13,10.11,-5.85,-5.85,4.44,3,8,1.16,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-4.0,전체,88,141.86,1.61,78.41,0.849,54.07,24.34,3.04,-3.58,19,21.44,-5.85,-5.85,4.12,4,11,1.2,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-4.0,앞 절반,44,34.69,0.79,84.09,0.446,69.15,14.94,1.63,-3.65,7,6.19,-4.89,-4.89,2.42,2,4,1.23,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-4.0,뒤 절반,44,107.17,2.44,72.73,1.32,43.1,29.63,4.68,-3.54,12,21.44,-5.85,-5.85,5.2,2,7,1.18,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-4.0,최근 10년,41,100.83,2.46,70.73,1.395,41.76,28.97,4.94,-3.54,12,21.44,-5.85,-5.85,5.39,2,7,1.17,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-4.0,최근 5년,32,74.55,2.33,68.75,1.436,41.05,27.7,4.96,-3.45,10,21.44,-5.85,-5.85,5.6,2,5,1.22,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-5.0,전체,88,146.84,1.67,80.68,0.789,55.9,24.78,2.97,-3.76,17,21.44,-5.85,-5.85,4.12,1,10,1.22,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-5.0,앞 절반,44,39.77,0.9,86.36,0.46,68.51,17.85,1.59,-3.47,6,6.19,-5.0,-5.0,2.34,0,4,1.25,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-5.0,뒤 절반,44,107.07,2.43,75.0,1.16,46.3,28.7,4.55,-3.92,11,21.44,-5.85,-5.85,5.27,1,6,1.18,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-5.0,최근 10년,41,100.73,2.46,73.17,1.222,45.0,28.17,4.8,-3.92,11,21.44,-5.85,-5.85,5.46,1,6,1.17,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-5.0,최근 5년,32,76.46,2.39,71.88,1.293,43.61,28.27,4.77,-3.69,9,21.44,-5.85,-5.85,5.61,1,4,1.22,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-6.0,전체,88,144.41,1.64,81.82,0.7,58.84,22.98,2.94,-4.2,16,21.44,-6.0,-6.0,4.23,0,9,1.24,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-6.0,앞 절반,44,36.66,0.83,86.36,0.4,71.43,14.93,1.59,-3.99,6,6.19,-6.0,-6.0,2.53,0,3,1.25,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-6.0,뒤 절반,44,107.76,2.45,77.27,1.026,49.36,27.91,4.44,-4.33,10,21.44,-6.0,-6.0,5.33,0,6,1.23,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-6.0,최근 10년,41,101.42,2.47,75.61,1.078,48.13,27.48,4.67,-4.33,10,21.44,-6.0,-6.0,5.52,0,6,1.22,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-6.0,최근 5년,32,79.14,2.47,75.0,1.176,45.96,29.04,4.6,-3.91,8,21.44,-6.0,-6.0,5.6,0,4,1.25,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-7.0,전체,88,141.62,1.61,81.82,0.672,59.82,22.0,2.94,-4.38,16,21.44,-7.0,-7.0,4.33,0,8,1.24,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-7.0,앞 절반,44,33.66,0.76,86.36,0.355,73.78,12.58,1.59,-4.49,6,6.19,-7.0,-7.0,2.72,0,3,1.25,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-7.0,뒤 절반,44,107.97,2.45,77.27,1.031,49.24,28.03,4.44,-4.31,10,21.44,-7.0,-7.0,5.39,0,5,1.23,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-7.0,최근 10년,41,101.63,2.48,75.61,1.083,48.01,27.6,4.67,-4.31,10,21.44,-7.0,-7.0,5.59,0,5,1.22,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-7.0,최근 5년,32,81.35,2.54,75.0,1.265,44.15,30.85,4.6,-3.64,8,21.44,-7.0,-7.0,5.58,0,3,1.25,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-8.0,전체,88,149.75,1.7,82.95,0.674,59.74,23.21,2.95,-4.38,15,21.44,-8.0,-8.0,4.32,0,6,1.24,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-8.0,앞 절반,44,42.46,0.97,88.64,0.377,72.64,16.0,1.65,-4.38,5,6.19,-8.0,-8.0,2.63,0,2,1.25,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-8.0,뒤 절반,44,107.29,2.44,77.27,1.015,49.63,27.64,4.44,-4.38,10,21.44,-8.0,-8.0,5.45,0,4,1.23,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-8.0,최근 10년,41,100.95,2.46,75.61,1.066,48.4,27.21,4.67,-4.38,10,21.44,-8.0,-8.0,5.65,0,4,1.22,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-8.0,최근 5년,32,78.35,2.45,75.0,1.147,46.58,28.42,4.6,-4.01,8,21.44,-8.0,-8.0,5.75,0,3,1.25,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-9.0,전체,88,152.04,1.73,82.95,0.698,58.89,24.06,2.95,-4.23,15,21.44,-9.51,-9.51,4.35,1,4,1.27,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-9.0,앞 절반,44,40.46,0.92,88.64,0.345,74.34,14.3,1.65,-4.78,5,6.19,-9.0,-9.0,2.8,0,2,1.27,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-9.0,뒤 절반,44,111.57,2.54,77.27,1.125,47.06,30.21,4.44,-3.95,10,21.44,-9.51,-9.51,5.4,1,2,1.27,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-9.0,최근 10년,41,105.23,2.57,75.61,1.182,45.83,29.78,4.67,-3.95,10,21.44,-9.51,-9.51,5.59,1,2,1.27,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-9.0,최근 5년,32,74.84,2.34,75.0,1.034,49.17,25.83,4.6,-4.45,8,21.44,-9.51,-9.51,5.96,1,2,1.28,예,2023-11-06,2026-08-20,판정 안 함,4
KODEX 200,K=20,2005,역방향 전체,-10.0,전체,88,147.54,1.68,82.95,0.652,60.54,22.41,2.95,-4.53,15,21.44,-10.0,-10.0,4.48,0,5,1.27,예,2005-11-23,2026-08-20,후보,20
KODEX 200,K=20,2005,역방향 전체,-10.0,앞 절반,44,38.46,0.87,88.64,0.318,75.84,12.8,1.65,-5.18,5,6.19,-10.0,-10.0,2.96,0,2,1.27,예,2005-11-23,2011-09-05,판정 안 함,13
KODEX 200,K=20,2005,역방향 전체,-10.0,뒤 절반,44,109.08,2.48,77.27,1.058,48.59,28.68,4.44,-4.2,10,21.44,-10.0,-10.0,5.53,0,3,1.27,예,2011-09-23,2026-08-20,판정 안 함,8
KODEX 200,K=20,2005,역방향 전체,-10.0,최근 10년,41,102.74,2.51,75.61,1.112,47.35,28.26,4.67,-4.2,10,21.44,-10.0,-10.0,5.73,0,3,1.27,예,2020-03-18,2026-08-20,판정 안 함,6
KODEX 200,K=20,2005,역방향 전체,-10.0,최근 5년,32,72.35,2.26,75.0,0.966,50.86,24.14,4.6,-4.76,8,21.44,-10.0,-10.0,6.12,0,3,1.28,예,2023-11-06,2026-08-20,판정 안 함,4
QQQ,K=10,2005,역방향 전체,무손절,전체,7,33.19,4.74,100.0,,,,4.74,,0,8.47,0.25,-4.41,2.78,0,0,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,무손절,앞 절반,3,12.63,4.21,100.0,,,,4.21,,0,5.42,2.88,-4.41,1.28,0,0,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,무손절,뒤 절반,4,20.56,5.14,100.0,,,,5.14,,0,8.47,0.25,-3.83,3.73,0,0,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,무손절,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,무손절,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-2.0,전체,7,16.29,2.33,57.14,2.519,28.41,28.73,5.8,-2.3,3,8.47,-2.9,-2.9,4.73,1,2,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-2.0,앞 절반,3,-2.02,-0.67,33.33,1.176,45.97,-12.64,2.88,-2.45,2,2.88,-2.9,-2.9,3.11,1,1,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-2.0,뒤 절반,4,18.31,4.58,75.0,3.385,22.81,52.19,6.77,-2.0,1,8.47,-2.0,-2.0,4.75,0,1,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
QQQ,K=10,2005,역방향 전체,-2.0,최근 10년,3,20.31,6.77,100.0,,,,6.77,,0,8.47,4.25,0.28,2.22,0,0,1.0,아니오,2020-03-12,2025-04-09,판정 안 함,2
QQQ,K=10,2005,역방향 전체,-2.0,최근 5년,1,4.25,4.25,100.0,,,,4.25,,0,4.25,4.25,2.23,,0,0,1.0,아니오,2025-04-09,2025-04-09,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-3.0,전체,7,21.52,3.07,71.43,1.834,35.28,36.15,5.5,-3.0,2,8.47,-3.0,-3.0,4.59,0,2,1.0,아니오,2008-09-29,2025-04-09,후보,3
QQQ,K=10,2005,역방향 전체,-3.0,앞 절반,3,4.21,1.4,66.67,1.201,45.42,21.25,3.6,-3.0,1,4.33,-3.0,-3.0,3.88,0,1,1.0,아니오,2008-09-29,2008-10-15,판정 안 함,1
QQQ,K=10,2005,역방향 전체,-3.0,뒤 절반,4,17.31,4.33,75.0,2.256,30.71,44.29,6.77,-3.0,1,8.47,-3.0,-3.0,5.21,0,1,1.0,아니오,2008-10-28,2025-04-09,판정 안 함,3
