대상,격자 칸,표본,방향,적중률(%),방향 기대값(%),합산 수익률(%),기준선(%),기준선 대비 차이(%p),우연확률,시기 구간,가장 약한 시기(%),1차 판정,뒷받침,미충족
KODEX 인버스,18일 → 말일-2,204,아래,56.37,0.17,34.28,57.14,-0.77,0.8242,2,53.92,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,18일 → 말일-3,204,위,41.67,-0.14,-29.56,41.38,0.29,0.9411,2,40.2,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일,204,위,45.1,-0.32,-65.26,44.02,1.08,0.8242,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일+1,204,위,45.1,-0.43,-88.23,42.4,2.7,0.4965,2,41.18,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일+2,204,위,46.08,-0.46,-93.79,43.04,3.04,0.4216,2,44.12,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일+3,203,위,47.29,-0.51,-103.54,44.09,3.2,0.3157,2,47.06,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일-1,204,위,41.67,-0.32,-65.54,41.33,0.33,1.0,2,37.25,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일-2,204,위,41.18,-0.23,-46.86,41.62,-0.45,0.9461,2,39.22,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,19일 → 말일-3,204,위,43.14,-0.21,-42.5,41.38,1.76,0.6134,2,43.14,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,20일 → 말일,204,위,45.59,-0.27,-55.84,44.02,1.57,0.7173,2,43.14,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,20일 → 말일+1,204,위,44.61,-0.39,-78.87,42.4,2.21,0.5924,2,40.2,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,20일 → 말일+2,204,위,44.12,-0.41,-83.76,43.04,1.08,0.7902,2,42.16,제외,0/3,차이 · 우연확률 · 시기
KODEX 인버스,20일 → 말일+3,203,위,48.28,-0.49,-99.9,44.09,4.18,0.1978,2,46.53,제외,0/3,차이 · 우연확률 · 시기
