지수,1배 종목,배수 종목,배수,상품,구간,1배 연율 분배 기여(%),배수 연율 분배 기여(%),배당 보정분(%p),측정 여부,분배 측정 구간
나스닥100,QQQ,QLD,2.0,ETF,3개월,0.62,0.68,-0.14,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QLD,2.0,ETF,6개월,0.62,0.68,-0.28,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QLD,2.0,ETF,1년,0.62,0.68,-0.57,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QLD,2.0,ETF,3년,0.62,0.68,-1.7,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,1주,0.62,0.3,-0.03,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,2주,0.62,0.3,-0.06,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,1개월,0.62,0.3,-0.13,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,3개월,0.62,0.3,-0.39,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,6개월,0.62,0.3,-0.78,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,1년,0.62,0.3,-1.57,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,TQQQ,3.0,ETF,3년,0.62,0.3,-4.71,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,1주,0.62,1.66,0.05,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,2주,0.62,1.66,0.09,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,1개월,0.62,1.66,0.19,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,3개월,0.62,1.66,0.57,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,6개월,0.62,1.66,1.14,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,1년,0.62,1.66,2.29,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,PSQ,-1.0,ETF,3년,0.62,1.66,6.86,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,1주,0.62,2.11,0.07,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,2주,0.62,2.11,0.13,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,1개월,0.62,2.11,0.28,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,3개월,0.62,2.11,0.84,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,6개월,0.62,2.11,1.68,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,1년,0.62,2.11,3.35,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,QID,-2.0,ETF,3년,0.62,2.11,10.06,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,1주,0.62,1.64,0.07,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,2주,0.62,1.64,0.14,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,1개월,0.62,1.64,0.29,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,3개월,0.62,1.64,0.88,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,6개월,0.62,1.64,1.75,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,1년,0.62,1.64,3.51,예,1999-03-10 ~ 2026-08-25
나스닥100,QQQ,SQQQ,-3.0,ETF,3년,0.62,1.64,10.53,예,1999-03-10 ~ 2026-08-25
다우,DIA,DDM,2.0,ETF,1주,2.08,1.42,-0.05,예,1998-01-20 ~ 2026-08-26
다우,DIA,DDM,2.0,ETF,2주,2.08,1.42,-0.11,예,1998-01-20 ~ 2026-08-26
다우,DIA,DDM,2.0,ETF,1개월,2.08,1.42,-0.23,예,1998-01-20 ~ 2026-08-26
다우,DIA,DDM,2.0,ETF,3개월,2.08,1.42,-0.69,예,1998-01-20 ~ 2026-08-26
다우,DIA,DDM,2.0,ETF,6개월,2.08,1.42,-1.37,예,1998-01-20 ~ 2026-08-26
다우,DIA,DDM,2.0,ETF,1년,2.08,1.42,-2.75,예,1998-01-20 ~ 2026-08-26
다우,DIA,DDM,2.0,ETF,3년,2.08,1.42,-8.25,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,1주,2.08,0.59,-0.11,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,2주,2.08,0.59,-0.22,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,1개월,2.08,0.59,-0.47,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,3개월,2.08,0.59,-1.42,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,6개월,2.08,0.59,-2.83,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,1년,2.08,0.59,-5.66,예,1998-01-20 ~ 2026-08-26
다우,DIA,UDOW,3.0,ETF,3년,2.08,0.59,-16.98,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,1주,2.08,1.71,0.08,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,2주,2.08,1.71,0.15,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,1개월,2.08,1.71,0.32,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,3개월,2.08,1.71,0.95,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,6개월,2.08,1.71,1.89,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,1년,2.08,1.71,3.79,예,1998-01-20 ~ 2026-08-26
다우,DIA,DOG,-1.0,ETF,3년,2.08,1.71,11.37,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,1주,2.08,2.53,0.13,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,2주,2.08,2.53,0.27,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,1개월,2.08,2.53,0.56,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,3개월,2.08,2.53,1.67,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,6개월,2.08,2.53,3.35,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,1년,2.08,2.53,6.69,예,1998-01-20 ~ 2026-08-26
다우,DIA,DXD,-2.0,ETF,3년,2.08,2.53,20.08,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,1주,2.08,1.28,0.15,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,2주,2.08,1.28,0.3,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,1개월,2.08,1.28,0.63,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,3개월,2.08,1.28,1.88,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,6개월,2.08,1.28,3.77,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,1년,2.08,1.28,7.53,예,1998-01-20 ~ 2026-08-26
다우,DIA,SDOW,-3.0,ETF,3년,2.08,1.28,22.6,예,1998-01-20 ~ 2026-08-26
