날짜,종가,NAV,괴리율
2018-09-14,9540,9531.85,0.09
2018-09-17,9605,9621.55,-0.17
2018-09-18,9595,9591.91,0.03
2018-09-19,9560,9568.18,-0.09
2018-09-20,9555,9569.42,-0.15
2018-09-21,9530,9522.54,0.08
2018-09-27,9495,9510.2,-0.16
2018-09-28,9465,9476.63,-0.12
2018-10-01,9500,9497.42,0.03
2018-10-02,9560,9555.9,0.04
2018-10-04,9640,9653.58,-0.14
2018-10-05,9645,9653.32,-0.09
2018-10-08,9665,9684.43,-0.2
2018-10-10,9675,9693.21,-0.19
2018-10-11,9765,9779.65,-0.15
2018-10-12,9675,9673.16,0.02
2018-10-15,9680,9696.43,-0.17
2018-10-16,9635,9648.69,-0.14
2018-10-17,9615,9618.82,-0.04
2018-10-18,9690,9701.43,-0.12
2018-10-19,9665,9674.67,-0.1
2018-10-22,9650,9643.16,0.07
2018-10-23,9725,9720.5,0.05
2018-10-24,9665,9678.73,-0.14
2018-10-25,9715,9727.74,-0.13
2018-10-26,9755,9760.8,-0.06
2018-10-29,9765,9761.99,0.03
2018-10-30,9730,9742.71,-0.13
2018-10-31,9735,9748.85,-0.14
2018-11-01,9725,9727.78,-0.03
2018-11-02,9600,9589.71,0.11
2018-11-05,9600,9616.57,-0.17
2018-11-06,9615,9618.62,-0.04
2018-11-07,9615,9614.69,0.0
2018-11-08,9560,9556.93,0.03
2018-11-09,9645,9654.16,-0.09
2018-11-12,9705,9711.73,-0.07
2018-11-13,9685,9705.13,-0.21
2018-11-14,9705,9715.87,-0.11
2018-11-15,9680,9669.98,0.1
2018-11-16,9650,9668.46,-0.19
2018-11-19,9665,9661.0,0.04
2018-11-20,9640,9646.57,-0.07
2018-11-21,9685,9680.23,0.05
2018-11-22,9670,9670.3,-0.0
2018-11-23,9680,9679.39,0.01
2018-11-26,9670,9668.5,0.02
2018-11-27,9675,9675.6,-0.01
2018-11-28,9650,9650.04,-0.0
2018-11-29,9590,9593.28,-0.03
2018-11-30,9605,9600.66,0.05
2018-12-03,9520,9512.6,0.08
2018-12-04,9475,9483.0,-0.08
2018-12-05,9550,9543.16,0.07
2018-12-06,9590,9603.52,-0.14
2018-12-07,9595,9591.53,0.04
2018-12-10,9640,9659.5,-0.2
2018-12-11,9685,9688.11,-0.03
2018-12-12,9675,9669.91,0.05
2018-12-13,9630,9633.53,-0.04
2018-12-14,9685,9690.62,-0.06
2018-12-17,9700,9695.44,0.05
2018-12-18,9675,9692.53,-0.18
2018-12-19,9635,9642.17,-0.07
2018-12-20,9675,9670.17,0.05
2018-12-21,9640,9640.04,-0.0
2018-12-24,9645,9664.5,-0.2
2018-12-26,9665,9672.57,-0.08
2018-12-27,9610,9626.84,-0.17
2018-12-28,9590,9592.1,-0.02
2019-01-02,9610,9619.5,-0.1
2019-01-03,9690,9693.05,-0.03
2019-01-04,9665,9671.93,-0.07
2019-01-07,9605,9610.35,-0.06
2019-01-08,9645,9663.19,-0.19
2019-01-09,9640,9647.15,-0.07
2019-01-10,9620,9618.61,0.01
2019-01-11,9590,9602.32,-0.13
2019-01-14,9645,9658.73,-0.14
2019-01-15,9640,9641.0,-0.01
2019-01-16,9635,9629.79,0.05
2019-01-17,9655,9655.45,-0.0
2019-01-18,9655,9655.09,-0.0
2019-01-21,9705,9702.83,0.02
2019-01-22,9730,9732.29,-0.02
2019-01-23,9700,9706.88,-0.07
2019-01-24,9710,9716.65,-0.07
2019-01-25,9650,9649.34,0.01
2019-01-28,9620,9621.04,-0.01
2019-01-29,9610,9612.73,-0.03
2019-01-30,9610,9608.73,0.01
2019-01-31,9585,9576.0,0.09
2019-02-01,9635,9631.71,0.03
2019-02-07,9675,9673.47,0.02
2019-02-08,9680,9677.81,0.02
2019-02-11,9690,9683.28,0.07
2019-02-12,9685,9681.13,0.04
2019-02-13,9665,9663.15,0.02
2019-02-14,9695,9697.48,-0.03
2019-02-15,9725,9729.68,-0.05
2019-02-18,9700,9699.92,0.0
2019-02-19,9710,9726.07,-0.17
2019-02-20,9685,9681.5,0.04
2019-02-21,9700,9698.26,0.02
2019-02-22,9700,9698.13,0.02
2019-02-25,9665,9657.02,0.08
2019-02-26,9645,9639.11,0.06
2019-02-27,9645,9656.32,-0.12
2019-02-28,9700,9691.89,0.08
2019-03-04,9695,9703.44,-0.09
2019-03-05,9705,9703.6,0.01
2019-03-06,9740,9734.12,0.06
2019-03-07,9740,9732.95,0.07
2019-03-08,9800,9800.25,-0.0
2019-03-11,9790,9779.0,0.11
2019-03-12,9755,9746.53,0.09
2019-03-13,9780,9771.22,0.09
2019-03-14,11930,9790.62,21.85
2019-03-15,9820,9814.7,0.05
2019-03-18,9760,9772.72,-0.13
2019-03-19,9765,9758.23,0.07
2019-03-20,9760,9752.62,0.08
2019-03-21,9735,9735.79,-0.01
2019-03-22,9760,9750.23,0.1
2019-03-25,9795,9792.99,0.02
2019-03-26,9795,9783.84,0.11
2019-03-27,9805,9794.07,0.11
2019-03-28,9825,9813.79,0.11
2019-03-29,9815,9806.14,0.09
2019-04-01,9800,9795.12,0.05
2019-04-02,9820,9817.91,0.02
2019-04-03,9805,9801.98,0.03
2019-04-04,9825,9816.26,0.09
2019-04-05,9825,9823.18,0.02
2019-04-08,9885,9886.58,-0.02
2019-04-09,9880,9866.17,0.14
2019-04-10,9850,9846.29,0.04
2019-04-11,9840,9843.76,-0.04
2019-04-12,9855,9856.42,-0.01
2019-04-15,9800,9799.11,0.01
2019-04-16,9825,9821.81,0.03
2019-04-17,9820,9811.76,0.08
2019-04-18,9825,9829.53,-0.05
2019-04-19,9835,9828.78,0.06
2019-04-22,9880,9875.7,0.04
2019-04-23,9880,9876.9,0.03
2019-04-24,9945,9951.62,-0.07
2019-04-25,10045,10041.3,0.04
2019-04-26,10045,10039.44,0.06
2019-04-29,10025,10031.24,-0.06
2019-04-30,10110,10121.95,-0.12
2019-05-02,10090,10088.75,0.01
2019-05-03,10130,10126.92,0.03
2019-05-07,10100,10102.13,-0.02
2019-05-08,10120,10124.22,-0.04
2019-05-09,10210,10216.51,-0.06
2019-05-10,10185,10195.59,-0.1
2019-05-13,10285,10281.0,0.04
2019-05-14,10300,10295.19,0.05
2019-05-15,10300,10291.38,0.08
2019-05-16,10320,10314.15,0.06
2019-05-17,10355,10345.59,0.09
2019-05-20,10345,10346.64,-0.02
2019-05-21,10350,10351.4,-0.01
2019-05-22,10340,10342.17,-0.02
2019-05-23,10305,10318.4,-0.13
2019-05-24,10295,10293.02,0.02
2019-05-27,10265,10269.91,-0.05
2019-05-28,10285,10286.7,-0.02
2019-05-29,10355,10358.14,-0.03
2019-05-30,10315,10310.16,0.05
2019-05-31,10325,10331.72,-0.07
2019-06-03,10255,10252.39,0.03
2019-06-04,10255,10256.24,-0.01
2019-06-05,10225,10226.56,-0.02
2019-06-07,10245,10252.53,-0.07
2019-06-10,10285,10285.8,-0.01
2019-06-11,10250,10248.01,0.02
2019-06-12,10265,10266.23,-0.01
2019-06-13,10255,10264.73,-0.09
2019-06-14,10280,10281.44,-0.01
2019-06-17,10295,10300.92,-0.06
2019-06-18,10290,10295.23,-0.05
2019-06-19,10210,10216.28,-0.06
2019-06-20,10090,10090.73,-0.01
2019-06-21,10100,10093.35,0.07
2019-06-24,10045,10041.35,0.04
2019-06-25,10035,10042.44,-0.07
2019-06-26,10040,10046.12,-0.06
2019-06-27,10060,10056.84,0.03
2019-06-28,10035,10034.19,0.01
2019-07-01,10065,10064.08,0.01
2019-07-02,10135,10128.65,0.06
2019-07-03,10175,10173.35,0.02
2019-07-04,10155,10161.73,-0.07
2019-07-05,10175,10177.31,-0.02
2019-07-08,10270,10276.62,-0.06
2019-07-09,10265,10254.39,0.1
2019-07-10,10270,10279.9,-0.1
2019-07-11,10195,10198.5,-0.03
2019-07-12,10240,10250.68,-0.1
2019-07-15,10250,10254.64,-0.05
2019-07-16,10245,10242.84,0.02
2019-07-17,10275,10272.72,0.02
2019-07-18,10250,10248.9,0.01
2019-07-19,10220,10215.69,0.04
2019-07-22,10255,10251.73,0.03
2019-07-23,10255,10253.78,0.01
2019-07-24,10245,10241.93,0.03
2019-07-25,10275,10279.88,-0.05
2019-07-26,10310,10303.1,0.07
2019-07-29,10300,10296.47,0.03
2019-07-30,10285,10288.8,-0.04
2019-07-31,10295,10295.23,-0.0
2019-08-01,10350,10343.46,0.06
2019-08-02,10425,10431.06,-0.06
2019-08-05,10590,10586.62,0.03
2019-08-06,10585,10581.9,0.03
2019-08-07,10580,10583.1,-0.03
2019-08-08,10530,10526.92,0.03
2019-08-09,10545,10549.39,-0.04
2019-08-12,10595,10596.59,-0.02
2019-08-13,10650,10660.5,-0.1
2019-08-14,10565,10568.17,-0.03
2019-08-16,10555,10550.77,0.04
2019-08-19,10555,10541.37,0.13
2019-08-20,10530,10524.26,0.05
2019-08-21,10480,10470.35,0.09
2019-08-22,10520,10520.45,-0.0
2019-08-23,10555,10568.14,-0.12
2019-08-26,10615,10618.0,-0.03
2019-08-27,10560,10565.05,-0.05
2019-08-28,10585,10579.02,0.06
2019-08-29,10605,10602.05,0.03
2019-08-30,10565,10559.86,0.05
2019-09-02,10560,10555.6,0.04
2019-09-03,10600,10601.98,-0.02
2019-09-04,10535,10533.29,0.02
2019-09-05,10470,10461.95,0.08
2019-09-06,10435,10423.31,0.11
2019-09-09,10395,10406.13,-0.11
2019-09-10,10405,10406.77,-0.02
2019-09-11,10385,10383.29,0.02
2019-09-16,10315,10313.37,0.02
2019-09-17,10385,10383.38,0.02
2019-09-18,10395,10389.77,0.05
2019-09-19,10410,10418.91,-0.09
2019-09-20,10365,10367.06,-0.02
2019-09-23,10420,10423.98,-0.04
2019-09-24,10435,10434.57,0.0
2019-09-25,10465,10455.75,0.09
2019-09-26,10465,10463.88,0.01
2019-09-27,10475,10473.29,0.02
2019-09-30,10445,10449.13,-0.04
2019-10-01,10475,10473.0,0.02
2019-10-02,10530,10536.49,-0.06
2019-10-04,10455,10440.13,0.14
2019-10-07,10450,10452.77,-0.03
2019-10-08,10420,10432.39,-0.12
2019-10-10,10450,10448.48,0.01
2019-10-11,10390,10384.47,0.05
2019-10-14,10350,10346.46,0.03
2019-10-15,10355,10354.45,0.01
2019-10-16,10380,10383.57,-0.03
2019-10-17,10375,10369.91,0.05
2019-10-18,10330,10326.31,0.04
2019-10-21,10245,10234.63,0.1
2019-10-22,10225,10224.23,0.01
2019-10-23,10250,10249.87,0.0
2019-10-24,10255,10249.15,0.06
2019-10-25,10255,10254.78,0.0
2019-10-28,10230,10233.96,-0.04
2019-10-29,10170,10169.39,0.01
2019-10-30,10210,10214.07,-0.04
2019-10-31,10180,10173.39,0.06
2019-11-01,10195,10194.78,0.0
2019-11-04,10140,10146.07,-0.06
2019-11-05,10125,10131.29,-0.06
2019-11-06,10115,10129.82,-0.15
