종목,테스트,파라미터,시작연도,방향,시대 구간,사건,구간,기준,신호,제외,표본,평균(%),중앙값(%),승률(%),최고(%),최악(%),표준편차(%)
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,3개월,종가,237,3,234,4.24,4.67,73.93,27.52,-21.85,8.18
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,3개월,익일시가,237,3,234,4.25,4.69,73.93,26.91,-21.56,8.16
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,6개월,종가,237,4,233,7.83,8.92,78.54,44.47,-41.31,11.75
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,6개월,익일시가,237,4,233,7.84,8.66,78.11,43.52,-41.21,11.75
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1년,종가,237,10,227,15.16,17.07,85.46,64.37,-44.5,18.84
QQQ,테스트 B(연속 등락),N=4,2003,연속 상승,전체,102,1년,익일시가,237,10,227,15.19,17.01,85.02,63.29,-44.31,18.87
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1일,종가,119,0,119,0.04,0.18,56.3,6.24,-6.34,1.65
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1일,익일시가,119,0,119,0.03,0.0,49.58,5.09,-7.09,1.4
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1주,종가,119,0,119,0.65,0.73,61.34,11.45,-9.65,3.34
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1주,익일시가,119,0,119,0.63,0.62,60.5,12.75,-9.33,3.36
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1개월,종가,119,1,118,1.63,1.64,62.71,15.09,-17.13,6.1
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1개월,익일시가,119,1,118,1.6,1.79,65.25,13.83,-16.4,5.98
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,3개월,종가,119,1,118,3.78,3.72,70.34,36.6,-34.45,9.31
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,3개월,익일시가,119,1,118,3.77,4.0,68.64,35.48,-33.87,9.39
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,6개월,종가,119,1,118,7.69,7.76,72.88,51.8,-39.76,14.17
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,6개월,익일시가,119,1,118,7.65,7.84,74.58,50.56,-39.23,14.09
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1년,종가,119,3,116,15.39,17.39,84.48,70.98,-41.0,20.26
QQQ,테스트 B(연속 등락),N=4,2003,연속 하락,전체,80,1년,익일시가,119,3,116,15.35,17.61,84.48,69.58,-41.0,20.2
