종목,월,방향,손절선(%),구간,신호,제외,합계(%),평균(%),승률(%),최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능
229200,2,아래,9.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,9.0,뒤 절반,6,0,0.9,0.15,50.0,5.92,-4.33,3.68,0,0,5.83,아니오
229200,2,아래,9.0,최근 10년,10,0,11.61,1.16,70.0,8.23,-4.33,3.72,0,0,5.9,예
229200,2,아래,9.0,최근 5년,5,0,-5.02,-1.0,40.0,2.55,-4.33,2.63,0,0,6.0,아니오
229200,2,아래,10.0,전체,11,0,10.83,0.98,63.64,8.23,-4.33,3.57,0,0,5.91,예
229200,2,아래,10.0,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,10.0,뒤 절반,6,0,0.9,0.15,50.0,5.92,-4.33,3.68,0,0,5.83,아니오
229200,2,아래,10.0,최근 10년,10,0,11.61,1.16,70.0,8.23,-4.33,3.72,0,0,5.9,예
229200,2,아래,10.0,최근 5년,5,0,-5.02,-1.0,40.0,2.55,-4.33,2.63,0,0,6.0,아니오
229200,2,아래,무손절,전체,11,0,10.83,0.98,63.64,8.23,-4.33,3.57,0,0,5.91,예
229200,2,아래,무손절,앞 절반,5,0,9.94,1.99,80.0,8.23,-0.77,3.57,0,0,6.0,아니오
229200,2,아래,무손절,뒤 절반,6,0,0.9,0.15,50.0,5.92,-4.33,3.68,0,0,5.83,아니오
229200,2,아래,무손절,최근 10년,10,0,11.61,1.16,70.0,8.23,-4.33,3.72,0,0,5.9,예
229200,2,아래,무손절,최근 5년,5,0,-5.02,-1.0,40.0,2.55,-4.33,2.63,0,0,6.0,아니오
229200,2,위,3.0,전체,11,0,-11.35,-1.03,27.27,4.33,-4.92,2.72,1,3,4.82,예
229200,2,위,3.0,앞 절반,5,0,-6.63,-1.33,20.0,0.77,-4.92,2.14,1,0,5.2,아니오
229200,2,위,3.0,뒤 절반,6,0,-4.73,-0.79,33.33,4.33,-3.0,3.31,0,3,4.5,아니오
229200,2,위,3.0,최근 10년,10,0,-12.13,-1.21,20.0,4.33,-4.92,2.79,1,3,4.7,예
229200,2,위,3.0,최근 5년,5,0,-1.73,-0.35,40.0,4.33,-3.0,3.49,0,2,5.0,아니오
229200,2,위,4.0,전체,11,0,-5.6,-0.51,36.36,4.33,-4.92,2.7,1,1,5.27,예
229200,2,위,4.0,앞 절반,5,0,-6.63,-1.33,20.0,0.77,-4.92,2.14,1,0,5.2,아니오
229200,2,위,4.0,뒤 절반,6,0,1.02,0.17,50.0,4.33,-4.0,3.11,0,1,5.33,아니오
229200,2,위,4.0,최근 10년,10,0,-6.37,-0.64,30.0,4.33,-4.92,2.81,1,1,5.2,예
229200,2,위,4.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,5.0,전체,11,0,-6.68,-0.61,36.36,4.33,-5.0,2.85,0,2,5.36,예
229200,2,위,5.0,앞 절반,5,0,-6.71,-1.34,20.0,0.77,-5.0,2.18,0,1,5.2,아니오
229200,2,위,5.0,뒤 절반,6,0,0.02,0.0,50.0,4.33,-5.0,3.39,0,1,5.5,아니오
229200,2,위,5.0,최근 10년,10,0,-7.45,-0.75,30.0,4.33,-5.0,2.97,0,2,5.3,예
229200,2,위,5.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,6.0,전체,11,0,-8.68,-0.79,36.36,4.33,-6.0,3.17,0,2,5.36,예
229200,2,위,6.0,앞 절반,5,0,-7.71,-1.54,20.0,0.77,-6.0,2.6,0,1,5.2,아니오
229200,2,위,6.0,뒤 절반,6,0,-0.98,-0.16,50.0,4.33,-6.0,3.7,0,1,5.5,아니오
229200,2,위,6.0,최근 10년,10,0,-9.45,-0.95,30.0,4.33,-6.0,3.3,0,2,5.3,예
229200,2,위,6.0,최근 5년,5,0,5.02,1.0,60.0,4.33,-2.55,2.63,0,0,6.0,아니오
229200,2,위,7.0,전체,11,0,-10.68,-0.97,36.36,4.33,-7.0,3.51,0,2,5.36,예
229200,2,위,7.0,앞 절반,5,0,-8.71,-1.74,20.0,0.77,-7.0,3.03,0,1,5.2,아니오
229200,2,위,7.0,뒤 절반,6,0,-1.98,-0.33,50.0,4.33,-7.0,4.02,0,1,5.5,아니오
