종목,월,방향,손절적용,구간,신호,제외,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),질 때 표본,최고(%),최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,구간 시작일,구간 종료일
KODEX 코스닥150,6,위,가능,뒤 절반,6,0,-13.83,-2.31,16.67,0.261,79.33,5,0.76,-5.0,2.3,0,2,5.5,아니오,2021-06-18,2026-06-19
KODEX 코스닥150,6,위,가능,최근 10년,10,0,-21.25,-2.12,20.0,0.168,85.6,8,0.76,-5.0,2.19,0,3,6.0,예,2017-06-20,2026-06-19
KODEX 코스닥150,6,위,가능,최근 5년,5,0,-14.59,-2.92,0.0,0.0,100.0,5,-1.13,-5.0,1.94,0,2,5.0,아니오,2022-06-20,2026-06-19
KODEX 코스닥150,7,아래,가능,전체,11,0,4.02,0.37,54.55,1.043,48.95,5,6.1,-5.0,3.87,0,2,6.82,예,2016-07-20,2026-07-20
KODEX 코스닥150,7,아래,가능,앞 절반,5,0,8.8,1.76,60.0,1.95,33.9,2,6.1,-4.48,4.15,0,0,7.6,아니오,2016-07-20,2020-07-20
KODEX 코스닥150,7,아래,가능,뒤 절반,6,0,-4.78,-0.8,50.0,0.582,63.21,3,2.59,-5.0,3.56,0,2,6.17,아니오,2021-07-20,2026-07-20
KODEX 코스닥150,7,아래,가능,최근 10년,10,0,4.12,0.41,60.0,0.839,54.37,4,6.1,-5.0,4.08,0,2,6.8,예,2017-07-20,2026-07-20
KODEX 코스닥150,7,아래,가능,최근 5년,5,0,-6.94,-1.39,40.0,0.589,62.95,3,2.59,-5.0,3.63,0,2,5.8,아니오,2022-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,전체,11,0,-14.63,-1.33,36.36,0.712,58.42,7,4.48,-5.0,3.44,0,3,6.82,예,2016-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,앞 절반,5,0,-8.45,-1.69,40.0,0.527,65.5,3,4.48,-5.0,4.03,0,2,6.0,아니오,2016-07-20,2020-07-20
KODEX 코스닥150,7,위,가능,뒤 절반,6,0,-6.19,-1.03,33.33,0.938,51.6,4,4.04,-5.0,3.22,0,1,7.5,아니오,2021-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,최근 10년,10,0,-14.73,-1.47,30.0,0.94,51.54,7,4.48,-5.0,3.59,0,3,6.8,예,2017-07-20,2026-07-20
KODEX 코스닥150,7,위,가능,최근 5년,5,0,-4.02,-0.8,40.0,0.864,53.64,3,4.04,-5.0,3.55,0,1,7.4,아니오,2022-07-20,2026-07-20
KODEX 코스닥150,8,아래,가능,전체,11,0,-15.92,-1.45,36.36,0.642,60.92,7,4.55,-5.14,3.41,1,3,6.55,예,2016-08-19,2026-08-20
KODEX 코스닥150,8,아래,가능,앞 절반,5,0,-9.15,-1.83,20.0,1.329,42.93,4,4.55,-5.0,3.94,0,2,6.4,아니오,2016-08-19,2020-08-20
KODEX 코스닥150,8,아래,가능,뒤 절반,6,0,-6.77,-1.13,50.0,0.408,71.04,3,1.9,-5.14,3.26,1,1,6.67,아니오,2021-08-20,2026-08-20
KODEX 코스닥150,8,아래,가능,최근 10년,10,0,-20.48,-2.05,30.0,0.433,69.8,7,1.9,-5.14,2.92,1,3,6.4,예,2017-08-18,2026-08-20
KODEX 코스닥150,8,아래,가능,최근 5년,5,0,-1.64,-0.33,60.0,0.493,66.96,2,1.9,-5.0,2.9,0,1,7.4,아니오,2022-08-19,2026-08-20
KODEX 코스닥150,8,위,가능,전체,11,0,9.48,0.86,54.55,1.194,45.58,5,8.43,-5.0,5.46,0,4,6.82,예,2016-08-19,2026-08-20
KODEX 코스닥150,8,위,가능,앞 절반,5,0,7.65,1.53,60.0,1.176,45.95,2,8.43,-5.0,6.32,0,2,7.4,아니오,2016-08-19,2020-08-20
KODEX 코스닥150,8,위,가능,뒤 절반,6,0,1.83,0.31,50.0,1.154,46.43,3,7.31,-5.0,5.19,0,2,6.33,아니오,2021-08-20,2026-08-20
KODEX 코스닥150,8,위,가능,최근 10년,10,0,14.48,1.45,60.0,1.238,44.69,4,8.43,-5.0,5.38,0,3,6.7,예,2017-08-18,2026-08-20
KODEX 코스닥150,8,위,가능,최근 5년,5,0,-5.48,-1.1,40.0,0.809,55.27,3,5.12,-5.0,4.34,0,2,6.2,아니오,2022-08-19,2026-08-20
KODEX 코스닥150,9,아래,가능,전체,10,0,29.73,2.97,80.0,3.725,21.16,2,10.05,-2.1,3.52,0,0,6.3,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,아래,가능,앞 절반,5,0,11.14,2.23,80.0,79.022,1.25,1,5.26,-0.04,2.73,0,0,6.2,아니오,2016-09-20,2020-09-18
KODEX 코스닥150,9,아래,가능,뒤 절반,5,0,18.59,3.72,80.0,2.46,28.9,1,10.05,-2.1,4.37,0,0,6.4,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,9,아래,가능,최근 10년,10,0,29.73,2.97,80.0,3.725,21.16,2,10.05,-2.1,3.52,0,0,6.3,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,아래,가능,최근 5년,5,0,18.59,3.72,80.0,2.46,28.9,1,10.05,-2.1,4.37,0,0,6.4,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,9,위,가능,전체,10,0,-26.71,-2.67,20.0,0.297,77.13,8,2.1,-5.61,2.81,1,4,4.9,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,위,가능,앞 절반,5,0,-10.75,-2.15,20.0,0.013,98.71,4,0.04,-5.0,2.62,0,2,4.6,아니오,2016-09-20,2020-09-18
KODEX 코스닥150,9,위,가능,뒤 절반,5,0,-15.96,-3.19,20.0,0.466,68.22,4,2.1,-5.61,3.2,1,2,5.2,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,9,위,가능,최근 10년,10,0,-26.71,-2.67,20.0,0.297,77.13,8,2.1,-5.61,2.81,1,4,4.9,예,2016-09-20,2025-09-19
KODEX 코스닥150,9,위,가능,최근 5년,5,0,-15.96,-3.19,20.0,0.466,68.22,4,2.1,-5.61,3.2,1,2,5.2,아니오,2021-09-17,2025-09-19
KODEX 코스닥150,10,아래,가능,전체,11,0,8.62,0.78,54.55,1.216,45.12,5,12.04,-5.0,5.36,0,3,6.82,예,2015-10-20,2025-10-20
KODEX 코스닥150,10,아래,가능,앞 절반,5,0,7.82,1.56,60.0,1.291,43.65,2,12.04,-5.0,6.71,0,1,6.4,아니오,2015-10-20,2019-10-18
KODEX 코스닥150,10,아래,가능,뒤 절반,6,0,0.8,0.13,50.0,1.077,48.15,3,5.61,-5.0,4.52,0,2,7.17,아니오,2020-10-20,2025-10-20
KODEX 코스닥150,10,아래,가능,최근 10년,10,0,7.64,0.76,50.0,1.408,41.54,5,12.04,-5.0,5.65,0,3,6.7,예,2016-10-20,2025-10-20
KODEX 코스닥150,10,아래,가능,최근 5년,5,0,-3.55,-0.71,40.0,0.988,50.31,3,5.61,-5.0,4.49,0,2,7.0,아니오,2021-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,전체,11,0,-1.62,-0.15,45.45,1.105,47.51,6,5.32,-5.0,4.17,0,3,7.0,예,2015-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,앞 절반,5,0,-0.46,-0.09,40.0,1.425,41.24,3,5.32,-5.0,4.34,0,1,6.8,아니오,2015-10-20,2019-10-18
KODEX 코스닥150,10,위,가능,뒤 절반,6,0,-1.16,-0.19,50.0,0.897,52.72,3,4.88,-5.0,4.44,0,2,7.17,아니오,2020-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,최근 10년,10,0,-0.64,-0.06,50.0,0.967,50.84,5,5.32,-5.0,4.38,0,3,6.9,예,2016-10-20,2025-10-20
KODEX 코스닥150,10,위,가능,최근 5년,5,0,3.84,0.77,60.0,1.077,48.15,2,4.88,-5.0,4.2,0,1,7.8,아니오,2021-10-20,2025-10-20
KODEX 코스닥150,11,아래,가능,전체,11,0,13.95,1.27,54.55,2.371,29.66,5,5.87,-2.26,2.97,0,0,7.18,예,2015-11-20,2025-11-20
KODEX 코스닥150,11,아래,가능,앞 절반,5,0,10.36,2.07,60.0,5.369,15.7,2,5.37,-1.06,2.72,0,0,7.4,아니오,2015-11-20,2019-11-20
KODEX 코스닥150,11,아래,가능,뒤 절반,6,0,3.59,0.6,50.0,1.59,38.61,3,5.87,-2.26,3.25,0,0,7.0,아니오,2020-11-20,2025-11-20
KODEX 코스닥150,11,아래,가능,최근 10년,10,0,14.37,1.44,60.0,2.006,33.26,4,5.87,-2.26,3.08,0,0,7.3,예,2016-11-18,2025-11-20
KODEX 코스닥150,11,아래,가능,최근 5년,5,0,5.7,1.14,60.0,1.621,38.16,2,5.87,-2.26,3.32,0,0,7.2,아니오,2021-11-19,2025-11-20
KODEX 코스닥150,11,위,가능,전체,11,0,-19.45,-1.77,36.36,0.404,71.24,7,2.26,-5.0,2.84,0,3,6.64,예,2015-11-20,2025-11-20
KODEX 코스닥150,11,위,가능,앞 절반,5,0,-9.99,-2.0,40.0,0.192,83.88,3,1.06,-5.0,2.61,0,1,7.0,아니오,2015-11-20,2019-11-20
KODEX 코스닥150,11,위,가능,뒤 절반,6,0,-9.46,-1.58,33.33,0.632,61.29,4,2.26,-5.0,3.25,0,2,6.33,아니오,2020-11-20,2025-11-20
KODEX 코스닥150,11,위,가능,최근 10년,10,0,-19.86,-1.99,30.0,0.5,66.65,7,2.26,-5.0,2.89,0,3,6.7,예,2016-11-18,2025-11-20
KODEX 코스닥150,11,위,가능,최근 5년,5,0,-11.56,-2.31,20.0,0.653,60.49,4,2.26,-5.0,3.02,0,2,6.4,아니오,2021-11-19,2025-11-20
KODEX 코스닥150,12,아래,가능,전체,11,0,-32.28,-2.93,9.09,0.726,57.93,10,2.53,-5.14,2.44,1,3,5.64,예,2015-12-18,2025-12-19
KODEX 코스닥150,12,아래,가능,앞 절반,5,0,-22.4,-4.48,0.0,0.0,100.0,5,-3.25,-5.14,0.82,1,2,5.2,아니오,2015-12-18,2019-12-20
KODEX 코스닥150,12,아래,가능,뒤 절반,6,0,-9.88,-1.65,16.67,1.018,49.54,5,2.53,-5.0,2.64,0,1,6.0,아니오,2020-12-18,2025-12-19
KODEX 코스닥150,12,아래,가능,최근 10년,10,0,-28.27,-2.83,10.0,0.739,57.51,9,2.53,-5.14,2.54,1,3,5.5,예,2016-12-20,2025-12-19
KODEX 코스닥150,12,아래,가능,최근 5년,5,0,-6.57,-1.31,20.0,1.111,47.37,4,2.53,-5.0,2.8,0,1,5.8,아니오,2021-12-20,2025-12-19
KODEX 코스닥150,12,위,가능,전체,11,0,32.86,2.99,90.91,1.4,41.67,1,9.82,-2.53,3.11,0,0,6.09,예,2015-12-18,2025-12-19
KODEX 코스닥150,12,위,가능,앞 절반,5,0,24.4,4.88,100.0,,,0,9.82,1.86,3.05,0,0,5.8,아니오,2015-12-18,2019-12-20
KODEX 코스닥150,12,위,가능,뒤 절반,6,0,8.46,1.41,83.33,0.869,53.5,1,3.57,-2.53,2.32,0,0,6.33,아니오,2020-12-18,2025-12-19
KODEX 코스닥150,12,위,가능,최근 10년,10,0,28.85,2.88,90.0,1.379,42.03,1,9.82,-2.53,3.26,0,0,6.0,예,2016-12-20,2025-12-19
KODEX 코스닥150,12,위,가능,최근 5년,5,0,5.15,1.03,80.0,0.759,56.85,1,3.57,-2.53,2.38,0,0,6.2,아니오,2021-12-20,2025-12-19
KODEX 코스닥150선물인버스,1,아래,가능,전체,10,0,-13.42,-1.34,50.0,0.463,68.34,5,3.68,-5.0,3.98,0,5,5.7,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,아래,가능,앞 절반,5,0,-2.59,-0.52,60.0,0.494,66.92,2,3.68,-5.0,4.3,0,2,7.0,아니오,2017-01-20,2021-01-20
KODEX 코스닥150선물인버스,1,아래,가능,뒤 절반,5,0,-10.83,-2.17,40.0,0.417,70.58,3,2.87,-5.0,3.92,0,3,4.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,아래,가능,최근 10년,10,0,-13.42,-1.34,50.0,0.463,68.34,5,3.68,-5.0,3.98,0,5,5.7,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,아래,가능,최근 5년,5,0,-10.83,-2.17,40.0,0.417,70.58,3,2.87,-5.0,3.92,0,3,4.4,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,전체,10,0,8.16,0.82,40.0,2.173,31.51,6,9.74,-5.0,5.34,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,앞 절반,5,0,2.44,0.49,40.0,1.907,34.4,3,6.83,-5.0,5.13,0,1,6.8,아니오,2017-01-20,2021-01-20
KODEX 코스닥150선물인버스,1,위,가능,뒤 절반,5,0,5.72,1.14,40.0,2.435,29.11,3,9.74,-5.0,6.12,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,최근 10년,10,0,8.16,0.82,40.0,2.173,31.51,6,9.74,-5.0,5.34,0,2,6.2,예,2017-01-20,2026-01-20
KODEX 코스닥150선물인버스,1,위,가능,최근 5년,5,0,5.72,1.14,40.0,2.435,29.11,3,9.74,-5.0,6.12,0,1,5.6,아니오,2022-01-20,2026-01-20
KODEX 코스닥150선물인버스,2,아래,가능,전체,10,0,-7.33,-0.73,30.0,1.235,44.74,7,4.21,-5.0,2.99,0,2,5.3,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,아래,가능,앞 절반,5,0,-12.77,-2.55,0.0,0.0,100.0,5,-0.6,-5.0,2.27,0,2,4.6,아니오,2017-02-20,2021-02-19
KODEX 코스닥150선물인버스,2,아래,가능,뒤 절반,5,0,5.44,1.09,60.0,1.956,33.83,2,4.21,-2.49,2.58,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,2,아래,가능,최근 10년,10,0,-7.33,-0.73,30.0,1.235,44.74,7,4.21,-5.0,2.99,0,2,5.3,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,아래,가능,최근 5년,5,0,5.44,1.09,60.0,1.956,33.83,2,4.21,-2.49,2.58,0,0,6.0,아니오,2022-02-18,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,전체,10,0,10.87,1.09,70.0,0.944,51.44,3,8.47,-5.0,3.91,0,1,5.9,예,2017-02-20,2026-02-20
KODEX 코스닥150선물인버스,2,위,가능,앞 절반,5,0,17.1,3.42,100.0,,,0,8.47,0.6,3.56,0,0,5.8,아니오,2017-02-20,2021-02-19
KODEX 코스닥150선물인버스,2,위,가능,뒤 절반,5,0,-6.23,-1.25,40.0,0.466,68.19,3,2.49,-5.0,2.83,0,1,6.0,아니오,2022-02-18,2026-02-20
