종목,사이클 위치,진입 연도,분할 방식,미체결 처리,진입일,진입가,2번째 몫 체결일,2번째 몫 체결가,2번째 몫 체결 사유,3번째 몫 체결일,3번째 몫 체결가,3번째 몫 체결 사유,4번째 몫 체결일,4번째 몫 체결가,4번째 몫 체결 사유,청산일,청산가,투자 비율(%),첫 몫 대비 평균 매수가(%),수익률(%),보유 중 최악(%)
SPY,중간선거해,2006,C1 RSI(14) 30 아래,12월 말 일괄 매수,2006-09-29,133.58,2006-12-29,141.62,12월 말 일괄,2006-12-29,141.62,12월 말 일괄,,,,2007-06-29,150.43,100.0,3.93,8.35,-1.5
SPY,중간선거해,2010,C1 RSI(14) 30 아래,12월 말 일괄 매수,2010-09-30,114.13,2010-12-31,125.75,12월 말 일괄,2010-12-31,125.75,12월 말 일괄,,,,2011-06-30,131.97,100.0,6.56,8.51,-0.28
SPY,중간선거해,2014,C1 RSI(14) 30 아래,12월 말 일괄 매수,2014-09-30,197.02,2014-10-16,186.27,지표 신호,2014-12-31,205.54,12월 말 일괄,,,,2015-06-30,205.85,100.0,-0.54,5.05,-2.55
SPY,중간선거해,2018,C1 RSI(14) 30 아래,12월 말 일괄 매수,2018-09-28,290.72,2018-10-11,272.17,지표 신호,2018-10-25,270.08,지표 신호,,,,2019-06-28,293.0,100.0,-4.6,5.64,-15.72
SPY,중간선거해,2022,C1 RSI(14) 30 아래,12월 말 일괄 매수,2022-09-30,357.18,2022-12-30,382.43,12월 말 일괄,2022-12-30,382.43,12월 말 일괄,,,,2023-06-30,443.28,100.0,4.6,18.64,-0.85
SPY,중간선거해,1994,C1 RSI(14) 30 아래,현금 유지,1994-09-30,46.1719,,,미체결,,,미체결,,,,1995-06-30,54.4062,33.33,0.0,5.94,-1.13
SPY,중간선거해,1998,C1 RSI(14) 30 아래,현금 유지,1998-09-30,101.75,,,미체결,,,미체결,,,,1999-06-30,137.0,33.33,0.0,11.55,-3.12
SPY,중간선거해,2002,C1 RSI(14) 30 아래,현금 유지,2002-09-30,81.79,,,미체결,,,미체결,,,,2003-06-30,97.63,33.33,0.0,6.46,-1.92
SPY,중간선거해,2006,C1 RSI(14) 30 아래,현금 유지,2006-09-29,133.58,,,미체결,,,미체결,,,,2007-06-29,150.43,33.33,0.0,4.2,-0.23
SPY,중간선거해,2010,C1 RSI(14) 30 아래,현금 유지,2010-09-30,114.13,,,미체결,,,미체결,,,,2011-06-30,131.97,33.33,0.0,5.21,-0.28
SPY,중간선거해,2014,C1 RSI(14) 30 아래,현금 유지,2014-09-30,197.02,2014-10-16,186.27,지표 신호,,,미체결,,,,2015-06-30,205.85,66.67,-2.8,5.0,-2.55
SPY,중간선거해,2018,C1 RSI(14) 30 아래,현금 유지,2018-09-28,290.72,2018-10-11,272.17,지표 신호,2018-10-25,270.08,지표 신호,,,,2019-06-28,293.0,100.0,-4.6,5.64,-15.72
SPY,중간선거해,2022,C1 RSI(14) 30 아래,현금 유지,2022-09-30,357.18,,,미체결,,,미체결,,,,2023-06-30,443.28,33.33,0.0,8.04,-0.85
SPY,중간선거해,1994,C2 20일 이격도 95% 아래,12월 말 일괄 매수,1994-09-30,46.1719,1994-12-30,45.5625,12월 말 일괄,1994-12-30,45.5625,12월 말 일괄,,,,1995-06-30,54.4062,100.0,-0.88,18.88,-1.13
SPY,중간선거해,1998,C2 20일 이격도 95% 아래,12월 말 일괄 매수,1998-09-30,101.75,1998-10-09,98.5312,지표 신호,1998-12-31,123.3125,12월 말 일괄,,,,1999-06-30,137.0,100.0,4.98,28.26,-3.12
SPY,중간선거해,2002,C2 20일 이격도 95% 아래,12월 말 일괄 매수,2002-09-30,81.79,2002-10-07,79.13,지표 신호,2002-12-31,88.23,12월 말 일괄,,,,2003-06-30,97.63,100.0,1.33,17.8,-4.22
SPY,중간선거해,2006,C2 20일 이격도 95% 아래,12월 말 일괄 매수,2006-09-29,133.58,2006-12-29,141.62,12월 말 일괄,2006-12-29,141.62,12월 말 일괄,,,,2007-06-29,150.43,100.0,3.93,8.35,-1.5
SPY,중간선거해,2010,C2 20일 이격도 95% 아래,12월 말 일괄 매수,2010-09-30,114.13,2010-12-31,125.75,12월 말 일괄,2010-12-31,125.75,12월 말 일괄,,,,2011-06-30,131.97,100.0,6.56,8.51,-0.28
SPY,중간선거해,2014,C2 20일 이격도 95% 아래,12월 말 일괄 매수,2014-09-30,197.02,2014-12-31,205.54,12월 말 일괄,2014-12-31,205.54,12월 말 일괄,,,,2015-06-30,205.85,100.0,2.84,1.59,-2.55
SPY,중간선거해,2018,C2 20일 이격도 95% 아래,12월 말 일괄 매수,2018-09-28,290.72,2018-10-12,275.95,지표 신호,2018-10-25,270.08,지표 신호,,,,2019-06-28,293.0,100.0,-4.15,5.15,-16.11
SPY,중간선거해,2022,C2 20일 이격도 95% 아래,12월 말 일괄 매수,2022-09-30,357.18,2022-12-30,382.43,12월 말 일괄,2022-12-30,382.43,12월 말 일괄,,,,2023-06-30,443.28,100.0,4.6,18.64,-0.85
SPY,중간선거해,1994,C2 20일 이격도 95% 아래,현금 유지,1994-09-30,46.1719,,,미체결,,,미체결,,,,1995-06-30,54.4062,33.33,0.0,5.94,-1.13
SPY,중간선거해,1998,C2 20일 이격도 95% 아래,현금 유지,1998-09-30,101.75,1998-10-09,98.5312,지표 신호,,,미체결,,,,1999-06-30,137.0,66.67,-1.61,24.56,-3.12
SPY,중간선거해,2002,C2 20일 이격도 95% 아래,현금 유지,2002-09-30,81.79,2002-10-07,79.13,지표 신호,,,미체결,,,,2003-06-30,97.63,66.67,-1.65,14.25,-2.79
SPY,중간선거해,2006,C2 20일 이격도 95% 아래,현금 유지,2006-09-29,133.58,,,미체결,,,미체결,,,,2007-06-29,150.43,33.33,0.0,4.2,-0.23
SPY,중간선거해,2010,C2 20일 이격도 95% 아래,현금 유지,2010-09-30,114.13,,,미체결,,,미체결,,,,2011-06-30,131.97,33.33,0.0,5.21,-0.28
SPY,중간선거해,2014,C2 20일 이격도 95% 아래,현금 유지,2014-09-30,197.02,,,미체결,,,미체결,,,,2015-06-30,205.85,33.33,0.0,1.49,-2.55
SPY,중간선거해,2018,C2 20일 이격도 95% 아래,현금 유지,2018-09-28,290.72,2018-10-12,275.95,지표 신호,2018-10-25,270.08,지표 신호,,,,2019-06-28,293.0,100.0,-4.15,5.15,-16.11
SPY,중간선거해,2022,C2 20일 이격도 95% 아래,현금 유지,2022-09-30,357.18,,,미체결,,,미체결,,,,2023-06-30,443.28,33.33,0.0,8.04,-0.85
DIA,중간선거해,1998,일시매수,해당 없음,1998-09-30,78.1875,,,,,,,,,,1999-06-30,109.375,100.0,0.0,39.89,-4.76
DIA,중간선거해,2002,일시매수,해당 없음,2002-09-30,76.0,,,,,,,,,,2003-06-30,89.91,100.0,0.0,18.3,-5.22
DIA,중간선거해,2006,일시매수,해당 없음,2006-09-29,116.74,,,,,,,,,,2007-06-29,134.2,100.0,0.0,14.96,-0.26
DIA,중간선거해,2010,일시매수,해당 없음,2010-09-30,107.91,,,,,,,,,,2011-06-30,123.83,100.0,0.0,14.75,-0.78
DIA,중간선거해,2014,일시매수,해당 없음,2014-09-30,170.07,,,,,,,,,,2015-06-30,175.82,100.0,0.0,3.38,-6.94
DIA,중간선거해,2018,일시매수,해당 없음,2018-09-28,264.4,,,,,,,,,,2019-06-28,265.85,100.0,0.0,0.55,-17.94
DIA,중간선거해,2022,일시매수,해당 없음,2022-09-30,287.3,,,,,,,,,,2023-06-30,343.85,100.0,0.0,19.68,-0.24
DIA,중간선거해,1998,A 시간 4등분,해당 없음,1998-09-30,78.1875,1998-10-30,86.0312,월말,1998-11-30,90.8125,월말,1998-12-31,91.5312,월말,1999-06-30,109.375,100.0,10.37,26.74,-1.19
DIA,중간선거해,2002,A 시간 4등분,해당 없음,2002-09-30,76.0,2002-10-31,83.75,월말,2002-11-29,88.9,월말,2002-12-31,83.51,월말,2003-06-30,89.91,100.0,8.92,8.61,-10.23
DIA,중간선거해,2006,A 시간 4등분,해당 없음,2006-09-29,116.74,2006-10-31,120.73,월말,2006-11-30,122.28,월말,2006-12-29,124.41,월말,2007-06-29,134.2,100.0,3.63,10.93,-1.22
DIA,중간선거해,2010,A 시간 4등분,해당 없음,2010-09-30,107.91,2010-10-29,111.31,월말,2010-11-30,110.17,월말,2010-12-31,115.63,월말,2011-06-30,123.83,100.0,3.03,11.37,-0.19
DIA,중간선거해,2014,A 시간 4등분,해당 없음,2014-09-30,170.07,2014-10-31,173.45,월말,2014-11-28,178.1,월말,2014-12-31,177.88,월말,2015-06-30,175.82,100.0,2.79,0.58,-2.69
DIA,중간선거해,2018,A 시간 4등분,해당 없음,2018-09-28,264.4,2018-10-31,251.19,월말,2018-11-30,255.51,월말,2018-12-31,233.2,월말,2019-06-28,265.85,100.0,-5.24,6.11,-11.66
DIA,중간선거해,2022,A 시간 4등분,해당 없음,2022-09-30,287.3,2022-10-31,327.42,월말,2022-11-30,346.15,월말,2022-12-30,331.33,월말,2023-06-30,343.85,100.0,11.9,6.95,-2.03
DIA,중간선거해,1998,B 사다리 5%,12월 말 일괄 매수,1998-09-30,78.1875,1998-12-31,91.5312,12월 말 일괄,1998-12-31,91.5312,12월 말 일괄,,,,1999-06-30,109.375,100.0,10.77,26.29,-1.59
DIA,중간선거해,2002,B 사다리 5%,12월 말 일괄 매수,2002-09-30,76.0,2002-12-31,83.51,12월 말 일괄,2002-12-31,83.51,12월 말 일괄,,,,2003-06-30,89.91,100.0,6.38,11.21,-8.09
DIA,중간선거해,2006,B 사다리 5%,12월 말 일괄 매수,2006-09-29,116.74,2006-12-29,124.41,12월 말 일괄,2006-12-29,124.41,12월 말 일괄,,,,2007-06-29,134.2,100.0,4.29,10.23,-1.84
