종목,사이클 위치,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
QQQ,중간선거해,위,-10.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-10.0,뒤 절반,3,36.61,12.2,66.67,2.33,30.03,36.64,23.3,-10.0,1,38.22,-10.0,-10.0,24.34,0,1,131.0,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-10.0,최근 10년,2,28.22,14.11,50.0,3.822,20.74,29.26,38.22,-10.0,1,38.22,-10.0,-10.0,34.1,0,1,102.5,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-10.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-12.0,전체,6,112.51,18.75,83.33,2.075,32.52,50.81,24.9,-12.0,1,44.55,-12.0,-12.0,20.53,0,1,160.0,아니오,2002-09-30,2022-09-30,후보
QQQ,중간선거해,위,-12.0,앞 절반,3,77.91,25.97,100.0,,,,25.97,,0,44.55,16.26,-4.63,16.09,0,0,188.0,아니오,2002-09-30,2010-09-30,판정 안 함
QQQ,중간선거해,위,-12.0,뒤 절반,3,34.61,11.54,66.67,1.942,33.99,32.68,23.3,-12.0,1,38.22,-12.0,-12.0,25.26,0,1,132.0,아니오,2014-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-12.0,최근 10년,2,26.22,13.11,50.0,3.185,23.89,26.11,38.22,-12.0,1,38.22,-12.0,-12.0,35.51,0,1,104.0,아니오,2018-09-28,2022-09-30,판정 안 함
QQQ,중간선거해,위,-12.0,최근 5년,1,38.22,38.22,100.0,,,,38.22,,0,38.22,38.22,-4.86,,0,0,187.0,아니오,2022-09-30,2022-09-30,판정 안 함
QQQ,중간선거해,위,-15.0,전체,6,109.51,18.25,83.33,1.66,37.59,45.74,24.9,-15.0,1,44.55,-15.0,-15.0,21.44,0,1,162.67,아니오,2002-09-30,2022-09-30,후보
