종목,사이클 위치,진입 연도,방향,손절선(%),진입일,진입가,청산일,보유일,청산가,수익률(%),보유 중 최악(%),청산 사유
DIA,대선다음해,2005,위,무손절,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,무손절,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,무손절,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,무손절,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,무손절,2021-10-01,343.18,2022-06-30,187,307.82,-10.3,-13.63,기한청산
DIA,대선다음해,2025,위,무손절,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-5.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-5.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-5.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-5.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-5.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-5.0,2021-10-01,343.18,2022-02-24,100,322.82,-5.93,-5.93,갭손절
DIA,대선다음해,2025,위,-5.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-8.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
DIA,대선다음해,2005,위,-8.0,2005-10-03,105.28,2006-06-30,187,111.79,6.18,-3.51,기한청산
DIA,대선다음해,2009,위,-8.0,2009-10-01,95.12,2010-06-30,187,97.73,2.74,-0.97,기한청산
DIA,대선다음해,2013,위,-8.0,2013-10-01,151.62,2014-06-30,187,167.89,10.73,-3.07,기한청산
DIA,대선다음해,2017,위,-8.0,2017-10-02,225.24,2018-06-29,187,242.73,7.77,0.16,기한청산
DIA,대선다음해,2021,위,-8.0,2021-10-01,343.18,2022-05-12,154,315.7256,-8.0,-8.0,장중손절
DIA,대선다음해,2025,위,-8.0,2025-10-01,464.26,2026-06-30,186,522.39,12.52,-2.98,기한청산
DIA,대선다음해,2001,위,-10.0,2001-10-01,88.68,2002-06-28,187,92.53,4.34,-0.72,기한청산
