종목,조합,월,방향,손절선(%),시기,신호,합계(%),평균(%),승률(%),손익비,손익분기 승률(%),손익분기 대비(%p),이길 때(%),질 때(%),질 때 표본,최고(%),최악(%),보유 중 최악(%),표준편차(%),갭손절,장중손절,평균 보유일,판정가능,시기 시작일,시기 종료일,1차 판정
SPY,20일→다음주금,12,위,-5.0,최근 5년,5,8.47,1.69,100.0,,,,1.69,,0,4.39,0.5,-1.52,1.57,0,0,5.8,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→다음주금,12,위,무손절,전체,33,24.18,0.73,66.67,1.531,39.52,27.15,1.63,-1.07,11,4.39,-3.51,-5.43,1.76,0,0,5.48,예,1993-12-20,2025-12-19,제외
SPY,20일→다음주금,12,위,무손절,앞 절반,16,10.43,0.65,56.25,1.962,33.76,22.49,1.92,-0.98,7,3.91,-2.9,-3.06,1.89,0,0,5.62,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→다음주금,12,위,무손절,뒤 절반,17,13.76,0.81,76.47,1.174,46.0,30.47,1.43,-1.22,4,4.39,-3.51,-5.43,1.67,0,0,5.35,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→다음주금,12,위,무손절,최근 10년,10,7.99,0.8,70.0,2.911,25.57,44.43,1.34,-0.46,3,4.39,-1.27,-5.43,1.49,0,0,5.5,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→다음주금,12,위,무손절,최근 5년,5,8.47,1.69,100.0,,,,1.69,,0,4.39,0.5,-1.52,1.57,0,0,5.8,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→다음주금,12,아래,-5.0,전체,33,-25.88,-0.78,33.33,0.624,61.58,-28.25,1.07,-1.71,22,3.51,-5.0,-5.0,1.87,0,2,5.33,예,1993-12-20,2025-12-19,제외
SPY,20일→다음주금,12,아래,-5.0,앞 절반,16,-11.51,-0.72,43.75,0.479,67.6,-23.85,0.98,-2.04,9,2.9,-5.0,-5.0,2.03,0,1,5.5,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→다음주금,12,아래,-5.0,뒤 절반,17,-14.36,-0.84,23.53,0.825,54.79,-31.26,1.22,-1.48,13,3.51,-5.0,-5.0,1.76,0,1,5.18,예,2009-12-18,2025-12-19,판정 안 함
SPY,20일→다음주금,12,아래,-5.0,최근 10년,10,-8.6,-0.86,30.0,0.323,75.61,-45.61,0.46,-1.43,7,1.27,-5.0,-5.0,1.66,0,1,5.2,예,2016-12-20,2025-12-19,판정 안 함
SPY,20일→다음주금,12,아래,-5.0,최근 5년,5,-9.08,-1.82,0.0,0.0,100.0,-100.0,,-1.82,5,-0.5,-5.0,-5.0,1.84,0,1,5.2,아니오,2021-12-20,2025-12-19,판정 안 함
SPY,20일→다음주금,12,아래,무손절,전체,33,-24.18,-0.73,33.33,0.653,60.48,-27.15,1.07,-1.63,22,3.51,-4.39,-6.36,1.76,0,0,5.48,예,1993-12-20,2025-12-19,제외
SPY,20일→다음주금,12,아래,무손절,앞 절반,16,-10.43,-0.65,43.75,0.51,66.24,-22.49,0.98,-1.92,9,2.9,-3.91,-6.36,1.89,0,0,5.62,예,1993-12-20,2008-12-19,판정 안 함
SPY,20일→다음주금,12,아래,무손절,뒤 절반,17,-13.76,-0.81,23.53,0.852,54.0,-30.47,1.22,-1.43,13,3.51,-4.39,-5.28,1.67,0,0,5.35,예,2009-12-18,2025-12-19,판정 안 함
