종목,조합,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능,다른 조합과 같은 해,이 조합만 다른 해,배당락 대조 건수,배당락 걸린 건수,배당락 평균 왜곡(%p)
코스피200 지수,20일→말일,9,36,0,36,-1.11,-0.71,44.44,55.56,4.62,-11.0,3.56,1.81,3.45,16,20,742,36,706,-0.4,0.03,50.42,49.58,11.98,-15.64,4.66,3.02,3.88,356,350,-0.71,-0.73,-5.98,5.98,0.3806,0.2777,0.6134,0.6134,,False,예,28,8,,,
코스피200 지수,20일→말일,12,36,0,36,0.4,0.14,55.56,44.44,8.8,-11.44,3.92,2.81,2.61,20,16,741,36,705,0.47,0.35,54.33,45.53,26.94,-14.6,4.72,3.57,3.24,383,321,-0.07,-0.21,1.23,-1.09,0.8811,0.7592,1.0,1.0,,False,예,34,2,,,
KODEX 코스닥150,만기→다음주금,9,10,0,10,-2.22,-2.12,20.0,80.0,3.48,-10.33,4.2,3.47,3.64,2,8,40,1,39,-0.54,-0.45,43.59,56.41,5.8,-10.33,3.43,2.42,2.83,17,22,-1.67,-1.67,-23.59,23.59,0.0719,0.0539,0.1538,0.1538,,False,예,5,5,10,1,-0.0001
KODEX 코스닥150,만기→다음주금,12,11,0,11,0.11,0.73,54.55,45.45,3.8,-2.93,1.96,1.48,1.53,6,5,42,0,42,0.43,0.83,64.29,35.71,7.26,-7.57,3.05,2.22,2.81,27,15,-0.31,-0.11,-9.74,9.74,0.7163,0.7213,0.4665,0.4665,,False,예,6,5,11,3,-0.0019
KODEX 코스닥150,만기→말일,9,10,0,10,-2.96,-3.05,20.0,70.0,2.1,-11.22,4.04,1.99,4.79,2,7,40,4,36,-1.62,-1.43,30.56,66.67,9.3,-13.98,4.67,3.46,4.02,11,24,-1.33,-1.61,-10.56,3.33,0.2837,0.2138,0.4316,1.0,,False,예,6,4,10,0,0.0014
KODEX 코스닥150,만기→말일,12,11,0,11,2.64,3.18,90.91,9.09,7.13,-4.32,2.96,3.33,4.32,10,1,42,1,41,2.59,2.1,78.05,21.95,10.24,-6.63,3.98,4.15,2.97,32,9,0.05,1.08,12.86,-12.86,0.989,0.5574,0.4156,0.4156,,False,예,6,5,11,1,0.0025
KODEX 코스닥150,20일→다음주금,9,10,0,10,-3.62,-3.88,20.0,80.0,3.45,-10.33,4.45,1.74,4.97,2,8,195,1,194,-0.54,-0.17,46.91,52.06,7.46,-10.94,3.81,2.55,3.32,91,101,-3.09,-3.71,-26.91,27.94,0.016,0.005,0.1169,0.1139,,False,예,9,1,10,1,-0.0007
KODEX 코스닥150,20일→다음주금,12,11,0,11,1.63,0.75,72.73,27.27,9.82,-2.74,3.53,3.01,2.06,8,3,224,0,224,0.83,1.04,61.16,38.39,11.84,-8.21,3.62,3.1,2.79,137,86,0.8,-0.28,11.57,-11.12,0.4715,0.8701,0.5504,0.5504,,False,예,11,0,11,3,-0.0064
KODEX 코스닥150,20일→말일,9,10,0,10,-2.97,-3.05,20.0,80.0,2.1,-10.05,3.52,1.07,3.98,2,8,195,10,185,-1.6,-1.18,32.43,66.49,9.72,-15.84,4.52,2.93,3.84,60,123,-1.37,-1.87,-12.43,13.51,0.3137,0.1748,0.4885,0.4825,,False,예,10,0,10,1,0.0013
KODEX 코스닥150,20일→말일,12,11,0,11,2.99,3.25,90.91,9.09,9.82,-2.53,3.11,3.54,2.53,10,1,224,11,213,2.55,2.62,73.24,26.29,12.85,-8.67,4.4,4.58,3.07,156,56,0.44,0.63,17.67,-17.2,0.7283,0.6693,0.2707,0.2727,,False,예,11,0,11,1,-0.0026
코스닥150 지수,만기→다음주금,9,16,0,16,-1.88,-1.8,25.0,75.0,3.82,-10.11,3.62,2.53,3.35,4,12,64,1,63,-0.31,-0.14,46.03,53.97,5.08,-10.11,3.09,2.21,2.46,29,34,-1.57,-1.66,-21.03,21.03,0.02,0.009,0.0899,0.0899,,False,예,9,7,,,
코스닥150 지수,만기→다음주금,12,16,0,16,0.01,0.05,50.0,50.0,4.26,-3.11,2.11,1.69,1.67,8,8,62,0,62,0.32,0.72,61.29,38.71,7.15,-7.72,2.86,2.14,2.56,38,24,-0.31,-0.66,-11.29,11.29,0.5954,0.2897,0.3457,0.3457,,False,예,9,7,,,
코스닥150 지수,만기→말일,9,16,0,16,-2.28,-2.17,25.0,75.0,2.84,-11.51,3.73,2.13,3.74,4,12,64,6,58,-1.11,-0.81,37.93,62.07,9.25,-14.58,4.16,2.71,3.44,22,36,-1.17,-1.36,-12.93,12.93,0.1648,0.0969,0.2268,0.2268,,False,예,10,6,,,
코스닥150 지수,만기→말일,12,16,0,16,1.96,2.68,87.5,12.5,6.87,-5.21,2.92,2.81,3.95,14,2,62,2,60,1.81,2.01,75.0,25.0,10.15,-7.56,3.6,3.36,2.83,45,15,0.15,0.66,12.5,-12.5,0.8941,0.2857,0.3077,0.3077,,False,예,9,7,,,
코스닥150 지수,20일→다음주금,9,16,0,16,-2.43,-2.01,25.0,75.0,3.39,-10.42,4.17,2.36,4.02,4,12,311,1,310,-0.14,0.2,51.94,48.06,9.55,-10.8,3.45,2.3,2.78,161,149,-2.28,-2.21,-26.94,26.94,0.007,0.011,0.038,0.038,,False,예,14,2,,,
코스닥150 지수,20일→다음주금,12,16,0,16,1.61,1.3,68.75,31.25,9.94,-3.09,3.11,3.01,1.48,11,5,326,0,326,0.74,0.87,59.51,40.49,11.96,-7.72,3.47,3.01,2.58,194,132,0.87,0.43,9.24,-9.24,0.3057,0.6893,0.6124,0.6124,,False,예,16,0,,,
코스닥150 지수,20일→말일,9,16,0,16,-2.23,-1.91,25.0,75.0,2.89,-10.42,3.44,1.76,3.56,4,12,311,16,295,-0.9,-0.58,42.37,57.63,11.35,-16.26,4.17,2.54,3.43,125,170,-1.33,-1.32,-17.37,17.37,0.1718,0.1319,0.1868,0.1868,,False,예,15,1,,,
코스닥150 지수,20일→말일,12,16,0,16,2.67,2.7,87.5,12.5,9.94,-3.09,2.75,3.29,1.61,14,2,326,16,310,1.84,1.72,70.65,29.35,12.62,-9.52,3.93,3.73,2.7,219,91,0.83,0.98,16.85,-16.85,0.4336,0.4246,0.1598,0.1598,,False,예,16,0,,,
