대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),오른 평균(%),내린 평균(%),오른 건수,내린 건수,기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),기준선 오른 평균(%),기준선 내린 평균(%),기준선 오른 건수,기준선 내린 건수,평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,20일 → 말일-1,20,-1,287,0,287,0.22,0.36,56.1,43.9,14.69,-15.81,3.31,2.3,2.43,161,126,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.21,-0.07,-0.41,0.82,0.3556,0.5934,0.8681,0.7692,,False,예
KODEX 200,20일 → 말일,20,0,287,0,287,0.4,0.4,56.1,42.86,18.95,-12.96,3.59,2.64,2.53,161,123,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.2,-0.07,-1.42,0.89,0.3836,0.6384,0.6484,0.7802,,False,예
KODEX 200,20일 → 말일+1,20,1,287,0,287,0.5,0.57,57.14,42.86,24.75,-9.61,3.76,2.87,2.67,164,123,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.18,-0.04,-1.44,1.75,0.5065,0.8312,0.6823,0.6024,,False,예
KODEX 200,20일 → 말일+2,20,2,287,0,287,0.58,0.57,57.14,42.51,24.91,-15.91,4.18,3.16,2.88,164,122,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.19,-0.03,-0.85,0.82,0.5005,0.8472,0.7632,0.8082,,False,예
KODEX 200,20일 → 말일+3,20,3,287,0,287,0.64,0.54,54.36,44.95,22.4,-13.89,4.26,3.47,2.77,156,129,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.18,-0.04,-1.79,1.48,0.5145,0.8661,0.5604,0.6294,,False,예
KODEX 200,21일 → 말일-3,21,-3,285,0,285,0.01,0.23,55.44,43.86,6.65,-14.76,2.33,1.46,1.82,158,125,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.37,-0.22,-2.06,1.85,0.1139,0.2328,0.5095,0.5624,,False,예
KODEX 200,21일 → 말일-2,21,-2,285,0,285,0.07,0.28,57.19,42.81,9.22,-18.0,2.87,1.76,2.19,163,122,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.34,-0.16,-0.8,1.06,0.1688,0.2917,0.7992,0.7532,,False,예
KODEX 200,21일 → 말일-1,21,-1,287,0,287,0.11,0.38,57.84,42.16,10.11,-18.96,3.06,2.02,2.5,166,121,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.32,-0.04,1.34,-0.92,0.1628,0.6963,0.7303,0.8162,,False,예
KODEX 200,21일 → 말일,21,0,287,0,287,0.29,0.48,56.45,42.86,10.51,-12.96,3.24,2.38,2.46,162,123,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.31,0.0,-1.07,0.89,0.1808,0.986,0.7373,0.7802,,False,예
KODEX 200,21일 → 말일+1,21,1,287,0,287,0.39,0.6,58.19,41.81,14.9,-9.61,3.42,2.58,2.67,167,120,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.29,-0.01,-0.4,0.7,0.2567,0.9491,0.9421,0.8651,,False,예
KODEX 200,21일 → 말일+2,21,2,287,0,287,0.47,0.67,58.19,41.46,16.87,-15.91,3.89,2.9,2.95,167,119,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.3,0.08,0.2,-0.22,0.2757,0.7103,1.0,0.952,,False,예
KODEX 200,21일 → 말일+3,21,3,287,0,287,0.53,0.54,55.4,44.25,19.29,-13.89,3.99,3.2,2.8,159,127,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.29,-0.04,-0.74,0.78,0.2957,0.8661,0.8282,0.8192,,False,예
KODEX 200,22일 → 말일-3,22,-3,279,0,279,0.11,0.05,52.33,46.95,6.73,-11.67,2.1,1.52,1.46,146,131,4746,0,4746,0.39,0.45,57.5,42.01,28.2,-28.88,4.12,2.72,2.8,2729,1994,-0.28,-0.4,-5.17,4.94,0.2498,0.026,0.0939,0.0969,,False,예
KODEX 200,22일 → 말일-2,22,-2,285,0,285,0.16,0.25,55.44,44.56,9.22,-17.27,2.66,1.78,1.85,158,127,5033,0,5033,0.41,0.45,58.0,41.74,28.79,-33.39,4.22,2.75,2.85,2919,2101,-0.25,-0.2,-2.56,2.82,0.3077,0.2288,0.3826,0.3387,,False,예
KODEX 200,22일 → 말일-1,22,-1,287,0,287,0.21,0.28,55.05,44.95,10.11,-19.09,2.91,2.06,2.06,158,129,5320,0,5320,0.43,0.42,56.5,43.08,30.71,-34.86,4.23,2.89,2.78,3006,2292,-0.22,-0.14,-1.45,1.87,0.3227,0.3516,0.5964,0.5095,,False,예
KODEX 200,22일 → 말일,22,0,287,0,287,0.38,0.47,57.14,42.51,10.51,-12.96,3.13,2.34,2.25,164,122,5607,0,5607,0.6,0.47,57.52,41.97,29.46,-19.26,4.13,3.01,2.71,3225,2353,-0.21,-0.01,-0.37,0.54,0.3397,0.9441,0.9121,0.8681,,False,예
KODEX 200,22일 → 말일+1,22,1,287,0,287,0.48,0.47,58.89,40.42,14.63,-9.61,3.28,2.5,2.45,169,116,5894,0,5894,0.68,0.61,58.59,41.11,34.67,-26.33,4.32,3.16,2.85,3453,2423,-0.2,-0.14,0.3,-0.69,0.4535,0.5025,0.8891,0.8072,,False,예
KODEX 200,22일 → 말일+2,22,2,287,0,287,0.56,0.55,58.89,40.42,16.41,-16.73,3.79,2.85,2.76,169,116,5894,0,5894,0.76,0.59,57.99,41.69,44.87,-25.42,4.7,3.45,2.96,3418,2457,-0.2,-0.05,0.89,-1.27,0.4645,0.7702,0.8102,0.6593,,False,예
KODEX 200,22일 → 말일+3,22,3,287,0,287,0.63,0.54,54.7,44.6,18.83,-13.02,3.92,3.27,2.6,157,128,5894,0,5894,0.83,0.58,56.14,43.47,47.87,-22.47,4.89,3.78,2.98,3309,2562,-0.2,-0.04,-1.44,1.13,0.4765,0.8661,0.6334,0.7363,,False,예
