대상,월,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,5,최근 10년,10,0,10,2.49,1.37,70.0,30.0,18.95,-3.87,6.17,186,0,186,1.89,1.36,65.05,34.95,28.04,-7.88,4.84,0.6,0.01,4.95,-4.95,0.6983,0.9461,0.7712,1.0,,False,예
KODEX 200,5,최근 5년,5,0,5,4.31,1.45,80.0,20.0,18.95,-3.87,8.64,93,0,93,3.45,2.81,77.42,22.58,28.04,-4.2,5.84,0.86,-1.37,2.58,-2.58,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,6,앞 절반,12,0,12,1.03,0.9,58.33,41.67,7.39,-3.23,3.49,216,0,216,0.42,0.33,58.33,41.67,8.19,-9.28,3.06,0.61,0.57,0.0,0.0,0.4695,0.5954,1.0,1.0,,False,예
KODEX 200,6,뒤 절반,12,0,12,-0.41,-0.12,41.67,58.33,2.61,-5.67,2.07,214,0,214,0.43,0.36,56.07,43.46,15.91,-12.41,3.89,-0.84,-0.48,-14.41,14.88,0.4126,0.4915,0.3686,0.3606,,False,예
KODEX 200,6,최근 10년,10,0,10,-0.54,-0.39,40.0,60.0,2.61,-5.67,2.25,193,0,193,0.45,0.47,56.99,43.01,15.91,-12.41,4.13,-1.0,-0.86,-16.99,16.99,0.3806,0.3197,0.3307,0.3307,,False,예
KODEX 200,6,최근 5년,5,0,5,-1.22,-0.98,20.0,80.0,2.61,-5.67,3.02,95,0,95,0.65,0.19,51.58,48.42,15.91,-12.41,5.43,-1.87,-1.17,-31.58,31.58,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,7,앞 절반,12,0,12,2.03,2.22,75.0,16.67,5.56,-3.05,2.58,231,0,231,2.34,2.03,72.73,25.97,13.44,-5.58,3.5,-0.3,0.19,2.27,-9.31,0.7283,0.8571,1.0,0.5305,,False,예
KODEX 200,7,뒤 절반,12,0,12,0.18,0.27,50.0,50.0,4.54,-3.18,2.29,232,0,232,-0.11,0.16,51.29,46.98,6.71,-19.11,3.49,0.29,0.11,-1.29,3.02,0.8302,0.8691,1.0,1.0,,False,예
KODEX 200,7,최근 10년,10,0,10,0.38,0.4,50.0,50.0,4.54,-3.18,2.38,211,0,211,0.1,0.18,51.66,46.45,24.17,-19.11,4.36,0.28,0.21,-1.66,3.55,0.7652,0.7413,1.0,1.0,,False,예
KODEX 200,7,최근 5년,5,0,5,1.51,1.35,80.0,20.0,4.54,-1.29,2.12,105,0,105,0.57,0.87,65.71,31.43,24.17,-19.11,5.75,0.94,0.48,14.29,-11.43,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,8,앞 절반,12,0,12,1.45,1.32,58.33,41.67,8.59,-4.11,3.92,226,0,226,0.72,0.62,56.64,42.48,14.07,-14.36,3.8,0.73,0.7,1.7,-0.81,0.4545,0.4835,1.0,1.0,,False,예
KODEX 200,8,뒤 절반,12,0,12,0.79,0.18,58.33,41.67,4.58,-1.71,1.98,223,0,223,0.43,0.2,54.71,44.84,9.71,-4.86,2.46,0.36,-0.01,3.62,-3.18,0.5994,0.9041,1.0,1.0,,False,예
KODEX 200,8,최근 10년,10,0,10,1.0,0.92,60.0,40.0,4.58,-1.71,2.11,201,0,201,0.35,0.17,52.24,47.26,9.71,-4.86,2.55,0.64,0.75,7.76,-7.26,0.4086,0.3576,0.7682,0.7622,,False,예
KODEX 200,8,최근 5년,5,0,5,-0.02,-0.53,40.0,60.0,2.02,-1.71,1.75,100,0,100,0.55,-0.15,48.0,52.0,9.71,-4.86,2.95,-0.57,-0.38,-8.0,8.0,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,9,앞 절반,11,0,11,-0.66,-0.25,45.45,54.55,2.25,-6.71,2.64,190,0,190,1.71,1.51,71.05,28.42,10.46,-6.71,2.95,-2.36,-1.76,-25.6,26.12,0.008,0.1289,0.0859,0.0859,,False,예
KODEX 200,9,뒤 절반,12,0,12,-1.56,-1.36,33.33,66.67,1.14,-8.09,2.5,205,0,205,-0.27,-0.19,48.29,51.22,12.15,-11.38,3.68,-1.29,-1.17,-14.96,15.45,0.2128,0.1299,0.3487,0.3497,,False,예
KODEX 200,9,최근 10년,10,0,10,-1.43,-0.62,40.0,60.0,1.14,-8.09,2.73,183,0,183,-0.41,-0.29,45.9,53.55,12.15,-11.38,3.83,-1.02,-0.33,-5.9,6.45,0.3726,0.7473,0.7742,0.7732,,False,예
KODEX 200,9,최근 5년,5,0,5,-2.48,-2.13,40.0,60.0,0.59,-8.09,3.51,90,0,90,-1.47,-1.88,32.22,67.78,12.15,-11.38,4.81,-1.0,-0.25,7.78,-7.78,,,,,표본 부족으로 검정 불가,False,아니오
KODEX 200,10,앞 절반,12,0,12,0.06,-0.41,41.67,58.33,6.57,-4.75,3.48,220,0,220,0.3,0.12,50.45,48.64,23.77,-19.26,5.49,-0.24,-0.52,-8.79,9.7,0.9041,0.6414,0.7662,0.5385,,True,예
KODEX 200,10,뒤 절반,12,0,12,-0.03,0.11,50.0,50.0,8.28,-5.68,3.91,203,0,203,-0.28,-0.2,46.31,53.69,20.8,-12.38,4.56,0.25,0.3,3.69,-3.69,0.8511,0.7063,1.0,1.0,,False,예
KODEX 200,10,최근 10년,10,0,10,-0.41,-1.19,40.0,60.0,8.28,-5.68,4.19,182,0,182,-0.44,-0.76,40.11,59.89,20.8,-12.38,4.82,0.03,-0.43,-0.11,0.11,0.997,0.7253,1.0,1.0,,False,예
KODEX 200,10,최근 5년,5,0,5,0.83,-1.58,40.0,60.0,8.28,-4.01,5.02,90,0,90,0.89,-1.06,42.22,57.78,20.8,-7.26,5.62,-0.05,-0.52,-2.22,2.22,,,,,표본 부족으로 검정 불가,True,아니오
KODEX 200,11,앞 절반,12,0,12,2.88,1.94,83.33,16.67,15.0,-4.13,4.53,226,0,226,1.38,1.49,72.57,26.11,15.0,-8.13,3.11,1.5,0.45,10.77,-9.44,0.0749,0.5305,0.5105,0.5095,,False,예
