대상,격자 칸,진입 달력일,청산 상대 거래일,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
코스피200 지수,23일 → 말일-2,23,-2,431,0,431,-0.06,0.0,49.88,49.88,15.81,-21.23,3.05,8137,0,8137,-0.08,0.04,50.4,49.5,37.23,-33.56,5.07,0.03,-0.04,-0.52,0.38,0.8801,0.8931,0.8182,0.8651,,False,예
코스피200 지수,23일 → 말일-1,23,-1,439,0,439,0.04,0.07,51.48,48.52,15.95,-22.54,3.59,8577,0,8577,0.02,0.08,51.04,48.86,47.92,-34.66,5.27,0.02,-0.01,0.44,-0.34,0.9371,0.975,0.8651,0.8931,,False,예
코스피200 지수,23일 → 말일,23,0,440,0,440,0.21,0.23,52.05,47.73,18.51,-21.61,3.84,9017,0,9017,0.19,0.13,51.59,48.32,50.15,-26.84,5.32,0.02,0.09,0.45,-0.59,0.9321,0.5594,0.8631,0.8232,,False,예
코스피200 지수,23일 → 말일+1,23,1,440,0,440,0.56,0.39,55.23,44.77,17.72,-18.62,4.0,9457,0,9457,0.53,0.42,54.96,45.0,43.04,-28.31,5.4,0.03,-0.04,0.26,-0.23,0.9131,0.8382,0.9391,0.9391,,False,예
코스피200 지수,23일 → 말일+2,23,2,440,0,440,0.61,0.49,56.36,43.64,18.85,-21.78,4.49,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,0.03,0.05,1.5,-1.44,0.9101,0.8112,0.5215,0.5185,,False,예
코스피200 지수,23일 → 말일+3,23,3,440,0,440,0.72,0.5,55.68,44.32,18.95,-19.98,4.86,9457,0,9457,0.68,0.42,54.01,45.94,48.44,-29.51,6.12,0.04,0.08,1.67,-1.63,0.8891,0.7512,0.4585,0.4845,,False,예
코스피200 지수,24일 → 말일-3,24,-3,374,0,374,-0.07,0.03,50.8,49.2,8.28,-13.47,2.31,7697,0,7697,-0.11,0.02,50.16,49.72,34.14,-29.18,5.02,0.04,0.01,0.64,-0.52,0.8372,0.9101,0.7632,0.8142,,True,예
코스피200 지수,24일 → 말일-2,24,-2,415,0,415,-0.01,0.08,50.6,49.4,9.25,-15.95,2.6,8137,0,8137,-0.08,0.04,50.4,49.5,37.23,-33.56,5.07,0.07,0.04,0.2,-0.1,0.7413,0.7083,0.958,0.956,,True,예
코스피200 지수,24일 → 말일-1,24,-1,434,0,434,0.08,0.03,50.69,49.31,17.16,-17.34,3.24,8577,0,8577,0.02,0.08,51.04,48.86,47.92,-34.66,5.27,0.06,-0.05,-0.35,0.45,0.8182,0.8032,0.9281,0.8891,,False,예
코스피200 지수,24일 → 말일,24,0,440,0,440,0.25,0.23,53.18,46.36,19.66,-16.56,3.58,9017,0,9017,0.19,0.13,51.59,48.32,50.15,-26.84,5.32,0.06,0.09,1.59,-1.96,0.8112,0.5584,0.5205,0.4266,,False,예
코스피200 지수,24일 → 말일+1,24,1,440,0,440,0.6,0.43,55.68,44.32,20.72,-12.0,3.81,9457,0,9457,0.53,0.42,54.96,45.0,43.04,-28.31,5.4,0.08,0.01,0.72,-0.69,0.7992,0.996,0.7852,0.7822,,False,예
코스피200 지수,24일 → 말일+2,24,2,440,0,440,0.66,0.44,55.45,44.55,23.01,-15.41,4.37,9457,0,9457,0.58,0.43,54.86,45.08,45.83,-31.09,5.79,0.08,0.0,0.6,-0.53,0.7782,0.989,0.8112,0.8092,,False,예
