대상,격자 칸,진입 달력일,청산 상대 거래일,시기,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 200,17일 → 말일+1,17,1,최근 10년,120,0,120,0.27,0.35,53.33,46.67,20.64,-10.37,4.25,2448,0,2448,0.49,0.29,54.21,45.63,34.67,-26.33,4.76,-0.23,0.06,-0.87,1.04,0.6264,0.7502,1.0,0.9351,,False,예
KODEX 200,17일 → 말일+1,17,1,최근 5년,60,0,60,0.42,-0.28,48.33,51.67,20.64,-9.08,5.14,1218,0,1218,0.75,0.15,51.56,48.36,34.67,-26.33,5.72,-0.33,-0.43,-3.23,3.31,0.6494,0.4745,0.6583,0.6573,,True,예
KODEX 200,17일 → 말일+2,17,2,앞 절반,143,0,143,0.93,0.99,62.24,37.76,13.69,-8.93,4.0,2938,0,2938,0.98,1.12,62.46,37.2,25.25,-18.29,4.39,-0.05,-0.14,-0.22,0.56,0.8352,0.6713,1.0,0.9271,,False,예
KODEX 200,17일 → 말일+2,17,2,뒤 절반,144,0,144,0.35,0.2,53.47,46.53,20.8,-13.04,4.58,2924,0,2924,0.57,0.26,53.97,45.73,44.87,-25.42,4.98,-0.23,-0.05,-0.49,0.8,0.5704,0.7902,0.9331,0.8561,,False,예
KODEX 200,17일 → 말일+2,17,2,최근 10년,120,0,120,0.4,0.06,52.5,47.5,20.8,-13.04,4.91,2448,0,2448,0.65,0.24,53.51,46.24,44.87,-25.42,5.36,-0.26,-0.18,-1.01,1.26,0.6124,0.5804,0.9271,0.8492,,False,예
KODEX 200,17일 → 말일+2,17,2,최근 5년,60,0,60,0.48,-0.49,48.33,51.67,20.8,-13.04,6.19,1218,0,1218,0.86,0.22,52.63,47.13,44.87,-25.42,6.66,-0.38,-0.71,-4.29,4.54,0.6474,0.1169,0.5045,0.5065,,True,예
KODEX 200,17일 → 말일+3,17,3,앞 절반,143,0,143,0.92,1.31,62.94,37.06,14.01,-8.93,4.1,2938,0,2938,0.97,1.17,60.48,39.07,27.96,-19.02,4.57,-0.05,0.14,2.45,-2.01,0.8501,0.7403,0.5674,0.6204,,False,예
KODEX 200,17일 → 말일+3,17,3,뒤 절반,144,0,144,0.49,0.09,52.08,47.92,22.93,-15.53,4.73,2924,0,2924,0.71,0.17,52.26,47.4,47.87,-22.47,5.2,-0.22,-0.08,-0.17,0.52,0.6284,0.7662,1.0,0.9401,,False,예
KODEX 200,17일 → 말일+3,17,3,최근 10년,120,0,120,0.62,0.15,53.33,46.67,22.93,-15.53,5.07,2448,0,2448,0.86,0.18,52.37,47.26,47.87,-22.47,5.59,-0.24,-0.02,0.96,-0.6,0.6683,0.9221,0.8472,0.9201,,False,예
KODEX 200,17일 → 말일+3,17,3,최근 5년,60,0,60,0.79,-0.51,48.33,51.67,22.93,-15.53,6.28,1218,0,1218,1.15,0.18,51.64,47.95,47.87,-22.47,6.9,-0.36,-0.69,-3.31,3.72,0.6783,0.1598,0.6843,0.5904,,True,예
