대상,월,신호,제외,표본,평균(%),중앙값(%),오른 비율(%),내린 비율(%),최고(%),최악(%),표준편차(%),기준선 신호,기준선 제외,기준선 표본,기준선 평균(%),기준선 중앙값(%),기준선 오른 비율(%),기준선 내린 비율(%),기준선 최고(%),기준선 최악(%),기준선 표준편차(%),평균 차이(%p),중앙값 차이(%p),오른 비율 차이(%p),내린 비율 차이(%p),평균 우연확률,중앙값 우연확률,오른 비율 우연확률,내린 비율 우연확률,비고,평균-비율 어긋남,판정가능
KODEX 코스닥150,3,11,0,11,0.42,-0.38,45.45,54.55,18.28,-9.63,7.55,222,0,222,0.39,0.48,53.6,46.4,28.6,-11.73,6.12,0.03,-0.86,-8.15,8.15,0.998,0.7013,0.7592,0.7592,,True,예
KODEX 코스닥150,4,11,0,11,-1.69,-2.08,18.18,81.82,3.86,-7.77,2.79,220,0,220,-0.68,-1.13,32.73,66.82,11.89,-8.13,3.68,-1.01,-0.95,-14.55,15.0,0.3506,0.2847,0.3826,0.3856,,False,예
KODEX 코스닥150,5,11,0,11,1.85,2.02,81.82,18.18,6.48,-1.42,2.33,205,0,205,0.72,1.22,72.2,27.32,10.4,-10.9,3.6,1.13,0.8,9.62,-9.14,0.2637,0.2717,0.5185,0.5185,,False,예
KODEX 코스닥150,6,11,0,11,-1.94,-1.27,18.18,81.82,0.76,-7.77,2.36,213,0,213,-1.68,-1.06,37.56,61.97,8.55,-15.53,4.19,-0.27,-0.22,-19.38,19.85,0.8781,0.95,0.2358,0.2368,,False,예
KODEX 코스닥150,7,11,0,11,-1.28,-2.17,36.36,63.64,4.48,-6.1,3.41,231,0,231,-0.49,-0.34,45.02,54.11,16.73,-27.22,6.47,-0.79,-1.82,-8.66,9.52,0.6853,0.2717,0.7602,0.5395,,False,예
KODEX 코스닥150,8,11,0,11,2.11,1.3,63.64,36.36,8.43,-4.55,4.28,222,0,222,1.39,1.17,66.22,33.78,15.24,-5.82,3.66,0.73,0.12,-2.58,2.58,0.4805,0.9331,1.0,1.0,,False,예
KODEX 코스닥150,9,10,0,10,-2.97,-3.05,20.0,80.0,2.1,-10.05,3.52,185,0,185,-1.6,-1.18,32.43,66.49,9.72,-15.84,4.52,-1.37,-1.87,-12.43,13.51,0.3137,0.1748,0.4885,0.4825,,False,예
KODEX 코스닥150,10,11,0,11,-0.78,-0.98,45.45,54.55,5.32,-12.04,5.36,202,0,202,-1.1,-0.34,45.54,53.96,11.6,-19.99,6.0,0.31,-0.64,-0.09,0.59,0.9041,0.7972,1.0,1.0,,False,예
KODEX 코스닥150,11,11,0,11,-1.27,-1.24,45.45,54.55,2.26,-5.87,2.97,225,0,225,-0.0,-0.24,48.0,51.56,14.71,-13.0,4.85,-1.27,-1.0,-2.55,2.99,0.3646,0.4705,1.0,1.0,,False,예
KODEX 코스닥150,12,11,0,11,2.99,3.25,90.91,9.09,9.82,-2.53,3.11,213,0,213,2.55,2.62,73.24,26.29,12.85,-8.67,4.4,0.44,0.63,17.67,-17.2,0.7283,0.6693,0.2707,0.2727,,False,예
KODEX 코스닥150선물인버스,1,10,0,10,-0.81,-0.81,40.0,60.0,9.74,-22.86,9.07,195,0,195,-0.65,0.27,50.77,48.21,20.37,-26.28,9.19,-0.16,-1.08,-10.77,11.79,0.978,0.6763,0.5325,0.5145,,False,예
KODEX 코스닥150선물인버스,2,10,0,10,1.17,0.6,70.0,30.0,8.47,-4.21,3.78,177,0,177,-0.19,-0.59,43.5,54.8,10.63,-12.95,5.08,1.36,1.19,26.5,-24.8,0.3417,0.3876,0.0929,0.1149,,False,예
KODEX 코스닥150선물인버스,3,10,0,10,-0.55,-0.29,50.0,50.0,9.93,-16.76,7.59,201,0,201,-0.86,-1.28,39.8,59.2,13.4,-24.85,6.35,0.31,1.0,10.2,-9.2,0.8801,0.6044,0.5155,0.7253,,False,예
KODEX 코스닥150선물인버스,4,10,0,10,1.04,0.91,70.0,30.0,7.29,-4.1,2.9,201,0,201,-0.0,0.22,54.73,43.28,7.79,-12.24,3.78,1.05,0.69,15.27,-13.28,0.3946,0.5165,0.3497,0.5335,,False,예
KODEX 코스닥150선물인버스,5,10,0,10,-1.94,-1.66,20.0,80.0,1.12,-7.35,2.52,186,0,186,-0.89,-1.37,27.42,71.51,11.86,-10.21,3.79,-1.05,-0.29,-7.42,8.49,0.3636,0.7682,0.7333,0.7363,,False,예
KODEX 코스닥150선물인버스,6,10,0,10,1.95,1.4,80.0,10.0,8.39,-1.02,2.62,193,0,193,1.57,0.83,58.55,40.93,16.92,-8.55,4.43,0.37,0.57,21.45,-30.93,0.7892,0.7582,0.2198,0.0529,,False,예
KODEX 코스닥150선물인버스,7,10,0,10,1.1,2.14,70.0,30.0,6.43,-4.92,3.65,211,0,211,0.4,0.53,54.5,43.6,29.15,-15.39,6.45,0.7,1.62,15.5,-13.6,0.6743,0.3067,0.3267,0.5055,,False,예
KODEX 코스닥150선물인버스,8,11,0,11,-2.18,-1.9,36.36,63.64,4.51,-8.26,4.18,215,0,215,-1.77,-1.54,29.3,69.3,5.36,-14.44,3.49,-0.4,-0.35,7.06,-5.67,0.7203,0.7443,0.7373,0.7413,,False,예
KODEX 코스닥150선물인버스,9,10,0,10,3.05,3.13,80.0,20.0,10.72,-2.39,3.77,185,0,185,1.58,1.14,64.86,34.59,18.51,-9.48,4.78,1.47,1.99,15.14,-14.59,0.3706,0.1359,0.5035,0.5055,,False,예
KODEX 코스닥150선물인버스,10,10,0,10,0.61,0.33,50.0,50.0,12.85,-5.3,5.85,182,0,182,1.22,0.41,53.85,46.15,23.03,-10.94,6.45,-0.62,-0.08,-3.85,3.85,0.7493,0.8861,1.0,1.0,,False,예
KODEX 코스닥150선물인버스,11,10,0,10,1.33,1.72,60.0,40.0,5.94,-2.43,3.18,205,0,205,0.09,0.35,53.17,46.83,14.78,-14.38,5.14,1.23,1.37,6.83,-6.83,0.4545,0.4505,0.7373,0.7373,,False,예
KODEX 코스닥150선물인버스,12,10,0,10,-3.01,-3.11,10.0,90.0,2.02,-9.42,3.07,193,0,193,-2.57,-2.9,24.87,74.61,9.22,-12.65,4.45,-0.45,-0.21,-14.87,15.39,0.7443,0.7952,0.4795,0.3157,,False,예
코스닥150 지수,1,17,0,17,-0.08,-0.7,41.18,58.82,26.16,-9.65,7.92,332,0,332,0.09,-0.74,43.98,56.02,32.56,-18.2,8.16,-0.16,0.04,-2.8,2.8,0.9181,0.974,0.7922,0.7922,,False,예
코스닥150 지수,2,17,0,17,-0.45,0.18,52.94,47.06,4.52,-8.49,3.07,301,0,301,0.45,0.69,58.14,41.86,13.77,-10.38,4.43,-0.9,-0.51,-5.2,5.2,0.3586,0.6214,0.8052,0.8052,,True,예
코스닥150 지수,3,17,0,17,0.59,-0.11,47.06,52.94,19.09,-9.74,6.48,344,0,344,0.48,0.47,56.98,43.02,31.42,-12.43,5.27,0.11,-0.58,-9.92,9.92,0.9171,0.5674,0.4625,0.4625,,True,예
코스닥150 지수,4,17,0,17,-1.24,-1.42,29.41,70.59,3.76,-7.02,2.82,343,0,343,-0.34,-0.66,40.52,59.48,13.37,-8.53,3.5,-0.9,-0.76,-11.11,11.11,0.2468,0.2817,0.4366,0.4366,,False,예
코스닥150 지수,5,17,0,17,1.79,1.92,82.35,17.65,6.2,-1.9,2.19,317,0,317,0.6,1.03,64.35,35.65,11.17,-11.15,3.44,1.19,0.88,18.0,-18.0,0.1548,0.2168,0.1259,0.1259,,False,예
코스닥150 지수,6,17,0,17,-0.96,-0.78,41.18,58.82,5.62,-7.52,2.75,329,0,329,-0.61,0.04,51.06,48.94,8.95,-15.97,4.1,-0.35,-0.82,-9.89,9.89,0.6633,0.3896,0.4515,0.4515,,False,예
코스닥150 지수,7,17,0,17,-1.75,-2.67,29.41,70.59,4.51,-8.22,3.74,359,0,359,-0.57,-0.84,39.55,60.45,16.74,-27.46,5.99,-1.18,-1.82,-10.14,10.14,0.4296,0.1908,0.4715,0.4715,,False,예
코스닥150 지수,8,17,0,17,1.77,1.85,64.71,35.29,8.65,-5.61,4.27,343,0,343,0.96,0.98,60.06,39.94,15.45,-9.19,4.42,0.81,0.86,4.65,-4.65,0.4705,0.3866,0.7962,0.7962,,False,예
코스닥150 지수,9,16,0,16,-2.23,-1.91,25.0,75.0,2.89,-10.42,3.44,295,0,295,-0.9,-0.58,42.37,57.63,11.35,-16.26,4.17,-1.33,-1.32,-17.37,17.37,0.1718,0.1319,0.1868,0.1868,,False,예
코스닥150 지수,10,16,0,16,-0.2,0.28,56.25,43.75,5.16,-11.76,4.48,301,0,301,-0.46,-0.11,47.84,52.16,15.14,-19.74,5.34,0.27,0.38,8.41,-8.41,0.8372,0.6044,0.6324,0.6324,,True,예
코스닥150 지수,11,16,0,16,-0.98,-0.56,50.0,50.0,2.96,-6.17,2.94,327,0,327,-0.22,-0.15,48.62,51.38,15.53,-13.13,4.34,-0.76,-0.41,1.38,-1.38,0.5085,0.8412,1.0,1.0,,False,예
코스닥150 지수,12,16,0,16,2.67,2.7,87.5,12.5,9.94,-3.09,2.75,310,0,310,1.84,1.72,70.65,29.35,12.62,-9.52,3.93,0.83,0.98,16.85,-16.85,0.4336,0.4246,0.1598,0.1598,,False,예
